"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1990-01-15","1","4.1","<50","3","0.19","","<1","","","330","0.1","26","","","<1","273","3","<0.01","56","5.3","11000","12000","null","0.4","<0.01","230","1","130","<1","","2","4.1","0.003","1.5","1.7","7.2","","","20","","<0.02","0.5","","4.9","5","1.8","190","64","4.5","","18.2","40"
"Western Buffer","Pai Min Kok Stream","AN1","1990-02-20","1","4.4","<50","0.055","0.32","","<1","","","280","0.1","11","","","<1","282","4","<0.01","54","5.1","62000","64000","null","0.4","<0.01","300","10","200","<1","","<1","7.9","0.003","36","1.1","8.1","","","21","","<0.02","5","","7.1","3","1.8","260","120","6.7","","17.9","40"
"Western Buffer","Pai Min Kok Stream","AN1","1990-03-21","1","7.2","<50","11","0.12","","<1","","","50","0.2","12","","","<1","303","3","<0.01","68","6.2","39000","54000","null","0.5","<0.01","310","2","110","<1","","5","1.7","0.26","0.5","1.6","7.9","","","19","","<0.02","3","","21","3","3","330","220","8","","19.5","40"
"Western Buffer","Pai Min Kok Stream","AN1","1990-04-23","1","3.6","<50","1.7","0.19","","<1","","","90","<0.1","6","","","<1","231","1","<0.01","76","6.5","31000","40000","null","0.6","<0.01","80","<1","20","<1","","<1","6.4","0.18","3","0.64","7.5","","","20","","<0.02","11","","2.8","5","0.9","240","98","3.8","","22.8","20"
"Western Buffer","Pai Min Kok Stream","AN1","1990-05-21","1","2","<50","0.58","0.19","","<1","","","<50","<0.1","14","","","<1","192","3","<0.01","59","5","17000","24000","null","0.4","<0.01","100","<1","20","<1","","<1","5.7","0.2","1.5","0.62","7.3","","","18","","<0.02","1.5","","1.5","3","0.71","160","90","1.8","","23.8","50"
"Western Buffer","Pai Min Kok Stream","AN1","1990-06-21","1","0.8","<50","0.25","0.09","","<1","","","540","0.1","15","","","2","65","3","<0.01","95","7.8","12000","63000","null","0.4","<0.01","140","2","30","<1","","2","5.4","0.07","0.5","0.25","7.7","","","16","","<0.02","3","","0.74","3","0.35","180","70","5","","25.8","40"
"Western Buffer","Pai Min Kok Stream","AN1","1990-07-16","1","2","<50","0.2","<0.05","","<1","","","180","<0.1","14","10","","<1","140","2","<0.01","97","7.5","37000","63000","null","0.4","<0.01","120","3","20","<1","","3","4.8","0.04","<0.5","0.25","7.5","","","16","","0.03","2.5","","0.83","3","0.44","160","46","5","","26.4","40"
"Western Buffer","Pai Min Kok Stream","AN1","1990-08-06","1","2.5","110","0.18","0.05","","<1","","","380","0.2","11","12","","1","167","2","<0.01","86","6.6","100000","130000","null","0.4","<0.01","190","2","30","<1","","<1","4.4","0.038","<0.5","0.52","7.5","","","17","","<0.02","2.5","","1.7","4","1.1","170","72","5","","26.2","60"
"Western Buffer","Pai Min Kok Stream","AN1","1990-09-05","1","1.5","<50","1.1","0.16","","1","","","<50","0.3","25","21","","3","187","2","<0.01","95","7.6","18000","28000","null","0.4","<0.01","110","1","<50","3","","2","4.2","0.52","0.7","0.36","7.5","","","16","","0.02","3","","1.6","4","0.56","170","52","2","","26.4","40"
"Western Buffer","Pai Min Kok Stream","AN1","1990-10-12","1","2.4","50","0.15","0.14","","<1","","","<50","0.3","36","59","","<1","158","<1","<0.01","102","8.5","5300","6500","null","0.4","<0.01","90","3","10","<1","","<1","4.7","0.054","<0.5","0.42","7.8","","","19","","<0.02","<0.5","","0.72","3","0.55","160","4","2","","24.7","40"
"Western Buffer","Pai Min Kok Stream","AN1","1990-11-22","1","1.9","<50","0.33","0.1","","<1","","","<50","0.4","6","19","","<1","178","4","<0.01","87","7.9","2600","2900","null","0.4","<0.01","40","<1","<10","<1","","8","4.4","0.13","1","0.38","7.7","","","8.7","","0.02","2.5","","0.67","3","0.48","210","90","2.1","","19.6","<10"
"Western Buffer","Pai Min Kok Stream","AN1","1990-12-10","1","10.9","480","2.5","0.11","","<1","","","<50","0.4","5","25","","2","260","8","<0.01","85","7.5","2400","2700","null","1","<0.01","280","15","80","<1","","<1","9","0.24","1.5","0.35","8.7","","","23","","0.04","140","","3.3","3","0.43","450","94","98","","21.1","40"
"Western Buffer","Pai Min Kok Stream","AN2","1990-01-15","1","9","280","8.4","0.21","","<1","","","280","0.2","43","","","<1","272","5","<0.01","13","1.2","7000","7000","0","0.4","<0.01","1700","19","620","<1","","1","0.013","0.011","2.5","2.4","7","","","18","","0.03","27","","11","5","2.7","220","110","7","","18.3","190"
"Western Buffer","Pai Min Kok Stream","AN2","1990-02-20","1","8.8","<50","2.8","0.25","","<1","","","210","<0.1","25","","","<1","252","2","<0.01","54","5.1","170000","170000","0","0.4","<0.01","190","2","80","<1","","<1","5.4","0.022","65","1.6","8.1","","","20","","<0.02","12","","8.5","3","2.1","310","180","5.3","","18.2","30"
"Western Buffer","Pai Min Kok Stream","AN2","1990-03-21","1","24.2","<50","15","0.15","","<1","","","<50","0.1","22","","","<1","354","2","<0.01","15","1.4","140000","250000","0","0.5","<0.01","240","2","110","<1","","1","1.2","0.072","1","3.3","7.8","","","20","","0.07","12","","30","6","4.5","300","190","15","","18.9","20"
"Western Buffer","Pai Min Kok Stream","AN2","1990-04-23","1","5.2","<50","3.2","0.15","","<1","","","100","<0.1","43","","","<1","207","2","<0.01","49","4.2","37000","48000","0","0.5","<0.01","120","1","40","<1","","<1","3.8","0.082","2.5","0.77","7.1","","","19","","<0.02","4.5","","4.2","4","0.94","190","78","4.5","","22.8","30"
"Western Buffer","Pai Min Kok Stream","AN2","1990-05-21","1","2.6","<50","0.79","0.13","","<1","","","<50","<0.1","26","","","<1","155","<1","<0.01","44","3.7","150000","150000","0","0.4","<0.01","<50","<1","<10","<1","","<1","3.1","0.21","1","0.53","6.9","","","16","","<0.02","3","","2.4","3","0.64","150","120","1.9","","23.8","<10"
