"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2002-01-04","1","4.5","1000","0.42","0.43","<1","1","25","<1","180","0.1","19","820","","2","2415","7","<0.01","88","8.5","26000","100000","null","0.5","<0.01","2000","16","150","<1","<2","2","2.2","0.069","<0.5","0.053","7.5","","1.5","13","<1","<0.02","300","<1","1.6","5","0.71","2100","400","92.3","3","16.8","120"
"Western Buffer","Pai Min Kok Stream","AN1","2002-02-06","1","4.7","60","0.89","0.49","<1","1","16","<1","90","<0.1","18","360","","<1","1149","9","<0.01","77","7.5","17000","18000","0.008","0.6","<0.01","280","3","50","<1","3","1","3","0.26","<0.5","0.3","7.5","","0.7","15","<1","<0.02","1.9","<1","1.6","6","0.37","990","190","2.3","<2","16.1","60"
"Western Buffer","Pai Min Kok Stream","AN1","2002-03-06","1","6.1","60","1.3","0.26","<1","<1","19","<1","130","0.1","28","550","","<1","1674","9","<0.01","73","7.3","23000","62000","null","0.7","<0.01","540","2","160","<1","4","2","0.48","0.15","0.5","0.5","7.5","","1.1","15","<1","<0.02","4.5","<1","2.7","9","0.71","1300","170","5.5","<2","15.5","50"
"Western Buffer","Pai Min Kok Stream","AN1","2002-04-08","1",">11","<50","0.57","0.23","<1","<1","17","<1","70","<0.1","20","160","","<1","758","6","<0.01","69","5.8","14000","430000","null","0.8","<0.01","200","<1","40","<1","3","1","2.8","0.46","0.6","0.36","7.6","","0.4","16","<1","<0.02","1.9","<1","1.1","7","0.45","500","79","2.2","<2","25.4","40"
"Western Buffer","Pai Min Kok Stream","AN1","2002-05-03","1","3","80","0.43","0.18","<1","<1","18","<1","80","0.2","11","140","","<1","714","6","<0.01","78","6.3","4600","11000","null","0.8","<0.01","200","2","80","<1","3","3","4.6","0.26","<0.5","0.2","7.6","","0.3","15","<1","<0.02","1.6","<1","0.92","4","0.26","460","88","1.9","<2","26.1","80"
"Western Buffer","Pai Min Kok Stream","AN1","2002-06-12","1","2.1","270","0.11","<0.05","<1","1","30","<1","1000","<0.1","13","4700","2.1","3","13957","9","<0.01","100","7.7","19000","230000","null","0.5","<0.01","310","6","20","<1","4","<1","0.36","0.037","<0.5","0.094","7.8","0.8","7.8","7.8","<1","<0.02","16","<1","0.57","4","0.15","10000","2100","23","<2","26.7","40"
"Western Buffer","Pai Min Kok Stream","AN1","2002-07-11","1","2.9","370","0.38","<0.05","<1","2","29","<1","1400","0.2","17","5400","","3","17148","8","<0.01","84","6.2","45000","110000","null","0.7","<0.01","250","6","40","<1","5","<1","1.6","0.18","<0.5","0.19","7.5","","9.4","8.4","<1","<0.02","12","<1","1.6","5","1.4","12000","2900","13.4","<2","28.3","50"
"Western Buffer","Pai Min Kok Stream","AN1","2002-08-05","1","2","350","0.21","0.14","<1","<1","18","<1","<50","0.1","9","190","","<1","815","7","<0.01","90","7.3","39000","100000","null","0.4","<0.01","490","12","60","<1","<2","<1","1","0.077","0.5","0.14","8.6","","0.4","16","<1","<0.02","30","<1","0.57","3","0.2","580","130","35.5","<2","26.4","50"
"Western Buffer","Pai Min Kok Stream","AN1","2002-09-13","1","2.8","100","0.056","0.3","<1","<1","11","<1","<50","<0.1","9","<10","","<1","124","4","<0.01","91","7.3","90000","1100000","null","0.3","<0.01","250","2","20","<1","<2","<1","1","0.028","<0.5","0.072","6.9","","0.1","18","<1","<0.02","7.8","<1","0.31","3","0.13","140","35","7.8","<2","26.8","30"
"Western Buffer","Pai Min Kok Stream","AN1","2002-10-18","1","2.8","200","0.11","0.12","<1","<1","21","<1","<50","<0.1","23","<10","0.2","<1","127","13","<0.01","96","7.7","9000","67000","null","0.3","<0.01","460","5","20","<1","<2","1","1.3","0.07","<0.5","0.068","7.7","1.1","0.1","9.7","<1","<0.02","16","<1","0.51","5","0.09","180","87","33.9","<2","26.7","60"
"Western Buffer","Pai Min Kok Stream","AN1","2002-11-07","1","1.8","120","0.13","0.19","<1","<1","9","<1","<50","<0.1","6","14","","<1","147","4","<0.01","95","8.2","4100","69000","null","0.4","<0.01","140","<1","20","<1","<2","<1","1.6","0.1","0.7","0.19","7.5","","0.1","18","<1","<0.02","3.9","<1","0.24","2","0.23","160","39","5.1","<2","22.2","20"
"Western Buffer","Pai Min Kok Stream","AN1","2002-12-13","1","3.7","120","0.51","0.53","<1","<1","12","<1","<50","0.1","11","<10","1.1","<1","136","5","<0.01","98","9.5","9000","27000","null","0.4","<0.01","160","2","30","<1","<2","2","2.4","0.17","0.7","0.28","7.8","","0.1","17","<1","<0.02","3.8","<1","0.63","4","0.41","130","39","10.4","<2","16.7","30"
"Western Buffer","Pai Min Kok Stream","AN2","2002-01-04","1","2.7","650","0.43","0.11","<1","<1","16","<1","<50","<0.1","12","14","","1","201","4","<0.01","104","10.2","110000","140000","0.007","0.4","<0.01","920","9","50","<1","<2","1","2.2","0.062","<0.5","0.13","8","","0.1","13","<1","<0.02","130","<1","1.3","3","0.51","240","58","66.4","<2","16.2","70"
