"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1994-01-13","1","4.9","360","0.469","0.71","","<1","","","<50","<0.1","21","35","","6","224","7","<0.01","86","8.1","540","550","null","0.4","<0.01","110","<1","10","<1","","<1","2.95","0.258","<0.5","0.273","10.1","","","22","","<0.02","27","","2.04","5","0.61","250","62","12","","17.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","1994-02-14","1","6.9","140","0.038","<0.05","","<1","","","<50","0.2","16","13","","<1","65","1","<0.01","71","7.4","2900","3000","null","0.2","<0.01","160","3","50","<1","","3","1.74","0.002","<0.5","0.04","5.7","","","20.6","","<0.02","6","","0.24","2","0.04","94","26","6.6","","12.8","30"
"Western Buffer","Pai Min Kok Stream","AN1","1994-03-17","1","7.7","1500","0.474","0.13","","1","","","<50","<0.1","24","21","","10","150","13","<0.01","95","9.1","36000","40000","null","0.4","<0.01","920","6","80","<1","","1","3.09","0.461","1.9","0.497","10.4","","","16.6","","0.05","140","","2.09","16","0.72","450","130","33","","16.5","70"
"Western Buffer","Pai Min Kok Stream","AN1","1994-04-20","1","10","3900","0.946","0.95","","3","","","<50","0.4","54","67","","16","544","20","<0.01","79","6.4","460","580","null","0.6","<0.01","2800","35","250","<1","","9","2.73","1.37","2","0.171","10.4","","","24.9","","0.02","510","","3.51","17","0.92","1100","260","80","","24.7","230"
"Western Buffer","Pai Min Kok Stream","AN1","1994-05-12","1","2.7","160","0.202","0.08","","<1","","","290","<0.1","93","1400","","2","4350","6","<0.01","94","7.3","4200","5700","null","0.4","<0.01","140","3","60","<1","","<1","1.85","0.148","<0.5","0.139","8.7","","","11.5","","<0.02","10","","0.73","4","0.14","2800","480","8.8","","26.3","<10"
"Western Buffer","Pai Min Kok Stream","AN1","1994-06-17","1","2.8","210","0.593","0.08","","<1","","","<50","<0.1","20","53","","1","382","5","<0.01","67","5.3","16000","23000","null","0.6","<0.01","<50","6","60","<1","","<1","2.91","0.493","0.9","0.379","8.1","","","19.5","","0.02","7.5","","1.18","5","1.47","260","48","9.8","","26.9","60"
"Western Buffer","Pai Min Kok Stream","AN1","1994-07-18","1","1.4","2400","0.162","0.08","","<1","","","<50","0.1","18","21","","4","180","9","<0.01","93","7.1","17000","40000","null","0.4","<0.01","1300","27","210","<1","","1","2.14","0.063","<0.5","0.151","10.1","","","15.6","","<0.02","6.9","","0.6","3","0.19","180","54","60","","28.6","50"
"Western Buffer","Pai Min Kok Stream","AN1","1994-08-04","1","2.5","290","0.393","0.17","","1","","","<50","<0.1","13","29","","2","214","3","<0.01","86","6.8","27000","34000","null","0.4","<0.01","200","3","20","<1","","<1","1.83","0.085","<0.5","0.207","9.7","","","20.8","","<0.02","3.2","","1.33","3","0.27","180","42","9.2","","26.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","1994-09-15","1","1.4","240","0.214","0.08","","<1","","","<50","<0.1","11","100","","3","446","4","<0.01","78","6.4","29000","46000","null","0.4","<0.01","240","3","10","<1","","1","1.73","0.082","<0.5","0.223","9.4","","","17.5","","<0.02","27","","1.19","4","0.29","360","110","22","","25.5","30"
"Western Buffer","Pai Min Kok Stream","AN1","1994-10-17","1","6.6","190","0.309","<0.05","","<1","","","<50","<0.1","24","21","","20","252","3","<0.01","81","6.3","3100","6100","null","0.4","<0.01","80","2","20","<1","","<1","2.76","0.208","<0.5","0.386","10","","","20.2","","0.04","20","","0.82","8","0.48","180","58","23","","28.3","20"
"Western Buffer","Pai Min Kok Stream","AN1","1994-11-07","1","7.3","230","0.358","<0.05","","<1","","","<50","<0.1","14","35","","2","248","22","<0.01","73","6.4","5000","14000","null","0.5","<0.01","230","<1","30","<1","","<1","1.98","0.256","<0.5","0.362","8","","","19.3","","<0.02","7.4","","1.05","5","0.46","220","47","18","","21.7","90"
"Western Buffer","Pai Min Kok Stream","AN1","1994-12-02","1","12","280","0.416","0.16","","1","","","80","0.1","63","270","","2","1018","25","<0.01","73","6.4","29000","54000","null","0.6","<0.01","550","20","120","<1","","3","2.64","0.14","<0.5","0.18","7.5","","","17.8","","0.02","9.9","","1.84","17","0.26","730","220","20","","22.5","150"
"Western Buffer","Pai Min Kok Stream","AN2","1994-01-13","1","7.8","60","1.1","<0.05","","<1","","","<50","<0.1","9","14","","<1","98","4","<0.01","71","6.7","16000","16000","0.002","0.3","<0.01","<50","1","10","<1","","<1","3.48","0.419","<0.5","0.603","6.8","","","18.3","","<0.02","2.6","","1.83","4","0.69","94","38","2.9","","18.2","50"
"Western Buffer","Pai Min Kok Stream","AN2","1994-02-14","1","4.7","60","1.77","0.19","","<1","","","<50","0.4","12","20","","<1","112","2","<0.01","88","9.6","42000","43000","0.001","0.4","<0.01","80","3","30","<1","","2","3.21","0.25","<0.5","0.513","7.2","","","16.9","","<0.02","2.7","","3.27","4","0.71","110","42","1.5","","11.7","60"
"Western Buffer","Pai Min Kok Stream","AN2","1994-03-17","1","12","820","3.23","<0.05","","1","","","<50","0.2","23","28","","110","520","14","<0.01","88","8.4","3800","5000","0.001","0.4","<0.01","350","4","30","<1","","<1","7.19","1.11","<0.5","0.457","10.7","","","31.9","","0.02","28","","5.37","11","1.02","400","110","24","","16.7","50"
"Western Buffer","Pai Min Kok Stream","AN2","1994-04-20","1","10","1300","0.594","0.1","","2","","","<50","0.2","18","25","","2","134","6","<0.01","77","6.3","19000","35000","0.001","0.5","<0.01","980","6","100","<1","","2","6.7","1.8","0.6","1.9","8.3","","","21.8","","<0.02","42","","1.81","7","1.9","310","120","17","","24.4","100"
"Western Buffer","Pai Min Kok Stream","AN2","1994-05-12","1","9.4","560","3.84","0.07","","1","","","<50","0.1","27","22","","3","278","5","<0.01","92","7.2","440000","660000","0.001","0.5","<0.01","490","20","120","<1","","1","3.35","0.456","<0.5","1.62","8.2","","","20.7","","0.02","37","","6.28","9","1.7","230","70","45","","26.6","110"
