"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1988-08-30","1","9.6","220","1.5","0.2","","<1","","","<null","0.5","25","","","3","168","6","<0.01","72","6","","","null","0.3","<0","290","16","60","<1","","<10","2.2","0.16","0.5","0.68","6.8","","","13","","<0.01","19","","3","1","1.1","130","20","27","","24.7","80"
"Western Buffer","Pai Min Kok Stream","AN1","1988-09-22","1","19.1","120","8.1","0.05","","<1","","","50","0.7","24","","","2","312","10","<0.01","36","3","","","null","0.4","<0","400","","110","<1","","6","1.3","0.2","2","0.93","6.6","","","18","","<0.01","3.5","","9.2","<1","1.2","220","76","6.1","","25.3",""
"Western Buffer","Pai Min Kok Stream","AN1","1988-10-07","1","9","170","6.4","0.09","","<1","","","190","0.2","11","","","2","212","5","<0.01","22","1.9","","","null","0.4","<0","340","2","130","<1","","<10","0.54","0.11","0.5","1.2","7","","","17","","0.01","7","","8.4","<1","1.6","180","62","6","","23","10"
"Western Buffer","Pai Min Kok Stream","AN1","1988-11-17","1","18.9","250","13","0.88","","<1","","","60","0.4","10","","","<1","330","1","<0.01","22","2","","","null","0.4","0","290","3","140","1","","<10","0.46","0.3","0.5","1.4","6.6","","","11","","0.09","13","","17","<1","1.7","230","84","15","","19.9","30"
"Western Buffer","Pai Min Kok Stream","AN1","1988-12-21","1","142.5","140","21","0.2","","<1","","","30","0.3","85","42","","1","520","9","<0.01","14","1.7","","","null","0.3","<0","510","7","170","<1","","<10","0.025","0.032","4.5","3.3","6.4","","","5.7","","0.18","65","","39","52","7.1","450","280","54","","15.3","80"
"Western Buffer","Pai Min Kok Stream","AN2","1988-08-30","1","17.1","260","1.6","0.2","","<1","","","80","0.2","31","","","1","146","7","<0.01","90","7.5","","","null","0.2","0","520","23","60","<1","","<10","1.8","0.1","1","0.76","6.8","","","12","","<0.01","29","","3.3","3","1","150","64","49","","25","90"
"Western Buffer","Pai Min Kok Stream","AN2","1988-09-22","1","10.5","110","5.6","<0.05","","<1","","","90","0.2","18","","","1","169","5","<0.01","81","6.5","","","1","0.4","0","320","8","130","<1","","20","1.2","0.16","1","0.82","6.6","","","17","","0.02","5","","7","<1","1","120","70","7.1","","26.8","40"
"Western Buffer","Pai Min Kok Stream","AN2","1988-10-07","1","821","650","62","0.33","","<1","","","310","0.3","800","","","3","1008","5","<0.01","25","2.2","","","null","0.3","0.06","1000","8","230","<1","","<10","0.024","0.009","36","10","7.9","","","9.6","","0.48","630","","160","290","22","1400","910","400","","23.2","160"
"Western Buffer","Pai Min Kok Stream","AN2","1988-11-17","1","18.3","400","89","3.6","","<1","","","170","0.3","4100","","","3","700","1","<0.01","33","3","","","0","0.4","0.04","470","8","120","1","","10","<0.002","0.069","56","10","7.4","","","8.9","","0.93","1500","","420","50","79","3700","3000","760","","19.9","110"
"Western Buffer","Pai Min Kok Stream","AN2","1988-12-21","1","1712","2100","160","3.1","","<1","","","180","0.8","3500","94","","12","1536","4","0.01","23","2.3","","","0","0.4","0.01","6100","83","780","<1","","10","0.96","0.056","210","32","7.8","","","19","","1","1800","","300","410","60","3700","2800","1360","","17.8","860"
