"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2001-01-04","1","3.2","60","0.18","0.99","<1","1","15","<1","<50","0.1","13","50","","3","330","6","<0.01","79","7.5","2000","5000","null","0.6","<0.01","110","2","20","<1","2","1","2.9","0.36","<0.5","0.44","7.4","","0.2","16","<1","","2.2","<1","0.65","4","0.58","240","72","0.4","<2","18.4","30"
"Western Buffer","Pai Min Kok Stream","AN1","2001-02-01","1","2.3","70","1.4","0.42","<1","<1","15","<1","330","<0.1","13","1200","","<1","3908","6","<0.01","86","8.1","8000","13000","null","0.6","<0.01","160","1","30","<1","3","1","2.4","0.32","<0.5","0.41","7.6","","2.4","16","<1","<0.02","2","<1","1.9","4","0.57","2800","570","0.3","<2","17.8","50"
"Western Buffer","Pai Min Kok Stream","AN1","2001-03-05","1","2.9","<50","1","0.32","<1","<1","32","<1","80","<0.1","15","360","","<1","1238","5","<0.01","75","7.2","6900","7900","null","0.6","<0.01","210","<1","60","<1","4","1","3.7","0.81","<0.5","0.63","7.1","","0.7","17","<1","<0.02","1.5","<1","1.6","5","0.75","830","180","3.8","<2","17.2","30"
"Western Buffer","Pai Min Kok Stream","AN1","2001-04-02","1","4.1","120","1.3","0.12","<1","1","22","<1","310","0.1","23","2000","","4","3128","7","<0.01","71","6.2","7900","23000","null","0.7","<0.01","200","1","40","<1","5","2","3.1","0.68","<0.5","0.46","7.7","","1.8","19","<1","<0.02","2.3","<1","1.7","6","0.5","3800","610","0.7","2","21.7","20"
"Western Buffer","Pai Min Kok Stream","AN1","2001-05-02","1","2","160","0.53","0.1","<1","2","10","<1","70","<0.1","12","170","","<1","804","5","<0.01","72","5.9","13000","47000","null","0.6","<0.01","160","1","20","<1","3","3","2.9","0.45","<0.5","0.38","7.5","","0.4","17","<1","<0.02","3.5","<1","0.98","4","0.46","460","60","3.3","<2","25.1","30"
"Western Buffer","Pai Min Kok Stream","AN1","2001-06-01","1","1.8","240","0.12","0.07","<1","2","12","<1","130","<0.1","12","570","","<1","1432","6","<0.01","92","7.5","7900","39000","null","0.5","<0.01","180","1","20","<1","2","<1","2.5","0.097","<0.5","0.22","7.8","","0.7","15","<1","<0.02","2.2","<1","0.24","3","0.25","960","140","0.6","<2","25.5","20"
"Western Buffer","Pai Min Kok Stream","AN1","2001-07-05","1","1","320","0.1","0.09","<1","<1","15","<1","1000","0.1","6","4600","","4","13448","8","<0.01","97","7.5","39000","56000","null","0.6","<0.01","470","7","30","<1","3","3","0.92","0.027","<0.5","0.069","8.2","","7.4","12","<1","<0.02","16","<1","0.37","2","0.11","9000","1700","9.1","<2","26.8","40"
"Western Buffer","Pai Min Kok Stream","AN1","2001-08-15","1","1.9","350","0.081","0.12","<1","<1","9","<1","<50","<0.1","7","14","","<1","183","4","<0.01","99","7.7","16000","89000","null","0.3","<0.01","460","3","20","<1","<2","2","1.1","0.019","<0.5","0.094","8.3","","0.1","17","<1","<0.02","12","<1","0.22","2","0.12","230","58","32.1","<2","28.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","2001-09-13","1","1.2","90","0.17","0.06","<1","<1","9","<1","<50","<0.1","10","30","","<1","217","3","<0.01","96","7.5","27000","110000","null","0.3","<0.01","330","2","10","<1","<2","2","0.9","0.025","<0.5","0.081","7.4","","0.1","16","<1","<0.02","5.3","<1","0.25","3","0.1","170","42","2.2","<2","28.1","30"
"Western Buffer","Pai Min Kok Stream","AN1","2001-10-08","1","1.4","150","0.18","<0.05","<1","<1","8","<1","<50","<0.1","10","19","","<1","190","3","<0.01","100","7.8","11000","38000","null","0.3","<0.01","140","1","<10","<1","<2","<1","0.94","0.057","0.5","0.13","7.6","","0.1","18","<1","<0.02","2.8","<1","0.33","3","0.18","120","40","1.5","<2","27.2","30"
"Western Buffer","Pai Min Kok Stream","AN1","2001-11-08","1","2.1","160","0.31","0.22","<1","<1","10","<1","<50","<0.1","10","78","","<1","377","6","<0.01","89","7.7","6600","29000","null","0.4","<0.01","180","1","70","<1","<2","4","1.6","0.15","<0.5","0.21","7","","0.2","17","<1","<0.02","2.3","<1","0.45","3","0.26","260","38","0.9","<2","22.4","60"
"Western Buffer","Pai Min Kok Stream","AN1","2001-12-04","1","2.7","120","0.087","0.08","<1","<1","12","<1","<50","<0.1","9","110","","2","483","4","<0.01","84","7.4","1700","9500","null","0.5","<0.01","320","2","30","<1","2","<1","2.5","0.036","<0.5","0.26","7.2","","0.3","16","<1","<0.02","1.4","<1","0.28","3","0.31","210","81","3.2","<2","22.1","40"
