"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1995-01-11","1","7.3","290","0.84","0.3","","<1","","","<50","0.1","23","39","","2","286","4","0.02","95","9","10000","80000","null","0.5","<0.01","260","9","20","<1","","1","2.5","0.22","1.5","0.27","7.6","","","14","","<0.02","21","","2","9","0.45","230","54","20","","18.4","1200"
"Western Buffer","Pai Min Kok Stream","AN1","1995-02-10","1","6.4","140","0.32","0.56","","<1","","","<50","0.1","13","39","","<1","302","5","0.01","85","8.4","4000","11000","null","0.6","<0.01","150","3","20","<1","","1","4.4","0.27","1.9","0.46","7.7","","","15","","<0.02","5.8","","1","8","0.64","270","96","7.5","","16.3","70"
"Western Buffer","Pai Min Kok Stream","AN1","1995-03-08","1","10","70","0.4","0.11","","<1","","","<50","0.1","21","48","","<1","350","6","0.02","95","8.9","3400","4900","null","0.6","<0.01","130","2","20","<1","","<1","3.6","0.057","<0.5","0.41","7.7","","","16","","0.04","3","","1.4","7","0.52","240","56","3.2","","18.7","80"
"Western Buffer","Pai Min Kok Stream","AN1","1995-04-07","1","4.8","510","0.31","0.12","","2","","","<50","0.2","18","180","","2","340","9","<0.01","95","8.9","21000","45000","null","0.5","<0.01","1200","14","90","<1","","3","3.1","0.17","0.8","0.041","6.8","","","20","","<0.02","17","","0.99","9","0.67","600","260","9.8","","20.1","390"
"Western Buffer","Pai Min Kok Stream","AN1","1995-05-05","1","2.9","160","0.29","0.06","","1","","","2400","<0.1","86","13000","","8","32750","10","<0.01","65","5","450000","520000","null","0.8","<0.01","300","5","80","<1","","12","0.98","0.092","<0.5","0.21","7.7","","","6.2","","0.03","23","","1","6","0.29","24000","4200","10","","22.2","70"
"Western Buffer","Pai Min Kok Stream","AN1","1995-06-08","1","11","440","0.31","0.12","","2","","","<50","0.3","34","56","","2","247","12","0.01","67","5","80000","200000","null","0.6","<0.01","920","14","190","<1","","4","2.8","0.12","0.6","0.4","7.6","","","15","","0.04","15","","1.7","20","0.6","450","240","8.5","","26.9","380"
"Western Buffer","Pai Min Kok Stream","AN1","1995-07-13","1","5.2","540","0.18","0.07","","<1","19","","<50","0.8","21","30","","2","119","12","<0.01","95","8.3","160000","190000","null","0.3","<0.01","560","16","50","<1","","2","0.71","0.03","0.8","0.1","7.5","","","5.6","<1","<0.02","48","","0.98","3","0.22","170","58","50","2","21.2","160"
"Western Buffer","Pai Min Kok Stream","AN1","1995-08-10","1","2.4","80","0.056","<0.05","","<1","9","","<50","0.2","9","150","","<1","345","3","<0.01","101","7.1","110000","160000","null","0.3","<0.01","140","2","20","<1","","<1","1.8","0.014","<0.5","0.16","7.7","","","16","<1","<0.02","5.1","","0.33","5","0.19","320","62","5.9","<2","22.4","30"
"Western Buffer","Pai Min Kok Stream","AN1","1995-09-07","1","3.5","130","0.1","0.05","","<1","8","","<50","0.2","16","36","","<1","128","3","0.02","90","7.7","43000","47000","null","0.3","<0.01","110","2","<10","<1","","<1","1.6","0.016","<0.5","0.19","7.4","","","18","<1","<0.02","2.8","","0.42","4","0.24","140","32","4.4","<2","22","40"
"Western Buffer","Pai Min Kok Stream","AN1","1995-10-16","1","32","140","0.057","0.06","","<1","9","","<50","0.2","85","18","","<1","91","18","<0.01","85","6.9","23000","31000","null","0.3","<0.01","170","6","<10","<1","","2","1.6","<0.002","4.1","0.099","7.4","","","17","<1","<0.02","1.6","","0.53","51","0.24","120","60","5.3","<2","24.6","110"
