"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2011-01-21","1","4.3","160","2.5","0.36","<1","<1","16","<1","90","<0.1","11","410","2.4","<1","1043","7","<0.01","99","10.3","2100","4700","null","0.6","<0.01","70","<1","10","<1","2","1","1.8","0.19","0.5","0.44","8","1.1","0.7","16","<1","<0.02","4.8","<1","3.1","5","0.68","960","110","28.2","<2","13.7","50"
"Western Buffer","Pai Min Kok Stream","AN1","2011-02-07","1","1.8","70","0.47","0.12","<1","<1","17","<1","<50","<0.1","7","21","16","<1","179","5","<0.01","99","9.6","110","160","null","0.7","<0.01","90","<1","20","<1","<2","1","1.9","0.26","<0.5","0.19","8.2","6.8","0.1","14","<1","<0.02","2.8","<1","1.3","3","0.23","140","44","2.4","<2","16.9","40"
"Western Buffer","Pai Min Kok Stream","AN1","2011-03-17","1","7.3","1500","0.69","0.09","<1","<1","28","<1","<50","0.2","17","23","0.9","<1","198","4","<0.01","100","10.1","9500","17000","null","0.8","<0.01","460","37","270","<1","3","2","2.4","0.27","<0.5","0.23","8.1","1.6","0.1","15","<1","<0.02","300","<1","1.5","3","0.28","510","69","483.4","<2","14.8","50"
"Western Buffer","Pai Min Kok Stream","AN1","2011-04-12","1","4.9","180","0.61","0.18","<1","<1","23","<1","<50","<0.1","19","29","10","<1","273","10","<0.01","99","8.8","430","3400","null","0.7","<0.01","340","4","30","<1","<2","3","2.4","0.3","<0.5","0.24","8.1","8.1","0.1","13","<1","<0.02","16","<1","1.3","5","0.3","220","58","7.9","<2","21.3","60"
"Western Buffer","Pai Min Kok Stream","AN1","2011-05-23","1","0.8","380","0.12","<0.05","<1","<1","13","<1","<50","<0.1","7","19","0.8","<1","220","3","<0.01","100","8.4","39000","44000","null","0.4","<0.01","110","2","10","<1","2","<1","3.2","0.03","<0.5","0.07","8","<0.2","0.1","14","<1","<0.02","4.4","<1","0.5","2","0.09","160","51","13.5","<2","23.8","30"
"Western Buffer","Pai Min Kok Stream","AN1","2011-06-15","1","1","310","0.039","<0.05","<1","<1","13","<1","<50","<0.1","9","17","0.6","<1","234","5","<0.01","101","7.9","3300","19000","null","0.6","<0.01","150","9","20","<1","3","1","1.9","0.031","<0.5","0.083","8.5","1.8","0.1","16","<1","<0.02","37","<1","0.34","3","0.1","200","73","53","<2","27.9","30"
"Western Buffer","Pai Min Kok Stream","AN1","2011-07-20","1","0.3","120","0.031","<0.05","<1","<1","11","<1","<50","<0.1","4","<10","0.7","<1","141","5","<0.01","99","8","2500","110000","null","0.4","<0.01","160","2","10","<1","<2","<1","1.2","0.007","<0.5","0.057","7.7","<0.2","0.1","14","<1","<0.02","6.2","<1","0.29","2","0.07","120","35","16.8","<2","25.9","30"
"Western Buffer","Pai Min Kok Stream","AN1","2011-08-10","1","3.7","590","0.054","0.07","<1","1","19","<1","<50","0.1","12","17","4.3","2","174","12","<0.01","99","7.8","25000","240000","null","0.3","<0.01","800","28","120","<1","3","1","1","0.047","1.2","0.06","7.8","1.1","0.1","9","<1","<0.02","190","<1","0.75","4","0.18","340","78","122.7","3","27","130"
"Western Buffer","Pai Min Kok Stream","AN1","2011-09-14","1","12","360","1.3","0.96","<1","<1","24","<1","<50","<0.1","15","20","<0.2","1","227","20","<0.01","98","7.6","30000","200000","null","0.5","<0.01","390","9","20","<1","<2","2","1.7","0.16","0.8","0.15","8","1.3","0.1","17","<1","<0.02","24","<1","3.7","6","0.4","190","69","12.3","<2","28.2","160"
"Western Buffer","Pai Min Kok Stream","AN1","2011-10-13","1","0.6","170","0.092","<0.05","<1","<1","11","<1","<50","<0.1","9","11","0.9","<1","185","2","<0.01","100","8.1","1800","4100","null","0.6","<0.01","130","2","20","<1","4","<1","1.7","0.047","<0.5","0.086","8.3","0.6","0.1","18","<1","<0.02","3.7","<1","0.36","2","0.09","120","25","6.5","<2","25.9","20"
