"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2003-02-26","1","12","1200","1.1","0.28","<1","1","27","<1","<50","0.1","25","29","36","2","296","17","<0.01","95","8.5","5600","160000","null","0.6","<0.01","1400","31","110","<1","2","3","4.8","0.58","<0.5","0.65","8","27","0.2","15","<1","<0.02","57","<1","2.2","6","0.91","250","15","21.5","3","21.3","90"
"Western Buffer","Pai Min Kok Stream","AN1","2003-03-21","1","6.3","190","0.73","0.26","<1","<1","21","<1","<50","<0.1","15","53","","<1","372","7","<0.01","87","8.4","31000","89000","null","0.6","<0.01","250","3","30","<1","3","<1","4.4","0.59","0.7","0.64","8.3","","0.2","16","<1","<0.02","10","<1","0.94","6","0.84","370","130","13.2","2","17.3","20"
"Western Buffer","Pai Min Kok Stream","AN1","2003-04-23","1","8.3","3300","1.3","0.42","2","3","52","1","<50","0.5","47","110","5.1","4","647","40","<0.01","73","5.9","18000","180000","null","0.9","<0.01","4000","150","380","<1","5","4","4.4","0.7","2.6","0.74","8.5","6.2","0.3","17","<1","0.03","700","<1","3.6","10","1.5","1200","240","966.2","10","26.4","200"
"Western Buffer","Pai Min Kok Stream","AN1","2003-05-21","1","1.7","140","0.063","0.06","<1","<1","23","<1","<50","<0.1","6","<10","","<1","149","3","<0.01","100","8.1","1500","85000","null","0.5","<0.01","130","1","<10","<1","<2","<1","1.8","0.055","<0.5","0.14","7.9","","0.1","14","<1","<0.02","4.3","<1","0.17","3","0.15","77","13","4.1","<2","26.7","20"
"Western Buffer","Pai Min Kok Stream","AN1","2003-09-18","1","1","100","0.15","<0.05","<1","<1","10","<1","<50","<0.1","3","<10","","<1","132","2","<0.01","91","7.2","9000","30000","null","0.3","<0.01","230","1","60","<1","<2","<1","1.1","0.021","<0.5","0.084","7.5","","0.1","16","<1","<0.02","4.7","<1","0.2","1","0.09","100","23","21.2","<2","27.5","20"
"Western Buffer","Pai Min Kok Stream","AN1","2003-10-09","1","2.8","130","0.042","0.07","<1","<1","14","<1","60","<0.1","4","210","1.3","3","986","3","<0.01","77","6.2","26000","40000","null","0.4","<0.01","200","2","<10","<1","<2","<1","1.5","0.042","<0.5","0.12","7.7","<0.2","0.5","18","<1","<0.02","6.6","<1","0.2","2","0.14","510","97","7.3","3","26.4","20"
"Western Buffer","Pai Min Kok Stream","AN1","2003-11-07","1","1.3","2700","0.25","0.08","<1","3","49","<1","<50","0.3","21","17","","6","224","17","<0.01","81","6.7","7700","10000","null","0.5","<0.01","2700","23","230","<1","2","5","1.7","0.13","<0.5","0.25","9.7","","0.1","18","<1","0.03","400","<1","1.3","3","0.61","520","96","21.7","10","25","70"
"Western Buffer","Pai Min Kok Stream","AN1","2003-12-01","1","2.9","1300","0.23","0.74","<1","<1","12","<1","<50","<0.1","17","23","1.9","11","314","11","0.01","102","9.2","740","6600","null","0.5","<0.01","1300","4","30","<1","3","4","1.4","0.092","1.4","0.16","10.5","<0.2","0.2","27","<1","<0.02","30","<1","1.3","5","0.35","210","57","29.1","4","19.7","70"
"Western Buffer","Pai Min Kok Stream","AN2","2003-01-22","1","4.9","170","0.94","0.76","<1","<1","7","<1","<50","<0.1","6","<10","","<1","169","2","<0.01","115","11.1","12000","29000","null","0.4","<0.01","100","<1","20","<1","<2","<1","1.3","0.15","<0.5","0.29","8.8","","0.1","16","<1","<0.02","5.8","<1","0.93","3","0.4","110","38","41.7","<2","16.9","20"
"Western Buffer","Pai Min Kok Stream","AN2","2003-02-26","1","4.6","70","0.98","0.56","<1","<1","6","<1","<50","<0.1","9","<10","7.8","<1","272","2","<0.01","117","10.5","13000","580000","null","0.5","<0.01","130","<1","<10","<1","<2","<1","2.2","0.26","<0.5","0.52","8.9","2","0.1","16","<1","<0.02","2.3","<1","1.2","4","0.57","120","34","7.7","<2","20.6","10"
