"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2005-01-20","1",">8.8","120","2.7","0.51","<1","<1","22","<1","<50","0.1","25","26","","<1","272","25","<0.01","82","8.1","9500","22000","null","0.9","<0.01","190","3","30","<1","<2","2","4.4","0.56","<0.5","0.83","7.9","","0.2","14","<1","<0.02","6.3","<1","3.8","9","0.93","210","71","2.5","<2","15.8","100"
"Western Buffer","Pai Min Kok Stream","AN1","2005-02-17","1","58","4800","4.1","0.72","<1","4","120","<1","90","1.1","130","29","","11","384","140","<0.01","96","8.5","190000","2600000","null","0.8","<0.01","5500","65","580","<1","<2","16","3.5","0.81","0.9","0.89","8","","0.2","16","<1","0.02","430","<1","12","43","2.6","760","240","5.7","8","21.2","1300"
"Western Buffer","Pai Min Kok Stream","AN1","2005-03-17","1","16","150","3.7","0.93","<1","<1","17","<1","60","0.1","47","20","","<1","323","13","<0.01","106","9.6","48000","260000","null","0.6","<0.01","160","1","20","<1","2","2","5","1.2","0.7","0.86","8.7","","0.2","16","<1","<0.02","3.7","<1","4.4","12","1.1","260","66","5.2","<2","20.1","70"
"Western Buffer","Pai Min Kok Stream","AN1","2005-04-21","1","9.6","2900","0.48","0.14","1","3","78","<1","<50","0.6","28","24","4.5","6","276","23","<0.01","96","8.2","11000","34000","null","0.6","<0.01","2000","23","180","<1","2","8","3","0.18","1.4","0.17","8.8","3.8","0.1","11","<1","<0.02","17","<1","2.4","8","0.49","370","79","122.5","6","23.4","900"
"Western Buffer","Pai Min Kok Stream","AN1","2005-05-25","1","5.1","110","0.16","0.14","<1","<1","14","<1","<50","0.1","16","<10","1.4","<1","175","9","<0.01","97","7.8","90000","270000","null","0.4","<0.01","120","2","30","<1","<2","1","2.3","0.09","<0.5","0.12","8.5","1.1","0.1","16","<1","<0.02","3.5","<1","0.49","3","0.15","150","30","4.7","<2","26.5","50"
"Western Buffer","Pai Min Kok Stream","AN1","2005-06-16","1","1.3","130","0.11","0.07","<1","<1","12","<1","<50","0.1","6","<10","1.5","<1","139","16","<0.01","92","7.4","30000","93000","null","0.4","<0.01","130","2","<10","<1","<2","<1","1.5","0.036","<0.5","0.084","7.5","1.4","0.1","13","<1","<0.02","7.6","<1","0.55","4","0.1","140","40","14.5","<2","26.3","50"
"Western Buffer","Pai Min Kok Stream","AN1","2005-07-14","1","3.2","90","0.25","0.16","<1","<1","10","<1","<50","<0.1","14","<10","4.8","<1","122","5","<0.01","97","7.6","9600","270000","null","0.3","<0.01","740","2","20","<1","<2","<1","1","0.047","<0.5","0.096","7.7","5.9","0.1","16","<1","<0.02","7.6","<1","0.57","3","0.16","100","28","7.2","<2","28","40"
"Western Buffer","Pai Min Kok Stream","AN1","2005-08-12","1","1.5","110","0.18","0.13","<1","<1","11","<1","<50","0.1","8","<10","4.1","<1","115","5","<0.01","93","7.3","6800","70000","null","0.3","<0.01","550","3","30","<1","<2","<1","0.98","0.047","<0.5","0.12","7.7","3.7","0.1","17","<1","<0.02","24","<1","0.52","3","0.16","130","28","9.6","<2","27.7","40"
"Western Buffer","Pai Min Kok Stream","AN1","2005-09-16","1","2.1","140","0.1","0.48","<1","<1","8","<1","<50","<0.1","8","10","1","<1","157","5","<0.01","96","7.3","43000","200000","null","0.3","<0.01","290","1","30","<1","<2","<1","0.91","0.037","<0.5","0.13","7.8","1.3","0.1","17","<1","<0.02","4.2","<1","0.36","2","0.17","120","31","5.4","<2","29.3","40"
"Western Buffer","Pai Min Kok Stream","AN1","2005-10-26","1","4.7","270","0.33","0.52","<1","<1","9","<1","<50","<0.1","13","<10","2.1","<1","137","5","<0.01","101","8.4","7900","42000","null","0.5","<0.01","170","1","<10","<1","<2","<1","0.91","0.061","<0.5","0.16","9.3","2.3","0.1","19","<1","<0.02","8.2","<1","0.86","3","0.19","110","22","10.4","2","24.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","2005-11-14","1","2.7","240","0.13","0.24","<1","<1","9","<1","<50","<0.1","10","16","3.3","<1","193","3","<0.01","94","7.6","90000","360000","null","0.5","<0.01","150","1","10","<1","<2","<1","1.3","0.14","<0.5","0.2","9","3.1","0.1","19","<1","<0.02","4.2","<1","0.51","2","0.24","140","44","5.4","<2","26.1","50"
