"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1993-01-18","1","2.9","110","0.075","<0.05","","<1","","","<50","<0.1","16","27","","2","286","4","<0.01","107","11.8","90000","90000","null","0.5","<0.01","150","2","20","<1","","<1","13.1","0.067","0.6","0.56","8.4","","","16.2","","<0.02","3.5","","0.93","6","0.84","230","46","4.9","","8.5","50"
"Western Buffer","Pai Min Kok Stream","AN1","1993-02-11","1","6.5","200","<0.005","<0.05","","<1","","","<50","0.2","26","37","","<1","313","6","<0.01","92","9.2","23000","24000","null","1","<0.01","260","4","40","<1","","2","3.5","0.344","<0.5","0.651","8.7","","","16.2","","0.02","16","","1.07","7","0.79","280","78","5.3","","15.3","50"
"Western Buffer","Pai Min Kok Stream","AN1","1993-03-08","1","3.5","180","0.038","0.29","","<1","","","130","0.1","17","430","","2","1483","5","<0.01","93","8.7","21000","22000","null","0.8","<0.01","160","<1","50","<1","","<1","3.25","<0.002","0.5","0.754","8.9","","","18.2","","0.02","5.5","","0.6","4","0.84","1000","160","3.3","","19.9","50"
"Western Buffer","Pai Min Kok Stream","AN1","1993-04-19","1","7.2","240","0.053","0.26","","<1","","","<50","0.2","21","50","","11","435","6","<0.01","73","6.8","6000","11000","null","0.7","<0.01","240","6","40","<1","","2","4.37","<0.002","<0.5","0.652","9","","","24.5","","0.02","7.5","","0.59","14","1.41","370","88","6.7","","18.9","110"
"Western Buffer","Pai Min Kok Stream","AN1","1993-05-13","1","6.5","860","0.031","0.48","","1","","","<50","0.1","35","33","","9","483","6","<0.01","74","6.2","1500","1600","null","1","<0.01","240","11","50","<1","","4","3.42","0.002","0.5","0.352","9.6","","","27.6","","<0.02","20","","0.96","8","0.47","420","120","24","","23.8","50"
"Western Buffer","Pai Min Kok Stream","AN1","1993-06-18","1","1.7","460","0.069","<0.05","","<1","","","90","<0.1","15","12","","3","166","2","<0.01","85","6.9","4500","6100","null","0.3","<0.01","320","10","90","<1","","<1","2.87","0.003","<0.5","0.178","8.7","","","16.7","","0.02","30","","3.03","4","0.59","180","48","24","","26.2","60"
"Western Buffer","Pai Min Kok Stream","AN1","1993-07-14","1","16","1800","0.083","<0.05","","2","","","80","0.1","24","15","","13","364","8","<0.01","81","6.3","10","10","null","0.5","<0.01","1100","6","90","<1","","5","2.01","0.093","<0.5","0.066","10.3","","","30.4","","<0.02","48","","0.72","6","0.32","240","68","36","","28","40"
"Western Buffer","Pai Min Kok Stream","AN1","1993-08-12","1","2.9","2600","0.242","0.34","","1","","","150","<0.1","33","17","","17","73","16","<0.01","90","6.6","10","10","null","0.7","<0.01","750","7","90","<1","","<1","1.55","0.189","<0.5","0.091","11","","","35.8","","0.02","130","","1.01","6","0.2","390","90","50","","29.4","70"
"Western Buffer","Pai Min Kok Stream","AN1","1993-09-14","1","2.3","930","0.324","0.27","","<1","","","100","<0.1","17","13","","12","1390","4","<0.01","87","6.5","10","90","null","0.7","<0.01","350","3","50","<1","","<1","2.16","0.315","<0.5","0.127","10.2","","","13.6","","0.02","44","","1.05","5","0.36","800","110","15","","28.8","90"
"Western Buffer","Pai Min Kok Stream","AN1","1993-10-11","1","2.4","880","0.097","0.24","","1","","","<50","0.1","33","15","","6","237","3","<0.01","92","8.4","4000","5000","null","0.4","<0.01","420","3","50","<1","","<1","2.07","0.069","<0.5","0.18","10.4","","","22","","","27","","0.38","9","0.41","220","42","19","","17.4","70"
"Western Buffer","Pai Min Kok Stream","AN1","1993-11-08","1","3.9","890","0.151","0.12","","<1","","","<50","0.1","12","13","","3","146","5","0.01","83","7.3","500","800","null","0.4","<0.01","300","6","30","<1","","3","2.51","0.046","<0.5","0.152","10.3","","","20.2","","<0.02","19","","1.21","5","0.24","180","28","9.3","","24","40"
"Western Buffer","Pai Min Kok Stream","AN1","1993-12-09","1","7.9","830","0.182","0.48","","1","","","<50","0.1","20","22","","10","204","6","<0.01","86","7.8","4300","5800","null","0.4","<0.01","430","4","20","<1","","<1","2.61","0.145","<0.5","0.148","10.5","","","25.8","","0.02","48","","1.15","6","0.35","260","88","31","","19.1","40"
"Western Buffer","Pai Min Kok Stream","AN2","1993-01-18","1","7.8","190","0.076","<0.05","","<1","","","<50","0.2","14","28","","<1","245","5","0.01","93","10.5","95000","250000","0.001","0.4","<0.01","160","9","50","<1","","<1","12.7","0.045","0.7","0.616","7.6","","","14.9","","<0.02","11","","1.27","8","0.65","220","66","6.3","","8","130"
"Western Buffer","Pai Min Kok Stream","AN2","1993-02-11","1","21","90","3.29","<0.05","","<1","","","<50","0.2","24","29","","<1","319","4","<0.01","82","7.5","160000","180000","0.001","0.5","<0.01","300","3","40","<1","","3","5.37","4.7","<0.5","1.92","7.8","","","17.4","","0.02","5.5","","5.13","6","2.05","210","44","3.1","","15.5","80"
"Western Buffer","Pai Min Kok Stream","AN2","1993-03-08","1","7.1","1300","<0.005","0.26","","1","","","<50","0.2","18","37","","6","372","11","<0.01","83","7.4","96000","99000","null","0.5","<0.01","1100","17","160","<1","","5","10.4","0.002","<0.5","2.04","9.4","","","25.6","","0.03","72","","1.2","6","2.37","390","94","33","","20.4","80"
"Western Buffer","Pai Min Kok Stream","AN2","1993-04-19","1","10","150","0.044","0.29","","2","","","<50","0.1","28","35","","1","357","4","<0.01","59","5.3","250000","290000","null","<0.2","<0.01","190","5","70","<1","","1","12.2","0.015","<0.5","1.91","7.6","","","17.3","","0.03","6.5","","0.63","13","3.1","330","140","31","","19.1","100"
"Western Buffer","Pai Min Kok Stream","AN2","1993-05-13","1","9.1","1700","0.066","0.56","","2","","","<50","0.2","43","37","","13","565","6","<0.01","38","3.3","2600","3600","0.009","1.3","<0.01","310","16","60","<1","","2","2.35","0.316","0.5","0.233","9.8","","","32.7","","0.02","16","","0.76","12","0.3","480","130","29","","22.3","40"
"Western Buffer","Pai Min Kok Stream","AN2","1993-06-18","1","1.7","230","0.098","<0.05","","<1","","","90","0.1","8","11","","<1","102","2","<0.01","83","6.8","9000","67000","0.018","0.2","<0.01","260","6","40","<1","","<1","2.31","0.005","<0.5","0.164","6.7","","","14.1","","<0.02","16","","3.77","4","0.53","130","44","19","","25.7","70"
"Western Buffer","Pai Min Kok Stream","AN2","1993-07-14","1","6","110","0.032","<0.05","","<1","","","60","0.1","11","<10","","<1","100","2","<0.01","83","6.8","21000","36000","0.009","0.3","<0.01","200","2","20","<1","","<1","1.78","0.173","<0.5","0.176","8.1","","","15.8","","<0.02","6","","0.18","3","0.59","110","46","15","","27.9","30"
"Western Buffer","Pai Min Kok Stream","AN2","1993-08-12","1","2.2","290","0.024","0.22","","<1","","","140","0.2","9","11","","2","108","2","<0.01","92","7","30000","43000","0.004","0.3","<0.01","210","5","20","<1","","<1","1.85","<0.002","<0.5","0.274","7","","","19.6","","<0.02","5.5","","0.11","3","0.49","120","50","7.4","","27.6","60"
"Western Buffer","Pai Min Kok Stream","AN2","1993-09-14","1","1.7","80","0.047","<0.05","","<1","","","<50","<0.1","6","13","","<1","128","4","<0.01","92","8.2","120000","180000","0.001","0.4","<0.01","110","<1","10","<1","","<1","2.48","<0.002","<0.5","0.447","7.2","","","22.9","","<0.02","2","","0.61","4","0.49","110","44","3","","27.2","100"
"Western Buffer","Pai Min Kok Stream","AN2","1993-10-11","1","1.5","140","0.108","<0.05","","<1","","","<50","0.3","12","10","","<1","93","<1","<0.01","86","8","40000","60000","0.009","0.3","<0.01","260","2","20","<1","","2","1.36","0.028","<0.5","0.13","7.7","","","15.9","","","4.1","","0.24","2","0.15","110","42","14","","17.4","40"
"Western Buffer","Pai Min Kok Stream","AN2","1993-11-08","1","1.5","110","0.177","<0.05","","<1","","","<50","0.2","9","16","","<1","83","3","<0.01","96","8.1","40000","130000","0.005","0.3","<0.01","120","3","20","<1","","3","1.85","0.026","<0.5","0.143","7.9","","","17.6","","<0.02","4.6","","0.49","4","0.16","110","38","7.8","","23.5","50"
"Western Buffer","Pai Min Kok Stream","AN2","1993-12-09","1","2.4","60","0.345","<0.05","","<1","","","<50","<0.1","10","11","","1","75","<1","<0.01","91","8.5","57000","79000","0.002","0.3","<0.01","<50","<1","<10","<1","","<1","2.21","0.131","<0.5","0.306","7.9","","","18.7","","<0.02","3.2","","0.72","3","0.38","90","38","3.5","","18.3","30"
