"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2015-01-12","1","1.1","<50","0.36","<0.05","<1","<1","20","<1","1125","0.1","10","4500","0.3","2","6305","7","<0.01","99","9.4","4700","9300","null","0.7","<0.01","60","<1","<10","<1","5","6","1.5","0.12","<0.5","0.081","7.7","2.1","4.2","11","<1","<0.02","4","<1","1.6","4","0.1","9900","1700","0.9","<2","16.4","43"
"Western Buffer","Pai Min Kok Stream","AN1","2015-02-09","1","1.6","<50","1.1","0.07","<1","<1","19","<1","1252","<0.1","17","5300","1.3","<1","12623","27","<0.01","99","9.2","1100","9900","null","0.7","<0.01","<50","<1","<10","<1","4","9","1.4","0.093","<0.5","0.12","7.7","0.4","8.9","9.3","<1","<0.02","1","<1","2.5","3","0.15","12000","2000","1.3","<2","15.9","35"
"Western Buffer","Pai Min Kok Stream","AN1","2015-03-13","1","6.1","<50","0.049","<0.05","<1","<1","18","<1","1627","0.1","6","7100","1.6","3","18433","5","<0.01","101","8.8","2500","2700","null","0.7","<0.01","68","<1","<10","<1","5","5","1.3","0.025","<0.5","0.032","7.9","<0.2","12.7","9","<1","<0.02","1","<1","0.56","2","0.07","17000","3600","1","2","18.4","20"
"Western Buffer","Pai Min Kok Stream","AN1","2015-04-16","1","0.7","55","0.057","<0.05","<1","<1","17","<1","1359","0.1","6","5800","1.3","4","15907","4","<0.01","102","8.5","6300","15000","null","0.7","<0.01","82","<1","17","<1","4","6","1.4","0.018","<0.5","0.037","8.3","1.7","10","9.9","<1","<0.02","0.7","<1","0.42","2","0.05","14000","2900","0.6","3","21.9","24"
"Western Buffer","Pai Min Kok Stream","AN1","2015-05-14","1","0.6","131","0.071","0.07","<1","<1","19","<1","596","0.1","21","2700","1.7","3","8500","9","<0.01","100","7.9","3800","12000","null","0.6","<0.01","111","1","28","<1","5","6","1.7","0.05","<0.5","0.062","8.2","1.4","4.6","10","<1","<0.02","1.6","<1","1.5","6","0.1","5900","1200","3.3","4","26.2","44"
"Western Buffer","Pai Min Kok Stream","AN1","2015-06-10","1","2.3","146","0.038","<0.05","<1","<1","14","<1","538","0.1","10","2400","0.6","3","8087","5","<0.01","99","7.6","44000","330000","null","0.6","<0.01","153","<1","<10","<1","3","2","1.1","0.039","<0.5","0.023","7.6","1","4.2","15","<1","<0.02","2.2","<1","0.34","2","0.07","4900","860","2","<2","27.8","21"
"Western Buffer","Pai Min Kok Stream","AN1","2015-07-10","1","1.1","216","0.051","<0.05","<1","<1","16","<1","513","0.1","11","2300","1","<1","7401","18","<0.01","101","7.9","9000","72000","null","0.4","<0.01","247","1","53","<1","3","3","0.81","0.021","<0.5","0.045","7.5","0.9","3.9","15","<1","<0.02","7.8","<1","0.57","3","0.06","4900","940","9.7","2","26.7","44"
"Western Buffer","Pai Min Kok Stream","AN1","2015-08-12","1","0.7","79","0.057","<0.05","<1","<1","9","<1","53","<0.1","5","16","0.8","<1","149","3","<0.01","99","7.8","28000","80000","null","0.3","<0.01","328","<1","<10","<1","<2","<1","0.6","0.026","<0.5","0.043","7.6","0.3","0.1","18","<1","<0.02","1.3","<1","0.48","2","0.06","120","38","7.7","<2","27.7","28"
"Western Buffer","Pai Min Kok Stream","AN1","2015-09-09","1","0.6","86","0.044","<0.05","<1","<1","8","<1","<50","<0.1","6","10","1.2","<1","77","3","<0.01","102","8.2","4900","39000","null","0.4","<0.01","265","<1","84","<1","<2","<1","0.59","0.015","<0.5","0.058","7.7","2.2","0","19","<1","<0.02","2","<1","0.42","2","0.08","120","57","6.1","<2","26.2","22"
"Western Buffer","Pai Min Kok Stream","AN1","2015-10-19","1","1.4","230","0.14","0.09","<1","<1","9","<1","<50","<0.1","13","21","2.3","<1","183","3","<0.01","100","8.6","3200","110000","null","0.4","<0.01","200","<1","<10","<1","<2","1","0.75","0.044","<0.5","0.07","8","2.3","0.1","17","<1","<0.02","2.2","<1","0.69","6","0.12","150","49","5.3","<2","22.9","32"
