"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2000-01-07","1","3.1","70","0.21","0.2","<1","<1","12","<1","<50","<0.1","15","100","","<1","470","3","<0.01","84","7.8","3100","7700","null","0.5","<0.01","120","<1","20","<1","2","<1","2.2","0.11","<0.5","0.28","7.9","","0.3","14","<1","<0.02","1.9","<1","1.1","7","0.36","300","70","4.9","<2","18.9","30"
"Western Buffer","Pai Min Kok Stream","AN1","2000-02-17","1","4.7","150","1","0.29","<1","<1","14","<1","70","<0.1","25","130","","<1","294","6","<0.01","71","6.8","7000","9200","null","0.6","<0.01","260","2","60","<1","2","1","2.9","0.26","<0.5","0.43","7.5","","0.2","12","<1","<0.02","6","<1","1.7","6","0.55","360","60","6.3","<2","17.2","50"
"Western Buffer","Pai Min Kok Stream","AN1","2000-03-23","1","5.8","270","0.24","0.24","<1","1","16","<1","<50","<0.1","20","33","","<1","331","6","<0.01","106","9.1","29000","29000","null","0.6","<0.01","170","3","20","<1","4","1","3.2","0.61","<0.5","0.57","8.3","","0.2","16","<1","<0.02","5.5","<1","1.1","8","0.64","230","58","28.5","2","22.7","30"
"Western Buffer","Pai Min Kok Stream","AN1","2000-04-14","1","1.8","170","0.12","0.09","<1","<1","17","<1","<50","0.1","19","27","","1","158","6","<0.01","99","8.6","8800","20000","null","0.3","<0.01","160","3","20","<1","<2","<1","2.8","0.026","<0.5","0.091","7.6","","0.1","8.5","<1","<0.02","11","<1","0.5","5","0.15","150","44","31.4","<2","22.6","50"
"Western Buffer","Pai Min Kok Stream","AN1","2000-05-12","1","1.7","250","0.091","0.08","<1","<1","22","<1","<50","<0.1","12","31","","<1","236","3","<0.01","98","8.2","20000","23000","null","0.5","<0.01","320","2","40","<1","<2","<1","1.9","0.043","<0.5","0.12","7.7","","0.1","16","<1","<0.02","1.6","<1","0.4","3","0.14","180","42","14.2","<2","24.4","40"
"Western Buffer","Pai Min Kok Stream","AN1","2000-06-14","1","1.3","240","0.3","0.13","<1","<1","12","<1","120","0.2","10","530","","2","1973","4","<0.01","102","8.5","45000","67000","null","0.5","<0.01","400","5","100","<1","2","1","2","0.099","<0.5","0.16","8.1","","1","17","<1","<0.02","16","<1","0.47","2","0.21","1300","290","37.2","<2","24.2","30"
"Western Buffer","Pai Min Kok Stream","AN1","2000-07-19","1","0.8","150","0.11","0.14","<1","<1","12","<1","120","0.1","8","490","","<1","1632","5","<0.01","99","7.9","20000","31000","null","0.4","<0.01","220","3","30","<1","<2","<1","1.4","0.02","<0.5","0.081","7.9","","0.8","15","<1","<0.02","13","<1","0.36","2","0.13","1100","270","17.4","<2","26.4","40"
"Western Buffer","Pai Min Kok Stream","AN1","2000-08-10","1","2.3","140","0.092","0.29","<1","<1","19","<1","<50","<0.1","6","10","","<1","165","5","<0.01","97","7.5","12000","47000","null","0.3","<0.01","210","1","10","<1","<2","<1","1.2","0.023","0.6","0.099","8","","0.1","18","<1","<0.02","3.7","<1","0.29","2","0.15","120","23","9.8","<2","28.7","30"
"Western Buffer","Pai Min Kok Stream","AN1","2000-09-15","1","1.4","140","0.13","0.49","<1","2","22","<1","950","0.1","7","4500","","<1","12724","4","<0.01","102","8.2","4100","180000","null","0.5","<0.01","160","2","20","<1","4","<1","0.94","0.05","<0.5","0.094","7.3","","7.4","12","<1","<0.02","4.9","<1","0.41","2","0.15","9700","2300","3.7","<2","24.3","20"
"Western Buffer","Pai Min Kok Stream","AN1","2000-10-13","1","1.5","130","0.2","0.53","<1","<1","24","<1","1700","0.2","14","8100","","<1","22987","5","<0.01","87","6.7","6700","29000","null","0.6","<0.01","160","1","30","<1","6","2","0.92","0.1","<0.5","0.14","7.1","","13.9","10","3","<0.02","3.2","<1","0.57","4","0.2","16000","2700","6.8","<2","25","30"
"Western Buffer","Pai Min Kok Stream","AN1","2000-11-06","1","1.5","100","0.15","0.23","<1","<1","12","<1","<50","<0.1","9","17","","<1","196","4","<0.01","86","7.7","1400","8700","null","0.5","<0.01","<50","<1","20","<1","<2","<1","2","0.14","<0.5","0.25","7.3","","0.1","17","<1","<0.02","1","<1","0.32","3","0.29","180","68","0.4","<2","21.3","20"
"Western Buffer","Pai Min Kok Stream","AN1","2000-12-18","1","3.1","70","1.1","0.62","<1","<1","12","<1","<50","0.1","11","29","","<1","262","5","<0.01","90","8.1","47000","120000","null","0.4","<0.01","140","2","30","<1","2","2","2.1","0.33","0.5","0.46","7.7","","0.1","20","<1","<0.02","1.1","<1","1.7","3","0.62","170","45","1.2","<2","20.8","40"
"Western Buffer","Pai Min Kok Stream","AN2","2000-01-07","1","7.2","210","0.97","0.42","<1","<1","8","<1","<50","<0.1","15","11","","<1","263","3","<0.01","79","7.3","130000","140000","null","0.4","<0.01","100","1","10","<1","<2","<1","2","0.43","<0.5","0.58","8","","0.1","17","<1","<0.02","9.8","<1","1.7","5","0.8","120","45","3.7","<2","19","40"
"Western Buffer","Pai Min Kok Stream","AN2","2000-02-17","1","5.5","150","0.63","0.24","<1","<1","3","<1","<50","<0.1","16","22","","<1","284","3","<0.01","107","10.2","39000","54000","null","0.5","<0.01","90","<1","<10","<1","<2","<1","2.2","0.31","0.7","0.96","8.2","","0.2","14","<1","<0.02","3.1","<1","1.1","6","1.6","160","24","2.4","<2","17.7","30"
"Western Buffer","Pai Min Kok Stream","AN2","2000-03-23","1","1.6","90","0.073","0.21","<1","<1","21","<1","<50","<0.1","8","12","","<1","175","3","<0.01","107","9.4","7000","11000","null","0.5","<0.01","<50","<1","<10","<1","<2","<1","2.7","0.15","<0.5","0.5","8.1","","0.1","16","<1","<0.02","1.8","<1","0.43","3","0.53","120","34","4.6","<2","22.2","20"
"Western Buffer","Pai Min Kok Stream","AN2","2000-04-14","1","1.3","230","0.1","0.06","<1","<1","9","<1","<50","0.1","12","17","","<1","158","4","<0.01","100","8.7","4600","7400","0.058","0.3","<0.01","420","3","60","<1","<2","<1","2","0.013","<0.5","0.085","7.8","","0.1","7.8","<1","<0.02","9.4","<1","0.59","4","0.13","120","21","32.5","<2","22.3","70"
"Western Buffer","Pai Min Kok Stream","AN2","2000-05-12","1","1","190","0.23","0.28","<1","<1","19","<1","<50","<0.1","14","13","","<1","162","2","<0.01","106","8.8","29000","40000","0.01","0.4","<0.01","280","1","10","<1","<2","<1","0.96","0.035","<0.5","0.12","7.8","","0.1","15","<1","<0.02","2.5","<1","0.58","3","0.14","110","26","4.9","<2","24.5","30"
"Western Buffer","Pai Min Kok Stream","AN2","2000-06-14","1","1.5","120","0.14","0.33","<1","<1","5","<1","<50","<0.1","10","20","","<1","141","1","<0.01","110","9.2","28000","41000","0.009","0.4","<0.01","230","1","10","<1","<2","<1","1","0.036","<0.5","0.1","7.8","","0.1","16","<1","<0.02","4.6","<1","0.29","2","0.15","110","39","13.6","<2","24.4","20"
"Western Buffer","Pai Min Kok Stream","AN2","2000-07-19","1","0.6","90","0.11","0.1","<1","<1","10","<1","<50","<0.1","4","<10","","<1","133","3","<0.01","99","8.1","9700","16000","0.029","0.3","<0.01","230","1","20","<1","<2","<1","1","0.014","<0.5","0.062","7.9","","0.1","14","<1","<0.02","3","<1","0.23","2","0.11","120","42","6.7","<2","25.7","30"
"Western Buffer","Pai Min Kok Stream","AN2","2000-08-10","1","0.7","110","0.088","0.12","<1","<1","12","<1","<50","<0.1","6","<10","","<1","113","3","<0.01","102","8","18000","42000","0.023","0.3","<0.01","300","2","20","<1","<2","<1","0.65","0.016","<0.5","0.064","7.8","","0.1","17","<1","<0.02","3.8","<1","0.18","2","0.1","91","24","9.3","<2","27.7","20"
"Western Buffer","Pai Min Kok Stream","AN2","2000-09-15","1","0.7","80","0.053","0.09","<1","<1","45","<1","<50","<0.1","4","<10","","<1","112","3","<0.01","101","8.6","3600","27000","0.015","0.3","<0.01","260","3","30","<1","<2","<1","0.65","0.021","<0.5","0.063","7.8","","0.1","14","<1","<0.02","2.7","<1","0.2","1","0.1","120","39","4.9","<2","23.8","20"
"Western Buffer","Pai Min Kok Stream","AN2","2000-10-13","1","0.5","140","0.1","0.14","<1","<1","9","<1","<50","<0.1","6","<10","","<1","152","2","<0.01","101","8.5","15000","31000","0.004","0.2","<0.01","150","<1","<10","<1","<2","<1","1.7","0.06","<0.5","0.14","7.6","","0.1","14","<1","<0.02","1.9","<1","0.22","2","0.2","77","22","3.4","<2","23.9","20"
"Western Buffer","Pai Min Kok Stream","AN2","2000-11-06","1","0.8","180","0.037","0.15","<1","<1","10","<1","<50","<0.1","4","<10","","<1","153","2","<0.01","90","8.7","5300","12000","0.004","0.3","<0.01","100","<1","30","<1","<2","<1","1.3","0.047","<0.5","0.18","8","","0.1","16","<1","<0.02","1","<1","0.17","1","0.22","100","38","2.2","<2","22.1","20"
"Western Buffer","Pai Min Kok Stream","AN2","2000-12-18","1","1.3","230","0.28","0.24","<1","<1","8","<1","<50","0.2","3","<10","","<1","151","3","<0.01","111","9.9","7700","18000","null","0.4","<0.01","120","1","80","<1","<2","<1","1.4","0.072","<0.5","0.26","8","","0.1","16","<1","<0.02","1.4","<1","0.48","<1","0.32","110","57","1.6","<2","21","90"
"Deep Bay","Ha Pak Nai Stream","DB1","2000-01-10","1","1.9","200","0.064","0.18","<1","<1","5","<1","<50","<0.1","<2","<10","","<1","37","<1","<0.01","98","8.9","23","67","0.002","0.2","<0.01","90","<1","<10","<1","<2","<1","0.092","<0.002","<0.5","0.007","7.7","","0","21","<1","<0.02","2.7","<1","0.28","1","<0.02","76","31","3.3","<2","20","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2000-02-16","1","1.4","130","<0.005","<0.05","<1","<1","2","<1","<50","<0.1","4","<10","","<1","43","<1","<0.01","105","9.9","3","11","0.004","0.3","<0.01","60","<1","<10","<1","<2","<1","0.095","0.003","<0.5","<0.002","7.4","","0","20","<1","<0.02","1.6","<1","<0.05","1","<0.02","42","22","3.2","<2","18.1","<10"
