"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2016-01-25","1","2.7","79","0.13","<0.05","<1","<1","10","<1","72","<0.1","8","290","0.7","<1","475","5","<0.01","101","11.7","19000","26000","null","0.5","<0.01","91","<1","12","<1","2","1","1.4","0.018","<0.5","0.06","7.5","<0.2","0.3","16","<1","<0.02","1.3","<1","1.2","4","0.11","750","120","2.1","<2","8.9","25"
"Western Buffer","Pai Min Kok Stream","AN1","2016-02-12","1","0.7","191","0.17","<0.05","<1","<1","12","<1","367","<0.1","12","1500","2.6","1","4812","4","<0.01","100","9.2","2800","2800","null","0.5","<0.01","152","<1","61","<1","2","2","1","0.035","<0.5","0.048","7.6","1.8","3","14","<1","<0.02","12","<1","0.98","3","0.08","3300","700","2.6","<2","18.3","40"
"Western Buffer","Pai Min Kok Stream","AN1","2016-03-10","1","3.3","73","0.32","0.06","<1","<1","14","<1","<50","<0.1","9","39","0.6","<1","233","6","<0.01","99","9.8","8500","20000","null","0.5","<0.01","<50","2","11","<1","<2","3","2.5","0.28","<0.5","0.088","7.7","0.6","0.1","12","<1","<0.02","1.2","<1","1.4","5","0.11","190","74","3.1","<2","15.9","30"
"Western Buffer","Pai Min Kok Stream","AN1","2016-04-15","1","0.9","92","0.05","<0.05","<1","<1","10","<1","<50","<0.1","5","10","0.7","<1","89","26","<0.01","99","8.7","2300","6100","null","0.4","<0.01","182","3","14","<1","<2","1","1","0.017","<0.5","0.048","7.6","0.5","0","16","<1","<0.02","5.1","<1","0.52","2","0.07","90","1","7.5","<2","21.7","59"
"Western Buffer","Pai Min Kok Stream","AN1","2016-05-18","1","0.6","100","0.14","<0.05","<1","<1","12","<1","<50","<0.1","6","24","4.2","<1","153","7","<0.01","101","8.4","41000","44000","null","0.4","<0.01","138","<1","12","<1","<2","2","1.4","0.031","<0.5","0.006","7.6","1.7","0.1","13","<1","<0.02","1.9","<1","2.7","3","0.04","130","52","3.7","<2","24.6","28"
"Western Buffer","Pai Min Kok Stream","AN1","2016-06-13","1","0.9","90","0.033","<0.05","<1","<1","9","<1","<50","<0.1","5","<10","0.5","<1","85","4","<0.01","100","8.1","8000","20000","null","0.3","<0.01","415","1","23","<1","<2","<1","0.64","0.01","<0.5","0.046","7.5","0.5","0","18","<1","<0.02","4","<1","0.31","2","0.06","120","85","7.2","<2","26.2","23"
"Western Buffer","Pai Min Kok Stream","AN1","2016-07-14","1","0.9","88","0.03","<0.05","<1","<1","9","<1","<50","<0.1","5","<10","0.5","<1","72","14","<0.01","99","8","8000","86000","null","0.3","<0.01","389","2","13","<1","<2","<1","0.64","0.012","<0.5","0.043","7.7","0.2","0","17","<1","<0.02","5.6","<1","0.36","2","0.08","120","24","11.5","<2","26.4","27"
"Western Buffer","Pai Min Kok Stream","AN1","2016-08-10","1","0.8","154","0.064","<0.05","<1","<1","11","<1","<50","<0.1","10","<10","0.2","<1","70","8","<0.01","98","8","13000","120000","null","0.2","<0.01","282","2","14","<1","<2","1","0.82","0.029","<0.5","0.054","7.7","<0.2","0","11","<1","<0.02","7.7","<1","0.44","3","0.09","110","58","22.3","<2","26.1","32"
"Western Buffer","Pai Min Kok Stream","AN1","2016-09-12","1","0.9","100","0.032","<0.05","<1","<1","9","<1","<50","<0.1","<2","31","1","<1","171","4","<0.01","101","8","13000","25000","null","0.3","<0.01","171","2","20","<1","<2","<1","0.64","0.005","<0.5","0.039","7.6","0.9","0.1","17","<1","<0.02","5","<1","0.15","<1","0.05","150","54","6.4","<2","26.9","40"
"Western Buffer","Pai Min Kok Stream","AN1","2016-10-14","1","0.5","92","0.08","<0.05","<1","<1","8","<1","<50","<0.1","4","130","0.9","<1","544","2","<0.01","99","8.2","43000","57000","null","0.4","<0.01","152","<1","<10","<1","<2","1","0.58","0.013","<0.5","0.05","7.5","0.3","0.3","19","<1","<0.02","3.4","<1","0.36","1","0.08","290","70","3.3","<2","24.6","17"
"Western Buffer","Pai Min Kok Stream","AN1","2016-11-14","1","0.5","92","0.025","0.05","<1","<1","6","<1","<50","<0.1","3","13","1","<1","128","8","<0.01","102","8.5","2500","10000","null","0.3","<0.01","94","<1","<10","<1","<2","<1","0.61","0.014","<0.5","0.03","7.5","0.9","0.1","19","<1","<0.02","3","<1","0.19","1","0.07","90","45","3.4","<2","24.2","18"
"Western Buffer","Pai Min Kok Stream","AN1","2016-12-08","1","0.4","83","0.053","<0.05","<1","<1","7","<1","<50","<0.1","4","12","0.7","<1","75","2","<0.01","100","9.4","2600","22000","null","0.4","<0.01","104","<1","<10","<1","<2","<1","0.67","0.024","<0.5","0.067","7.8","1","0","17","<1","<0.02","1.8","<1","0.4","2","0.08","110","47","2.9","<2","18.5","16"
"Western Buffer","Pai Min Kok Stream","AN2","2016-01-25","1","1","79","0.22","<0.05","<1","<1","8","<1","<50","<0.1","5","<10","0.6","<1","114","4","<0.01","100","11.6","9000","22000","0.003","0.5","<0.01","112","<1","17","<1","3","<1","0.73","0.016","<0.5","0.041","8","0.2","0.1","17","<1","<0.02","1.2","<1","0.8","2","0.07","120","34","2","<2","9","27"
"Western Buffer","Pai Min Kok Stream","AN2","2016-02-12","1","<0.1","264","0.027","<0.05","<1","<1","8","<1","<50","<0.1","5","<10","0.8","<1","281","3","<0.01","100","9.4","600","2500","0.005","0.4","<0.01","133","1","10","<1","<2","<1","0.59","0.014","<0.5","0.042","8.4","0.5","0.2","16","<1","<0.02","6.4","<1","0.23","2","0.07","120","56","3.5","<2","18.7","18"
"Western Buffer","Pai Min Kok Stream","AN2","2016-03-10","1","1","196","0.05","<0.05","<1","<1","12","<1","<50","<0.1","16","16","0.8","<1","177","5","<0.01","99","9.7","1500","3900","0.003","0.4","<0.01","97","<1","12","<1","3","<1","1.2","0.036","<0.5","0.05","8.1","1","0.1","16","<1","<0.02","2.6","<1","0.52","6","0.07","150","120","7.3","<2","16.3","30"
"Western Buffer","Pai Min Kok Stream","AN2","2016-04-15","1","0.7","95","0.045","<0.05","<1","<1","8","<1","<50","<0.1","7","<10","0.3","<1","90","2","<0.01","98","8.7","3300","11000","0.011","0.3","<0.01","256","1","21","<1","<2","<1","0.61","0.008","<0.5","0.046","7.8","0.2","0","16","<1","<0.02","5.5","<1","0.3","2","0.06","87","30","17.4","<2","21.7","25"
"Western Buffer","Pai Min Kok Stream","AN2","2016-05-18","1","0.5","92","0.069","<0.05","<1","<1","7","<1","<50","<0.1","4","<10","0.3","<1","118","2","<0.01","102","8.6","260000","260000","0.007","0.4","<0.01","317","1","36","<1","<2","<1","0.47","0.009","<0.5","0.053","7.8","0.2","0.1","18","<1","<0.02","4.2","<1","0.29","2","0.09","120","56","6.1","<2","23.8","27"
"Western Buffer","Pai Min Kok Stream","AN2","2016-06-13","1","0.8","71","0.015","<0.05","<1","<1","7","<1","<50","<0.1","5","<10","0.2","<1","83","1","<0.01","99","8.1","29000","37000","0.012","0.3","<0.01","385","1","26","<1","<2","<1","0.4","0.005","<0.5","0.037","7.6","0.9","0","18","<1","<0.02","6.8","<1","0.2","2","0.05","120","83","9.2","<2","25.6","18"
"Western Buffer","Pai Min Kok Stream","AN2","2016-07-14","1","0.4","97","0.012","<0.05","<1","<1","7","<1","<50","<0.1","5","<10","0.3","<1","120","2","<0.01","99","8","3300","15000","0.013","0.3","<0.01","493","2","16","<1","<2","<1","0.37","0.003","<0.5","0.034","8","0.6","0.1","17","<1","<0.02","7","<1","0.22","2","0.07","150","62","16.6","<2","26.2","16"
"Western Buffer","Pai Min Kok Stream","AN2","2016-08-10","1","0.7","204","0.042","<0.05","<1","<1","10","<1","<50","<0.1","11","<10","0.5","<1","55","6","<0.01","98","8","5300","39000","0.028","0.2","<0.01","392","3","22","<1","<2","1","0.57","0.026","<0.5","0.049","7.6","<0.2","0","11","<1","<0.02","7.5","<1","0.33","3","0.1","100","51","29.7","<2","25.7","42"
"Western Buffer","Pai Min Kok Stream","AN2","2016-09-12","1","0.8","96","0.014","<0.05","<1","<1","7","<1","<50","<0.1","7","<10","0.3","<1","111","2","<0.01","101","8.2","5200","8300","0.018","0.3","<0.01","195","1","14","<1","<2","<1","0.36","<0.002","<0.5","0.031","7.7","0.6","0.1","18","<1","<0.02","5.4","<1","0.08","2","0.04","110","60","8.5","<2","26.2","15"
"Western Buffer","Pai Min Kok Stream","AN2","2016-10-14","1","0.3","52","0.019","<0.05","<1","<1","5","<1","<50","<0.1","3","<10","2.7","<1","142","1","<0.01","102","8.5","2000","6400","0.006","0.3","<0.01","216","<1","<10","<1","<2","<1","0.38","0.005","<0.5","0.04","7.5","0.4","0.1","19","<1","<0.02","2.4","<1","0.25","1","0.07","78","36","4.4","<2","24.5","20"
"Western Buffer","Pai Min Kok Stream","AN2","2016-11-14","1","0.4","97","0.027","0.06","<1","<1","7","<1","<50","<0.1","3","<10","2.7","<1","122","2","<0.01","103","8.7","3200","21000","0.009","0.3","<0.01","244","1","26","<1","<2","<1","0.37","0.004","<0.5","0.011","7.5","0.8","0.1","19","<1","<0.02","2.6","<1","0.18","1","0.05","76","42","6.1","<2","23.7","22"
"Western Buffer","Pai Min Kok Stream","AN2","2016-12-08","1","0.3","<50","0.017","<0.05","<1","<1","6","<1","<50","<0.1","3","<10","0.5","<1","159","2","<0.01","101","9.6","2000","6400","0.009","0.3","<0.01","152","<1","13","<1","<2","<1","0.54","0.004","<0.5","0.046","8.1","0.5","0.1","19","<1","<0.02","2.4","<1","0.31","1","0.06","84","38","3.8","<2","18","13"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-01-21","1","1.1","64","0.016","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.5","<1","19","1","<0.01","100","9.7","34","880","0.012","<0.2","<0.01","82","<1","<10","<1","<2","<1","0.41","0.003","<0.5","0.004","7.4","<0.2","0","20","<1","<0.02","1.6","<1","0.26","<1","<0.02","170","28","5.4","<2","16.6","13"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-02-19","1","<0.1","<50","<0.005","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.2","<1","41","2","<0.01","100","10.1","13","210","0.011","<0.2","<0.01","54","<1","37","<1","<2","<1","0.31","<0.002","<0.5","0.003","7.7","<0.2","0","22","<1","<0.02","1.1","<1","0.11","<1","<0.02","60","36","4.8","<2","14.9","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-03-18","1","<0.1","87","0.009","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","1","<1","46","<1","<0.01","101","9.2","160","680","0.011","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.28","<0.002","<0.5","<0.002","7.7","0.7","0","20","<1","<0.02","2.3","<1","0.07","<1","<0.02","76","39","6.6","<2","20.3","12"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-04-22","1","1.1","375","0.12","<0.05","<1","<1","6","<1","<50","<0.1","9","<10","0.5","<1","32","1","<0.01","99","8.6","3700","6100","0.044","<0.2","<0.01","100","7","31","<1","<2","<1","0.5","<0.002","<0.5","0.003","7.5","<0.2","0","11","<1","<0.02","88","<1","0.38","2","0.03","290","66","162.5","<2","22.5","16"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-05-23","1","<0.1","<50","0.015","<0.05","<1","<1","6","<1","<50","<0.1","<2","<10","0.3","<1","36","<1","<0.01","99","8.1","80","1200","0.031","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.36","<0.002","<0.5","0.004","8.1","<0.2","0","17","<1","<0.02","2.5","<1","0.1","<1","0.02","78","51","5.2","<2","25.4","15"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-06-22","1","0.1","53","0.007","<0.05","<1","<1","3","<1","<50","<0.1","2","<10","0.3","<1","43","<1","<0.01","99","7.7","32","1700","0.023","<0.2","<0.01","152","1","58","<1","<2","<1","0.29","<0.002","<0.5","0.004","7.5","0.2","0","20","<1","<0.02","3.2","<1","0.05","<1","0.02","64","38","5.8","<2","28.3","11"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-07-21","1","<0.1","70","0.006","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.5","<1","43","<1","<0.01","102","7.8","150","1700","0.017","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.27","<0.002","<0.5","0.002","7.6","0.3","0","20","<1","<0.02","2.4","<1","0.08","<1","<0.02","86","44","5.7","<2","29.2","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-08-19","1","0.2","52","0.015","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.3","<1","30","<1","<0.01","100","7.9","130","1400","0.036","<0.2","<0.01","<50","1","<10","<1","<2","<1","0.39","<0.002","<0.5","0.004","8.3","<0.2","0","17","<1","<0.02","8.9","<1","0.07","<1","<0.02","73","39","6","<2","27.2","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-09-22","1","<0.1","69","<0.005","<0.05","<1","<1","3","<1","<50","<0.1","2","<10","0.6","<1","48","<1","<0.01","103","8.3","59","2500","0.031","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.28","<0.002","<0.5","0.005","7.5","0.5","0","20","<1","<0.02","1.7","<1","0.15","1","0.05","42","32","6","<2","26","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-10-26","1","<0.1","<50","0.018","<0.05","<1","<1","3","<1","<50","<0.1","2","<10","0.4","<1","38","<1","<0.01","101","8.2","64","680","0.053","<0.2","<0.01","<50","<1","20","<1","<2","<1","0.33","<0.002","<0.5","<0.002","8.1","0.2","0","20","<1","<0.02","2","<1","0.14","<1","<0.02","60","30","4.4","<2","26.1","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-11-23","1","0.6","94","0.015","<0.05","<1","<1","4","<1","<50","<0.1","5","<10","1.7","<1","37","<1","<0.01","101","8.8","460","3100","0.032","<0.2","<0.01","55","<1","<10","<1","<2","<1","0.46","<0.002","<0.5","0.003","7.6","1.3","0","18","<1","<0.02","8.2","<1","0.17","2","<0.02","82","64","9","<2","22","12"
"Deep Bay","Ha Pak Nai Stream","DB1","2016-12-15","1","0.3","<50","<0.005","<0.05","<1","<1","2","<1","<50","<0.1","3","<10","<0.2","<1","43","<1","<0.01","103","9.8","21","35","0.02","<0.2","<0.01","<50","<1","<10","<1","<2","<1","0.23","0.005","<0.5","0.005","7.4","<0.2","0","24","<1","<0.02","0.8","<1","0.09","1","<0.02","67","30","4","<2","17.9","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-01-21","1","1.3","55","0.018","<0.05","<1","<1","8","<1","<50","<0.1","<2","<10","0.3","<1","24","1","<0.01","99","9.6","100","630","0.16","0.2","<0.01","135","<1","109","<1","<2","<1","0.38","<0.002","<0.5","0.004","7.6","0.2","0","20","<1","<0.02","1.1","<1","0.16","<1","<0.02","97","38","2.7","<2","16.7","29"
"Deep Bay","Tai Shui Hang Stream","DB2","2016-02-19","1","<0.1","81","0.016","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.5","<1","51","<1","<0.01","99","10","45","59","0.2","<0.2","<0.01","59","<1","34","<1","<2","<1","0.23","<0.002","<0.5","0.004","7.9","<0.2","0","24","<1","<0.02","<0.5","<1","0.17","<1","<0.02","94","52","2.9","<2","14.8","19"
