"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1996-01-10","1","3.7","250","0.42","0.06","<1","<1","12","","<50","<0.1","13","37","","<1","218","5","<0.01","68","6.6","8000","22000","null","1.4","<0.01","250","2","40","<1","","2","3.1","0.097","<0.5","0.27","7.2","","","15","<1","0.06","5.5","","0.91","4","0.44","250","80","6.5","<2","16","90"
"Western Buffer","Pai Min Kok Stream","AN1","1996-02-07","1","6.9","360","0.6","0.16","<1","1","17","","<50","<0.1","26","62","","1","364","39","<0.01","81","8","11000","17000","null","0.7","<0.01","320","5","40","<1","","3","4.1","0.25","<0.5","0.41","8.2","","","17","<1","<0.02","21","","6.5","9","2","320","78","28","<2","16.3","120"
"Western Buffer","Pai Min Kok Stream","AN1","1996-03-07","1","6.2","140","0.45","0.09","<1","1","16","","<50","0.1","11","52","","1","352","140","<0.01","93","8.3","8000","20000","null","0.7","<0.01","160","6","50","<1","","4","2.8","0.3","<0.5","0.48","7.6","","","14","<1","<0.02","17","","3.5","7","0.64","400","100","5.2","<2","20.8","120"
"Western Buffer","Pai Min Kok Stream","AN1","1996-04-12","1","1.2","120","0.051","0.29","<1","<1","15","","<50","<0.1","18","93","","1","478","27","<0.01","71","6.9","<10","<10","null","0.7","<0.01","300","5","80","<1","","120","4.5","<0.002","1","0.4","7.3","","0.1","16","<1","<0.02","4","","4","9","0.59","300","68","3","<2","17.6","120"
"Western Buffer","Pai Min Kok Stream","AN1","1996-05-16","1","2.4","160","0.35","0.07","<1","<1","49","","1400","<0.1","50","9700","","2","19730","5","<0.01","78","6.2","68000","77000","null","0.6","<0.01","180","3","90","<1","","5","1.8","0.12","<0.5","0.2","7.4","","11.8","8.4","<1","<0.02","7.3","","0.58","3","0.28","17000","4600","5","24","23.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","1996-06-07","1","2.6","140","0.43","0.07","<1","<1","13","","<50","<0.1","14","93","","1","450","5","<0.01","86","6.6","100000","200000","null","0.5","<0.01","120","1","10","<1","","2","3","0.16","<0.5","0.31","6.8","","0.2","18","<1","<0.02","4","","1.1","3","0.35","300","98","3","<2","28.5","100"
"Western Buffer","Pai Min Kok Stream","AN1","1996-07-05","1","1.3","250","0.13","0.13","<1","<1","12","","190","<0.1","12","890","","<1","2670","3","<0.01","94","7.2","80000","140000","null","0.4","<0.01","210","3","<10","<1","","2","1.8","0.029","1","0.16","7.4","","1.4","16","<1","<0.02","6.4","","0.41","2","0.19","1600","360","9","3","28.2","30"
"Western Buffer","Pai Min Kok Stream","AN1","1996-08-08","1","2","330","0.17","0.23","<1","<1","9","","<50","<0.1","8","46","","1","210","3","<0.01","83","6.4","25000","60000","null","0.4","<0.01","210","6","20","<1","","2","2.1","0.069","<0.5","0.28","7.6","","0.1","17","<1","<0.02","12","","0.69","3","0.38","150","54","13","<2","28.4","40"
"Western Buffer","Pai Min Kok Stream","AN1","1996-09-06","1","2.3","220","0.054","0.1","<1","<1","10","","<50","0.1","6","36","","<1","1940","2","<0.01","80","6.3","150000","180000","null","0.4","<0.01","160","5","<10","<1","","2","2","0.09","<0.5","0.3","7.4","","0.1","17","<1","<0.02","3.1","","0.45","3","0.39","130","36","5","<2","27.2","80"
"Western Buffer","Pai Min Kok Stream","AN1","1996-10-09","1","2.9","210","0.2","0.19","<1","1","11","","190","<0.1","8","910","","<1","2390","3","<0.01","87","7.5","70000","110000","null","0.4","<0.01","150","1","10","<1","","1","1.7","0.062","<0.5","0.19","7.1","","1.2","16","<1","<0.02","4.8","","0.41","2","0.21","1600","350","4","3","22.9","30"
"Western Buffer","Pai Min Kok Stream","AN1","1996-11-25","1","1.4","70","0.17","0.09","<1","<1","20","","530","<0.1","99","2700","","<1","8600","4","<0.01","94","8.2","4000","21000","null","0.6","<0.01","140","2","40","<1","","2","2.4","0.095","<0.5","0.26","7.2","","4.8","14","<1","<0.02","2.6","","0.53","3","0.38","5600","980","2","9","24.1","30"
"Western Buffer","Pai Min Kok Stream","AN1","1996-12-12","1","2.6","90","0.3","0.16","<1","3","16","","270","<0.1","7","1400","","2","2940","3","<0.01","115","11","12000","24000","null","1.1","<0.01","110","2","30","<1","","3","2.9","0.075","<0.5","0.26","7.1","","1.5","15","<1","<0.02","3.4","","0.96","4","0.34","2700","440","2","4","17.6","80"
"Western Buffer","Pai Min Kok Stream","AN2","1996-01-10","1","38","70","0.37","<0.05","<1","<1","7","","<50","0.2","22","28","","<1","162","3","<0.01","103","10.1","43000","44000","0.003","0.4","<0.01","60","<1","20","<1","","<1","2","1.9","0.5","0.37","7.3","","","5.4","<1","0.09","16","","2","6","0.74","210","78","16","<2","16","70"
"Western Buffer","Pai Min Kok Stream","AN2","1996-02-07","1","3.3","90","0.91","0.06","<1","<1","6","","<50","<0.1","16","23","","<1","167","3","<0.01","100","9.9","11000","17000","0","0.4","<0.01","50","<1","20","<1","","2","4.8","0.096","<0.5","0.8","7.2","","","16","<1","<0.02","3.4","","6.3","4","2.3","160","52","1.6","<2","15.9","60"
"Western Buffer","Pai Min Kok Stream","AN2","1996-03-07","1","8.3","110","2.8","0.05","<1","1","9","","<50","0.5","17","11","","1","236","6","<0.01","102","9.3","120000","170000","0.002","0.5","<0.01","100","2","20","<1","","2","5.8","0.44","<0.5","1.6","7.6","","","15","<1","<0.02","11","","7","7","2.1","210","90","3","<2","20.1","70"
"Western Buffer","Pai Min Kok Stream","AN2","1996-04-12","1","2.4","120","1.4","0.1","<1","<1","9","","<50","<0.1","7","27","","<1","242","3","<0.01","84","8","19000","21000","null","0.4","<0.01","80","<1","20","<1","","1","4.9","0.43","0.9","0.84","8.5","","0.1","16","<1","<0.02","2","","14","5","0.94","150","54","1","<2","17.8","60"
"Western Buffer","Pai Min Kok Stream","AN2","1996-05-16","1","7.6","240","1.4","0.12","<1","<1","10","","<50","<0.1","13","17","","<1","228","3","<0.01","101","8.6","180000","220000","null","0.3","<0.01","190","2","20","<1","","<1","3.7","0.27","<0.5","0.69","9.3","","0.1","16","<1","0.02","3.4","","2.2","3","0.84","130","52","5","<2","23.5","60"
