"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2010-01-22","1","2.7","<50","0.17","0.08","<1","<1","130","<1","1300","1.1","8","6900","1.1","1","17585","7","<0.01","100","8.7","2300","51000","null","0.7","<0.01","110","<1","40","<1","5","3","2.6","0.13","<0.5","0.22","7.5","2.6","12","12","<1","<0.02","2.7","<1","0.56","2","0.25","16000","2700","1.8","<2","18.5","60"
"Western Buffer","Pai Min Kok Stream","AN1","2010-02-06","1","1","60","0.3","0.07","<1","<1","55","<1","1400","0.7","17","6600","3.1","1","15213","9","<0.01","99","8.6","17000","22000","null","0.7","<0.01","210","1","20","<1","6","3","3.7","0.13","<0.5","0.31","7.8","3.9","10.1","12","<1","<0.02","3.3","<1","0.71","3","0.34","14000","2200","2.8","<2","19.3","60"
"Western Buffer","Pai Min Kok Stream","AN1","2010-03-05","1","11","100","0.024","0.06","<1","<1","30","<1","1100","0.4","24","5000","2.9","1","14086","5","<0.01","102","8.3","16000","110000","null","0.7","<0.01","140","4","30","<1","4","2","2.2","0.015","<0.5","0.2","7.7","5.1","8.5","14","<1","<0.02","7.9","<1","0.59","5","0.26","11000","1700","2.5","<2","22.9","50"
"Western Buffer","Pai Min Kok Stream","AN1","2010-04-14","1","0.7","140","0.49","<0.05","<1","<1","26","<1","1000","0.4","22","5700","1.1","1","13897","11","<0.01","97","8.4","11000","100000","null","0.8","<0.01","140","2","10","<1","5","3","3.2","0.38","<0.5","0.23","7.8","1.7","8.9","13","<1","<0.02","6.7","<1","1.1","4","0.26","12000","1700","3.6","<2","20.2","50"
"Western Buffer","Pai Min Kok Stream","AN1","2010-05-20","1","2","120","0.19","0.06","<1","<1","13","<1","<50","<0.1","6","150","0.9","<1","608","3","<0.01","100","8.3","20000","200000","null","0.3","<0.01","150","2","10","<1","<2","<1","2.1","0.044","<0.5","0.081","7.6","0.4","0.3","14","<1","<0.02","5.1","<1","0.56","2","0.1","430","84","13.8","<2","24.6","50"
"Western Buffer","Pai Min Kok Stream","AN1","2010-06-02","1","4.5","360","0.26","0.06","2","<1","25","<1","<50","<0.1","16","56","0.6","2","307","13","<0.01","98","8.3","15000","61000","null","0.2","<0.01","410","11","40","<1","<2","1","1.4","0.14","0.8","0.092","7.8","0.5","0.2","7.8","<1","<0.02","25","<1","0.88","5","0.12","260","78","35.2","2","23.4","100"
"Western Buffer","Pai Min Kok Stream","AN1","2010-07-07","1","2.1","140","0.2","<0.05","<1","<1","10","<1","<50","0.2","5","11","0.3","<1","120","4","<0.01","100","7.8","8000","63000","null","0.4","<0.01","280","2","20","<1","<2","<1","0.95","0.095","<0.5","0.091","8.3","2.2","0.1","19","<1","<0.02","4.2","<1","0.43","2","0.1","99","29","6.4","<2","28.5","30"
"Western Buffer","Pai Min Kok Stream","AN1","2010-08-06","1","0.8","160","0.13","<0.05","<1","<1","9","<1","<50","<0.1","6","<10","0.8","<1","122","2","<0.01","99","7.9","4500","29000","null","0.4","<0.01","250","<1","<10","<1","<2","<1","0.73","0.046","<0.5","0.073","8.6","1.4","0.1","17","<1","<0.02","2","<1","0.25","3","0.08","84","26","3.6","<2","27.2","20"
"Western Buffer","Pai Min Kok Stream","AN1","2010-09-01","1","1.3","90","0.1","<0.05","<1","<1","19","<1","<50","<0.1","4","170","0.7","<1","750","3","<0.01","99","7.8","19000","65000","null","0.3","<0.01","220","1","10","<1","<2","<1","1.2","0.034","<0.5","0.068","8.6","1.6","0.3","17","<1","<0.02","2.7","<1","0.4","2","0.08","420","92","3.6","<2","27.7","30"
"Western Buffer","Pai Min Kok Stream","AN1","2010-10-04","1","0.9","230","0.3","<0.05","<1","<1","14","<1","60","0.2","7","220","2.1","<1","450","2","<0.01","99","8.4","57000","83000","null","0.3","<0.01","220","1","20","<1","<2","<1","0.96","0.087","<0.5","0.069","7.7","1.4","0.2","19","<1","<0.02","28","<1","0.53","3","0.08","460","72","4.9","<2","23.6","20"
"Western Buffer","Pai Min Kok Stream","AN1","2010-11-05","1","1.5","80","0.24","<0.05","<1","<1","28","<1","<50","<0.1","12","21","0.9","<1","154","5","<0.01","99","9","17000","35000","null","0.3","<0.01","160","2","10","<1","<2","1","1.3","0.083","<0.5","0.084","8","0.7","0.1","16","<1","<0.02","6.9","<1","0.59","4","0.09","120","38","12.8","<2","19.7","40"
"Western Buffer","Pai Min Kok Stream","AN1","2010-12-04","1","2.2","300","0.67","0.06","<1","<1","9","<1","<50","<0.1","7","49","1.7","<1","263","3","<0.01","101","9.1","4800","7200","null","0.5","<0.01","220","2","20","<1","<2","<1","1.1","0.13","0.6","0.21","8","1.1","0.1","18","<1","<0.02","6.3","<1","1.1","3","0.24","220","70","8.7","<2","20.4","40"
"Western Buffer","Pai Min Kok Stream","AN2","2010-01-22","1","16","80","1.2","0.14","<1","<1","15","<1","<50","0.1","10","24","","<1","133","4","<0.01","83","7.7","8300","8600","0.006","0.5","<0.01","140","1","20","<1","<2","<1","2.7","0.5","<0.5","0.47","7.7","","0.1","17","<1","<0.02","2.7","<1","1.8","2","0.57","130","43","2.7","<2","19","40"
"Western Buffer","Pai Min Kok Stream","AN2","2010-02-06","1","2.1","70","1.4","0.05","<1","<1","12","<1","<50","<0.1","14","12","4.4","<1","253","3","<0.01","93","8.5","5300","5800","0.004","0.5","<0.01","130","<1","20","<1","<2","<1","4.1","0.53","<0.5","0.55","7.9","3.7","0.1","17","<1","<0.02","3","<1","1.8","3","0.58","140","35","1.7","<2","19.6","30"
"Western Buffer","Pai Min Kok Stream","AN2","2010-03-05","1","9.1","90","0.82","0.28","<1","<1","8","<1","<50","<0.1","8","13","","<1","298","2","<0.01","93","7.9","15000","32000","0.002","0.4","<0.01","100","<1","<10","<1","<2","<1","2.5","0.054","<0.5","0.37","8.1","","0.2","18","<1","<0.02","5.5","<1","1.3","4","0.43","110","28","4.9","<2","23.4","20"
