"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2008-01-17","1","7.8","<50","2.9","0.4","<1","<1","20","<1","<50","<0.1","15","18","1.1","<1","200","9","<0.01","96","10.5","7900","19000","null","0.6","<0.01","50","<1","<10","<1","<2","1","4.2","1.4","<0.5","0.64","8","2.7","0.1","18","<1","<0.02","1.2","<1","4.2","6","0.71","170","38","2.4","<2","11.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","2008-02-14","1","17","90","3.5","1.2","<1","1","15","<1","<50","<0.1","47","22","<0.2","<1","227","17","<0.01","99","10.8","<10","<10","null","0.5","<0.01","180","1","20","<1","<2","3","2.2","0.53","0.9","1.1","8","3.7","0.2","14","<1","<0.02","12","<1","6.6","15","1.8","200","50","15.1","<2","11.7","80"
"Western Buffer","Pai Min Kok Stream","AN1","2008-03-10","1","8","80","0.4","0.09","<1","<1","17","<1","<50","<0.1","21","12","7","1","224","11","<0.01","105","9.6","24000","120000","null","0.6","<0.01","130","1","20","<1","<2","2","2.8","0.44","0.7","0.49","8.3","7.6","0.1","15","<1","<0.02","4.8","<1","1.7","6","0.64","160","32","6.9","<2","19.7","30"
"Western Buffer","Pai Min Kok Stream","AN1","2008-04-17","1","13","110","1.1","0.47","<1","1","28","<1","<50","<0.1","36","25","7.7","<1","346","18","<0.01","100","8.3","67000","2500000","null","0.8","<0.01","190","2","20","<1","<2","2","5.1","1.3","1.2","1.6","8.3","13","0.2","18","<1","<0.02","7.2","<1","2.9","10","1.9","260","66","36.6","<2","24.7","60"
"Western Buffer","Pai Min Kok Stream","AN1","2008-05-14","1","27","120","0.07","0.18","<1","<1","17","<1","<50","<0.1","40","18","2.4","<1","274","12","<0.01","105","8.8","21000","160000","null","0.6","<0.01","150","2","10","<1","<2","2","3.3","0.67","0.5","0.25","8.4","1.1","0.1","16","<1","<0.02","4.9","<1","1.2","12","0.35","200","49","2.8","<2","24.1","50"
"Western Buffer","Pai Min Kok Stream","AN1","2008-06-27","1","0.6","130","0.057","<0.05","<1","<1","16","<1","<50","<0.1","7","<10","0.8","<1","93","3","<0.01","97","8.1","900","7600","null","0.2","<0.01","140","2","10","<1","<2","<1","0.9","0.012","<0.5","0.062","7.5","0.3","0","12","<1","<0.02","5.7","<1","0.21","1","0.07","88","28","15.9","<2","24.7","30"
"Western Buffer","Pai Min Kok Stream","AN1","2008-07-07","1","1.1","170","0.067","<0.05","<1","<1","15","<1","<50","<0.1","5","<10","0.7","<1","79","3","<0.01","101","8.3","6600","52000","null","<0.2","<0.01","460","4","20","<1","<2","<1","0.68","0.014","<0.5","0.06","7.5","0.7","0","11","<1","<0.02","16","<1","0.37","2","0.11","100","34","31.4","<2","25","30"
"Western Buffer","Pai Min Kok Stream","AN1","2008-08-15","1","2.3","120","0.098","<0.05","<1","<1","14","<1","<50","<0.1","9","<10","7.3","<1","117","3","<0.01","101","7.9","24000","320000","null","0.3","<0.01","460","2","10","<1","<2","<1","0.71","0.067","<0.5","0.094","8.3","1.7","0.1","16","<1","<0.02","6.6","<1","0.42","2","0.11","80","23","7","<2","28.2","20"
"Western Buffer","Pai Min Kok Stream","AN1","2008-09-03","1","0.9","70","0.048","<0.05","<1","<1","11","<1","<50","<0.1","8","<10","0.8","<1","105","5","<0.01","96","7.7","8000","98000","null","0.2","<0.01","400","1","<10","<1","<2","<1","0.8","0.04","<0.5","0.068","7.8","1.4","0.1","17","<1","<0.02","2.9","<1","0.28","2","0.1","88","22","7.5","<2","26.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","2008-10-15","1","1.5","90","0.14","<0.05","<1","<1","12","<1","<50","<0.1","5","<10","0.5","<1","116","3","<0.01","101","8.2","90000","870000","null","0.3","<0.01","180","1","<10","<1","<2","<1","0.91","0.081","<0.5","0.1","7.8","1.9","0.1","17","<1","<0.02","4.6","<1","0.51","2","0.14","90","26","5.2","<2","25.4","20"
