"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2007-01-15","1","5.4","60","1.4","0.2","<1","<1","15","<1","<50","<0.1","12","27","2","<1","193","6","<0.01","99","9.3","110000","180000","null","0.5","<0.01","<50","<1","<10","<1","<2","1","2.6","0.23","<0.5","0.52","8.1","1.1","0.1","17","<1","<0.02","1","<1","2.2","5","0.63","150","45","1.4","<2","18.4","30"
"Western Buffer","Pai Min Kok Stream","AN1","2007-02-09","1","9.3","110","0.64","0.18","<1","<1","13","<1","<50","<0.1","9","18","6.9","<1","211","5","<0.01","111","9.5","130000","630000","null","0.6","<0.01","110","2","<10","<1","<2","2","2.2","0.83","<0.5","0.62","8.8","5","0.1","17","<1","<0.02","2.9","<1","2","6","0.73","170","58","3.9","<2","23.4","50"
"Western Buffer","Pai Min Kok Stream","AN1","2007-03-12","1","14","70","2.7","0.26","<1","<1","19","<1","<50","<0.1","15","19","1.3","<1","243","9","<0.01","107","10.2","140000","1300000","null","0.6","<0.01","230","3","10","<1","<2","2","2.4","0.71","0.7","0.66","8.4","1","0.1","16","<1","<0.02","7.9","<1","4.3","8","0.81","180","44","6.4","<2","17.6","110"
"Western Buffer","Pai Min Kok Stream","AN1","2007-04-16","1","6.5","130","0.22","0.24","<1","<1","13","<1","<50","<0.1","31","18","10","<1","288","16","<0.01","113","9","5400","38000","null","0.9","<0.01","90","1","10","<1","2","2","4.4","0.64","<0.5","0.66","9.2","13","0.1","16","<1","<0.02","3.8","<1","1.8","10","0.82","210","63","3.1","<2","27","50"
"Western Buffer","Pai Min Kok Stream","AN1","2007-05-09","1","7.2","80","0.23","0.06","<1","<1","12","<1","<50","0.1","15","22","5.8","<1","244","9","<0.01","105","8.5","90000","700000","null","0.6","<0.01","60","<1","<10","<1","<2","1","3.7","0.76","0.5","0.47","9","5.2","0.1","16","<1","<0.02","1.9","<1","1.2","7","0.56","180","59","5.8","<2","25.8","30"
"Western Buffer","Pai Min Kok Stream","AN1","2007-06-07","1","2.7","100","0.13","0.11","<1","<1","19","<1","<50","<0.1","16","100","2.3","<1","386","9","<0.01","95","7.5","20","190","null","0.5","<0.01","120","2","10","<1","2","3","1.8","0.096","0.5","0.11","8.1","1.8","0.2","13","<1","<0.02","20","<1","2.2","6","0.19","280","62","10.4","<2","27.3","50"
"Western Buffer","Pai Min Kok Stream","AN1","2007-07-16","1","2.1","130","0.062","<0.05","<1","<1","11","<1","<50","<0.1","9","<10","1.6","<1","141","3","<0.01","101","7.7","56000","280000","null","0.4","<0.01","270","2","10","<1","<2","<1","0.88","0.042","<0.5","0.11","8.2","0.6","0.1","17","<1","<0.02","12","<1","0.39","2","0.13","74","28","9.8","<2","29.2","20"
"Western Buffer","Pai Min Kok Stream","AN1","2007-08-08","1","4.1","210","0.23","0.52","<1","<1","9","<1","<50","<0.1","12","<10","0.9","<1","128","6","<0.01","108","8.5","190000","660000","null","0.4","<0.01","210","2","<10","<1","<2","1","0.93","0.092","<0.5","0.097","7.9","0.4","0.1","16","<1","<0.02","3.8","<1","0.61","3","0.13","97","32","6.7","<2","28","30"
"Western Buffer","Pai Min Kok Stream","AN1","2007-09-03","1","3.1","140","0.2","0.06","<1","<1","13","<1","<50","<0.1","21","<10","2.5","<1","101","10","<0.01","99","7.8","980000","1000000","null","0.2","<0.01","350","5","20","<1","<2","<1","0.87","0.044","<0.5","0.053","7.8","3.1","0","7.9","<1","0.03","30","<1","0.84","5","0.12","96","32","19","2","27.7","70"
"Western Buffer","Pai Min Kok Stream","AN1","2007-10-03","1","0.6","70","0.11","<0.05","<1","<1","9","<1","<50","<0.1","13","<10","1.6","<1","122","4","<0.01","100","8.1","22000","55000","null","0.5","<0.01","180","1","<10","<1","<2","<1","0.93","0.043","<0.5","0.066","7.9","<0.2","0.1","15","<1","<0.02","3.6","<1","0.35","3","0.08","49","16","6.3","<2","25.7","40"
