"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1998-01-07","1","1.3","70","0.17","<0.05","<1","<1","20","","<50","<0.1","6","40","","4","298","5","<0.01","65","6.2","1200","23000","null","0.6","<0.01","190","2","20","<1","","3","4.5","0.1","0.6","0.39","7.6","","0.1","15","<1","<0.02","4.5","","0.69","2","0.44","200","94","3","<2","18.4","60"
"Western Buffer","Pai Min Kok Stream","AN1","1998-02-06","1","6.4","240","0.68","<0.05","1","1","19","","60","<0.1","33","130","","2","578","13","<0.01","81","9","76000","150000","null","0.4","<0.01","280","4","30","<1","","2","2.8","0.16","1.3","0.18","7.7","","0.3","9","<1","0.02","15","","1.7","10","0.25","380","86","16","<2","11.2","80"
"Western Buffer","Pai Min Kok Stream","AN1","1998-03-05","1","4.5","120","0.22","0.24","<1","<1","30","","<50","<0.1","19","55","","<1","372","4","<0.01","67","6.2","10000","12000","null","0.7","<0.01","70","1","<10","<1","","<1","4.1","0.18","1","0.31","7.5","","0.2","14","<1","<0.02","2.1","","1.1","8","0.36","220","48","5","<2","19.6","50"
"Western Buffer","Pai Min Kok Stream","AN1","1998-04-16","1","6.8","120","0.19","0.06","<1","1","27","<1","510","<0.1","54","2400","","<1","7880","7","<0.01","71","5.8","8000","120000","null","0.7","<0.01","110","2","20","<1","4","1","3.6","0.17","1.6","0.38","8.2","","4.4","15","<1","<0.02","3.7","<1","0.55","6","0.42","5400","1200","3","<2","23.6","60"
"Western Buffer","Pai Min Kok Stream","AN1","1998-05-06","1","2.3","270","0.15","0.23","<1","<1","11","<1","<50","<0.1","15","36","","<1","256","4","<0.01","88","7.1","63000","93000","null","0.4","<0.01","250","2","<10","<1","2","4","2.8","0.084","<0.5","0.26","7.8","","0.1","16","<1","<0.02","5.9","<1","0.71","5","0.3","180","61","5","<2","26","40"
"Western Buffer","Pai Min Kok Stream","AN1","1998-06-05","1","4.9","140","0.064","0.22","<1","<1","39","<1","<50","<0.1","17","39","","<1","332","5","<0.01","82","6.6","250000","640000","null","0.5","<0.01","200","3","20","<1","2","1","2.3","0.076","0.7","0.2","7.6","","0.2","18","<1","<0.02","46","<1","0.73","4","0.24","250","52","24","<2","26.3","50"
"Western Buffer","Pai Min Kok Stream","AN1","1998-07-08","1","0.1","150","0.095","0.07","<1","<1","14","<1","120","<0.1","7","450","","<1","1550","1","<0.01","93","7.4","67000","100000","null","0.5","<0.01","270","1","20","<1","<2","1","1.3","0.014","<0.5","0.11","7.3","","0.8","16","<1","<0.02","5.4","<1","0.32","2","0.13","940","140","6","<2","26.4","30"
"Western Buffer","Pai Min Kok Stream","AN1","1998-08-06","1","6.4","250","0.24","0.33","<1","1","15","<1","60","<0.1","18","210","","<1","836","5","<0.01","84","6.6","370000","580000","null","0.4","<0.01","350","2","50","<1","2","2","1.9","0.06","0.6","0.18","7.6","","0.4","18","<1","<0.02","7.1","<1","0.89","7","0.24","480","110","5","<2","27.7","60"
"Western Buffer","Pai Min Kok Stream","AN1","1998-09-04","1","3","400","0.16","0.17","<1","<1","14","<1","260","0.1","11","830","","<1","1979","2","<0.01","102","8","50000","100000","null","0.4","<0.01","260","2","10","<1","2","<1","1.9","0.094","0.6","0.22","7.7","","1","17","<1","<0.02","13","<1","0.6","3","0.25","1600","330","18","<2","27.2","40"
"Western Buffer","Pai Min Kok Stream","AN1","1998-10-12","1","26","120","0.1","1.23","<1","<1","25","<1","100","<0.1","220","73","","2","465","42","<0.01","86","6.7","27000","100000","null","0.6","<0.01","5200","310","20","<1","5","3","2.6","0.18","0.8","0.21","8.2","","0.2","17","<1","<0.02","29","<1","1.4","39","0.47","280","46","235","<2","27","430"
"Western Buffer","Pai Min Kok Stream","AN1","1998-11-05","1","2.7","640","0.3","<0.05","<1","<1","20","<1","<50","<0.1","6","97","","<1","514","6","<0.01","100","8.6","25000","88000","null","0.5","<0.01","300","4","30","<1","4","<1","2.4","0.33","0.9","0.35","8.1","","0.3","17","<1","<0.02","11","<1","0.73","4","0.39","320","55","7","2","23.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","1998-12-07","1","7.8","120","0.26","<0.05","<1","1","17","<1","340","<0.1","21","1300","","<1","3366","4","<0.01","103","8.7","42000","90000","null","0.7","<0.01","100","3","50","<1","4","<1","4.1","0.44","<0.5","0.45","8.1","","2.1","17","<1","<0.02","2.7","<1","0.63","4","0.55","2700","420","3.2","<2","18.2","30"
"Western Buffer","Pai Min Kok Stream","AN2","1998-01-07","1","4.6","190","0.86","<0.05","<1","<1","9","","<50","<0.1","14","13","","3","324","5","<0.01","92","8.6","16000","37000","null","0.4","<0.01","260","2","30","<1","","2","5.1","0.22","0.9","0.76","8.1","","0.2","17","<1","<0.02","8.2","","1.5","6","0.94","130","80","6","<2","19.1","60"
"Western Buffer","Pai Min Kok Stream","AN2","1998-02-06","1","7.2","320","1.3","0.05","2","<1","32","","<50","0.2","35","34","","1","326","43","<0.01","91","10","1200000","1300000","0.008","0.3","<0.01","310","8","120","<1","","1","3.3","0.16","1.4","0.23","7.7","","0.2","11","<1","<0.02","10","","2.1","12","0.25","210","80","24","<2","11.7","150"
"Western Buffer","Pai Min Kok Stream","AN2","1998-03-05","1","4.2","170","0.82","0.25","<1","<1","33","","<50","<0.1","14","12","","4","232","3","<0.01","93","8.8","33000","39000","0","0.4","<0.01","120","1","20","<1","","<1","4.2","0.18","0.7","0.53","7.5","","0.1","15","<1","<0.02","4.2","","1.3","6","0.65","110","34","6","<2","18.5","60"
