"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Deep Bay","River Ganges","GR1","1987-05-08","1","11.6","","4.8","","","1","","","","0.3","71","","","3","230","29","0.01","45","3.8","","","2.21","","","","11","","1","","","4.1","0.28","4","2.4","6.6","","","8.7","","","300","","10","","5.5","","","140","","23.8","0"
"Deep Bay","River Ganges","GR1","1987-06-04","1","17.3","","6.3","","","1","","","","0.1","110","","","1","205","13","0.01","13","1","","","4.22","","","","7","","1","","","0.41","0.33","3.5","2.6","7","","","7.9","","","150","","","","","","","170","","25.6","0"
"Deep Bay","River Ganges","GR1","1987-07-07","1","85.4","","16","","","2","","","","0.3","140","","","4","325","11","0.01","8","0.6","","","0.61","","","","18","","1","","","0.015","0.005","2","5.2","6.7","","","13","","","38","","29","","8.6","","","114","","29","140"
"Deep Bay","River Ganges","GR1","1987-09-03","1","32.5","40","12","0.21","","1","","","160","0.1","29","","","2","259","5","0.01","14","1.1","","","0.58","0.2","0","1500","15","90","1","","10","0.009","0.002","2","3.8","6.7","","","14","","0.03","45","","21","8","7.5","49","14","31","","28.1","10"
"Deep Bay","River Ganges","GR1","1987-10-22","1","89.6","140","89","0.22","","1","","","310","0.1","130","","","3","1010","11","0.01","10","0.8","","","0.01","0.3","0.01","1100","4","300","1","","10","0.01","0.002","8","31","7.2","","","32","","0.31","32","","110","74","35","480","150","50","","25.1","20"
"Deep Bay","River Ganges","GR1","1987-11-27","1","100.8","110","110","0.33","","1","","","290","0.3","270","","","2","1484","7","0.02","8","0.7","","","0.04","0.4","0","960","20","450","1","","10","0.013","0.002","3.5","16","7","","","22","","0.62","73","","190","150","65","690","260","126","","23.5","70"
"Deep Bay","River Ganges","GR1","1987-12-09","1","259","70","58","0.31","","1","","","310","0.3","94","","","5","970","6","0.01","9","0.9","","","0.04","0.3","0.01","720","35","300","1","","10","0.004","0.002","2.5","21","7.1","","","27","","0.08","89","","110","20","27","520","150","65","","12.5","50"
"Deep Bay","River Ganges","GR2","1987-05-08","1","10.5","","4.1","","","2","","","","0.3","67","","","4","215","30","0.01","54","4.6","","","null","","","","19","","1","","","3.8","0.16","2","2.5","6.4","","","7.2","","","220","","12","","6.2","","","196","","23.9","0"
"Deep Bay","River Ganges","GR2","1987-06-04","1","26","","5.5","","","2","","","","0.2","220","","","2","206","23","0.01","31","2.5","","","null","","","","12","","12","","","0.29","0.44","4","3.1","7","","","6.8","","","160","","","","","","","143","","25.6","0"
"Deep Bay","River Ganges","GR2","1987-07-07","1","123.1","","14","","","2","","","","0.4","140","","","4","288","21","0.01","33","2.5","","","null","","","","27","","1","","","0.018","0.005","1.5","4.7","6.6","","","10","","","34","","27","","8.7","","","122","","29.3","120"
"Deep Bay","River Ganges","GR2","1987-09-03","1","73.8","60","20","0.18","","1","","","290","0.1","63","","","1","313","10","0.02","30","2.4","","","null","0.2","0","1600","5","100","1","","10","0.005","0.002","2.5","6.2","6.7","","","17","","0.03","36","","33","15","8.7","52","17","37","","28","30"
"Deep Bay","River Ganges","GR2","1987-10-22","1","21.9","3000","110","0.23","","1","","","1600","2","610","","","62","1220","13","0.01","21","1.7","","","null","0.3","0.08","16000","380","1300","1","","20","0.012","0.003","12","42","6.8","","","33","","1.7","600","","180","180","59","1100","450","57","","26.5","2300"
"Deep Bay","River Ganges","GR2","1987-11-27","1","118.3","390","120","0.3","","1","","","360","0.5","1700","","","25","1789","2","0.01","24","2.1","","","0.15","0.4","0.01","2000","210","490","1","","10","0.027","0.005","1.5","24","6.8","","","25","","0.63","250","","370","220","80","1800","720","232","","24.2","480"
"Deep Bay","River Ganges","GR2","1987-12-09","1","537","100","96","0.46","","1","","","520","0.3","390","","","6","1180","10","0.01","32","3.4","","","0.01","0.3","0.01","1100","55","440","1","","10","0.009","0.002","4","39","6.9","","","33","","0.97","320","","160","74","59","900","300","264","","12.7","150"
"Deep Bay","River Ganges","GR3","1987-07-07","1","0.9","","0.023","","","1","","","","0.2","5","","","1","35","2","0.01","85","6.8","","","null","","","","3","","1","","","0.091","0.002","2","0.01","7.3","","","13","","","0.5","","1.9","","0.24","","","6","","27.3","10"
"Deep Bay","River Ganges","GR3","1987-10-22","1","0.2","160","0.01","0.05","","1","","","50","0.1","37","","","2","37","4","0.01","77","6.2","","","null","0.2","0.01","170","4","20","1","","10","0.36","0.003","1","0.031","6.9","","","16","","0.01","0.5","","0.7","5","0.16","40","16","4","","24.7","10"
"Deep Bay","River Indus","IN1","1987-05-08","1","21.1","","6.7","","","5","","","","0.3","54","","","4","315","21","0.01","28","2.4","","","9.83","","","","10","","1","","","3.1","0.52","3","2.2","6.9","","","10","","","240","","11","","3.8","","","88","","24.3","0"
"Deep Bay","River Indus","IN1","1987-06-04","1","33.5","","8.1","","","5","","","","0.2","150","","","2","310","27","0.01","7","0.6","","","14.37","","","","11","","1","","","0.002","0.005","1.5","2.5","7.1","","","10","","","110","","","","","","","148","","27.2","0"
"Deep Bay","River Indus","IN1","1987-07-07","1","79.3","","18","","","7","","","","0.2","73","","","4","468","11","0.01","7","0.5","","","null","","","","7","","1","","","0.005","0.004","0.5","5.2","6.8","","","19","","","12","","30","","5.2","","","35","","31.5","130"
"Deep Bay","River Indus","IN1","1987-09-03","1","60.8","140","13","0.29","","1","","","60","0.1","89","","","1","400","5","0.01","7","0.5","","","6.51","0.3","0","850","4","120","1","","10","0.012","0.007","3.5","4.5","6.6","","","17","","0.55","33","","22","10","6.4","63","19","36","","32.4","40"
"Deep Bay","River Indus","IN1","1987-10-22","1","35.7","590","33","0.25","","1","","","220","0.1","65","","","9","640","11","0.01","9","0.8","","","1.7","0.3","0.01","1000","5","290","1","","20","0.007","0.002","2.5","10","7","","","24","","1.1","24","","46","31","21","390","110","38","","27.1","60"
"Deep Bay","River Indus","IN1","1987-11-27","1","70.3","170","33","0.32","","2","","","140","0.1","86","","","5","798","11","0.01","7","0.6","","","0.34","0.4","0.01","720","4","260","1","","10","0.016","0.004","1","6.6","6.7","","","13","","0.51","66","","27","39","6.6","280","86","61","","25.1","120"
"Deep Bay","River Indus","IN1","1987-12-09","1","110.3","160","34","0.47","","2","","","190","0.2","59","","","12","700","13","0.01","7","0.6","","","null","0.3","0.02","1000","5","310","1","","20","0.022","0.03","3.5","8.5","7.1","","","22","","0.66","40","","40","5","9.5","440","170","50","","19.7","200"
"Deep Bay","River Indus","IN2","1987-05-08","1","2.8","","2.9","","","2","","","","0.3","26","","","7","257","9","0.01","37","3.1","","","null","","","","7","","1","","","4","0.24","1","0.96","6.2","","","9.9","","","70","","3.6","","1.7","","","55","","23.9","0"
"Deep Bay","River Indus","IN2","1987-06-04","1","10.5","","3.9","","","2","","","","0.2","46","","","1","222","10","0.01","11","0.9","","","null","","","","5","","1","","","0.02","0.012","1","1.2","7.2","","","12","","","58","","","","","","","37","","25.6","0"
"Deep Bay","River Indus","IN2","1987-07-07","1","91.2","","13","","","4","","","","0.2","48","","","3","438","10","0.01","10","0.8","","","null","","","","7","","1","","","0.031","0.004","0.5","3.4","6.7","","","15","","","9.5","","20","","4.6","","","37","","29.6","70"
"Deep Bay","River Indus","IN2","1987-09-03","1","34","120","10","0.31","","1","","","100","0.1","35","","","1","494","8","0.01","9","0.7","","","null","0.2","0","1600","4","190","1","","10","0.01","0.002","1.5","3.1","6.5","","","15","","0.06","46","","18","8","6.2","69","16","31","","30.3","30"
