"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2009-01-12","1","7.6","120","1.2","0.43","<1","<1","14","<1","<50","0.2","17","14","1.9","<1","159","9","<0.01","102","10.8","8300","320000","null","0.6","<0.01","160","1","50","<1","<2","1","3.1","0.43","<0.5","0.65","8","1.7","0.1","15","<1","<0.02","5.6","<1","2.2","5","0.77","160","41","5.3","<2","12.8","60"
"Western Buffer","Pai Min Kok Stream","AN1","2009-02-12","1","4.2","140","0.19","<0.05","<1","<1","14","<1","<50","<0.1","12","12","2.1","<1","204","9","<0.01","103","9.1","11000","90000","null","0.6","<0.01","140","1","10","<1","<2","2","4","0.27","<0.5","0.46","8.3","4.3","0.1","13","<1","<0.02","5.8","<1","0.95","4","0.51","160","44","3.8","<2","21.1","40"
"Western Buffer","Pai Min Kok Stream","AN1","2009-03-06","1","0.8","340","0.19","<0.05","<1","<1","23","<1","<50","<0.1","14","170","0.7","4","562","7","<0.01","99","9.3","3000","7800","null","0.5","<0.01","320","1","20","<1","<2","2","1.8","0.069","<0.5","0.044","8.5","1","0.3","16","<1","<0.02","3.8","<1","5.3","5","0.05","480","110","9.5","<2","17.8","40"
"Western Buffer","Pai Min Kok Stream","AN1","2009-04-16","1","8.3","190","0.087","<0.05","<1","<1","14","<1","<50","<0.1","9","11","2.6","<1","165","5","<0.01","105","8.9","80000","2800000","null","0.4","<0.01","180","2","10","<1","<2","1","2.6","0.1","<0.5","0.075","8.3","2.9","0.1","14","<1","<0.02","7.6","<1","0.97","4","0.14","140","38","9.6","<2","23.5","80"
"Western Buffer","Pai Min Kok Stream","AN1","2009-05-22","1","11","120","0.034","0.29","<1","<1","16","<1","<50","<0.1","16","26","2.3","<1","259","11","<0.01","107","8.7","31000","540000","null","0.5","<0.01","110","1","<10","<1","<2","2","2.9","0.18","0.5","0.19","8.8","3.4","0.1","16","<1","<0.02","6.5","<1","0.92","7","0.27","170","45","4.6","<2","26.1","40"
"Western Buffer","Pai Min Kok Stream","AN1","2009-06-01","1","7.2","190","0.15","0.26","<1","<1","14","<1","<50","<0.1","11","11","6","<1","120","6","<0.01","105","8.6","22000","750000","null","0.4","<0.01","140","<1","<10","<1","<2","<1","2","0.2","0.7","0.18","8.8","4.8","0.1","14","<1","<0.02","3.2","<1","0.83","5","0.23","120","35","4.8","<2","25.3","40"
"Western Buffer","Pai Min Kok Stream","AN1","2009-07-08","1","1.6","110","0.26","0.14","<1","<1","11","<1","<50","<0.1","5","<10","0.9","<1","126","4","<0.01","99","7.7","22000","57000","null","0.4","<0.01","270","1","<10","<1","<2","12","0.95","0.06","<0.5","0.11","7.9","2.5","0.1","16","<1","<0.02","3.6","<1","0.55","2","0.12","99","29","4.5","<2","28.2","30"
"Western Buffer","Pai Min Kok Stream","AN1","2009-08-13","1","0.4","110","0.055","<0.05","<1","<1","13","<1","<50","<0.1","8","12","0.5","<1","103","7","<0.01","99","8","18000","58000","null","0.2","<0.01","230","2","10","<1","<2","<1","1","0.012","<0.5","0.063","7.8","1","0.1","12","<1","<0.02","9.2","<1","0.38","2","0.07","110","30","25.8","<2","26.1","30"
"Western Buffer","Pai Min Kok Stream","AN1","2009-09-11","1","8.6","120","0.28","0.05","<1","<1","32","<1","<50","0.1","9","74","1.3","<1","386","6","<0.01","96","7.7","22000","720000","null","0.4","<0.01","260","1","40","<1","<2","1","1.5","0.11","<0.5","0.097","7.7","2","0.2","16","<1","<0.02","8","<1","0.88","3","0.17","360","190","5.3","<2","26.6","100"
"Western Buffer","Pai Min Kok Stream","AN1","2009-10-14","1","3.8","140","0.16","0.14","<1","<1","14","<1","<50","0.1","9","12","1.3","<1","73","4","<0.01","100","8.2","4800","1100000","null","0.3","<0.01","170","<1","<10","<1","<2","<1","1.3","0.13","0.6","0.12","7.9","1.1","0","18","<1","<0.02","2.9","<1","0.47","3","0.14","120","56","3.7","<2","25.7","70"
"Western Buffer","Pai Min Kok Stream","AN1","2009-11-23","1","2.8","90","1.2","1.2","<1","<1","13","<1","<50","<0.1","15","16","0.6","<1","159","7","<0.01","96","9.1","440","2200","null","0.4","<0.01","60","<1","<10","<1","<2","<1","1.7","0.24","<0.5","0.34","7.7","0.5","0.1","18","<1","<0.02","1.3","<1","1.6","4","0.39","120","32","2.7","<2","17.8","20"
"Western Buffer","Pai Min Kok Stream","AN1","2009-12-05","1","1.5","60","0.066","<0.05","<1","<1","11","<1","<50","<0.1","5","16","2.3","<1","155","3","<0.01","100","9.6","1000","16000","null","0.5","<0.01","<50","<1","<10","<1","<2","<1","2.9","0.086","<0.5","0.19","7.9","2.4","0.1","15","<1","<0.02","1.5","<1","0.56","2","0.19","140","38","1.1","<2","17.4","20"
"Western Buffer","Pai Min Kok Stream","AN2","2009-01-12","1","3.2","130","1.2","0.25","<1","<1","10","<1","<50","<0.1","11","12","","<1","142","3","<0.01","107","11.6","22000","23000","null","0.7","<0.01","<50","<1","<10","<1","<2","<1","3.6","0.29","<0.5","0.6","7.9","","0.1","16","<1","<0.02","2.2","<1","1.7","3","0.76","140","29","11.8","<2","11.7","60"
"Western Buffer","Pai Min Kok Stream","AN2","2009-02-12","1","8.1","270","1.3","0.14","<1","<1","12","<1","<50","0.1","10","14","8.9","<1","386","6","<0.01","122","10.9","74000","76000","null","0.5","<0.01","170","2","60","<1","<2","1","5","0.58","0.6","0.8","8.5","9.7","0.2","15","<1","<0.02","8.5","<1","2.1","5","0.89","170","50","11.5","<2","21","40"
"Western Buffer","Pai Min Kok Stream","AN2","2009-03-06","1","2.2","250","0.57","<0.05","<1","<1","18","<1","<50","<0.1","14","15","","<1","190","5","<0.01","95","9.1","16000","28000","0.005","0.3","<0.01","160","2","30","<1","<2","<1","2.2","0.049","<0.5","0.13","7.7","","0.1","15","<1","<0.02","2.9","<1","1.1","5","0.14","160","57","7.9","<2","17.6","80"
