"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2019-01-17","1","0.5","105","0.046","<0.05","<1","<1","6","<1","96","<0.1","3","210","0.7","<1","529","3","<0.01","101","9.8","5500","9100","null","0.5","<0.01","<50","<1","<10","<1","2","<1","0.98","0.008","<0.5","0.056","7.8","0.6","0.3","16","<1","<0.02","1.7","<1","0.55","1","0.06","420","40","2","<2","16.9","<10"
"Western Buffer","Pai Min Kok Stream","AN1","2019-02-28","1","0.7","<50","0.031","<0.05","<1","<1","5","<1","288","<0.1","7","460","1.1","<1","834","3","<0.01","100","8.8","2100","3900","null","0.6","<0.01","<50","<1","<10","<1","<2","1","0.86","0.004","<0.5","0.04","8.4","2.3","0.4","13","<1","<0.02","<0.5","<1","0.32","1","0.05","910","170","1.2","<2","21.7","<10"
"Western Buffer","Pai Min Kok Stream","AN1","2019-03-14","1","3","74","0.64","0.23","<1","<1","6","<1","73","<0.1","7","130","1.2","<1","466","7","<0.01","102","9.3","5800","25000","null","0.5","<0.01","<50","<1","<10","<1","<2","<1","0.97","0.27","<0.5","0.094","8.1","1.6","0.3","14","<1","<0.02","2.5","<1","1.2","3","0.15","400","84","2.4","<2","19.9","<10"
"Western Buffer","Pai Min Kok Stream","AN1","2019-04-25","1","0.8","195","0.034","<0.05","<1","<1","8","<1","541","<0.1","11","650","1.1","<1","933","3","<0.01","102","8.2","20","80","null","0.5","<0.01","94","<1","<10","<1","3","2","0.94","0.008","<0.5","0.059","8.2","0.8","0.5","16","<1","<0.02","4.1","<1","0.66","2","0.08","4700","880","4","<2","26.1","<10"
"Western Buffer","Pai Min Kok Stream","AN1","2019-05-16","1","0.8","97","0.057","<0.05","<1","<1","9","<1","<50","<0.1","4","80","0.6","<1","359","3","<0.01","101","8.1","1700","41000","null","0.5","<0.01","83","<1","<10","<1","<2","<1","0.56","0.015","2.1","0.046","8.1","0.9","0.2","13","<1","<0.02","2.6","<1","0.29","2","0.06","250","100","2.6","<2","26.6","<10"
"Western Buffer","Pai Min Kok Stream","AN1","2019-06-12","1","1.1","429","0.064","<0.05","<1","2","11","<1","<50","<0.1","18","69","2","5","393","5","<0.01","102","8.1","26000","61000","null","0.3","<0.01","111","<1","<10","<1","5","<1","0.48","0.031","<0.5","0.044","9.8","1.8","0.2","20","<1","<0.02","48","<1","0.53","4","0.09","360","110","13.7","4","27.2","<10"
"Western Buffer","Pai Min Kok Stream","AN1","2019-07-25","1","0.7","430","0.043","<0.05","<1","<1","7","<1","<50","<0.1","7","50","0.7","<1","204","4","<0.01","100","7.8","52000","82000","null","0.3","<0.01","436","<1","<10","<1","<2","<1","0.23","0.018","<0.5","0.09","8","0.5","0.1","18","<1","<0.02","4.9","<1","0.28","3","0.12","190","94","9.4","<2","28.4","14"
"Western Buffer","Pai Min Kok Stream","AN1","2019-08-15","1","0.7","80","0.086","<0.05","<1","<1","8","<1","616","<0.1","8","2500","1.6","1","7960","3","<0.01","101","7.8","39000","59000","null","0.4","<0.01","303","1","<10","<1","2","2","0.34","0.015","<0.5","0.046","7.7","1.2","4.1","13","<1","<0.02","12","<1","0.53","2","0.06","5000","880","7.7","<2","27.9","11"
"Western Buffer","Pai Min Kok Stream","AN1","2019-09-04","1","0.2","240","0.048","<0.05","<1","<1","8","<1","148","<0.1","8","490","0.9","<1","1682","2","<0.01","99","7.9","8900","16000","null","0.2","<0.01","99","<1","<10","<1","<2","<1","0.33","0.01","<0.5","0.025","7.6","0.9","0.8","15","<1","<0.02","8.8","<1","0.39","3","0.06","1500","300","9.9","<2","26.4","14"
"Western Buffer","Pai Min Kok Stream","AN1","2019-10-17","1","6.1","187","0.28","0.15","<1","<1","9","<1","<50","<0.1","12","92","0.6","<1","404","7","<0.01","102","8.4","370000","770000","null","0.3","<0.01","108","<1","<10","<1","<2","<1","0.99","0.048","<0.5","0.042","8.3","0.7","0.2","18","<1","<0.02","4.7","<1","0.9","3","0.1","240","52","6.3","<2","25","36"
"Western Buffer","Pai Min Kok Stream","AN1","2019-11-11","1","1.3","265","0.39","<0.05","<1","<1","10","<1","80","<0.1","6","180","0.5","<1","660","3","<0.01","100","8.6","9000","76000","null","0.4","<0.01","75","<1","<10","<1","<2","1","0.71","0.081","<0.5","0.071","7.8","0.4","0.3","17","<1","<0.02","3.4","<1","0.74","3","0.1","420","87","3.8","<2","22.8","19"
"Western Buffer","Pai Min Kok Stream","AN1","2019-12-12","1","3.8","52","0.094","<0.05","<1","<1","7","<1","<50","<0.1","11","290","0.6","<1","1040","2","<0.01","98","9.2","2500","15000","null","0.5","<0.01","<50","<1","<10","<1","<2","<1","0.57","0.012","<0.5","0.028","7.9","1.1","0.6","13","<1","<0.02","4.6","<1","0.51","3","0.05","680","140","2.1","<2","18.2","10"
"Western Buffer","Pai Min Kok Stream","AN2","2019-01-17","1","0.2","190","0.018","<0.05","<1","<1","8","<1","<50","<0.1","3","<10","<0.2","<1","135","2","<0.01","105","10.1","1500","1900","0.002","0.5","<0.01","61","<1","<10","<1","2","<1","0.65","0.005","<0.5","0.058","8.1","0.8","0.1","18","<1","<0.02","2.4","<1","0.33","1","0.06","130","35","3.6","<2","17.1","<10"
"Western Buffer","Pai Min Kok Stream","AN2","2019-02-28","1","0.6","<50","<0.005","<0.05","<1","<1","9","<1","<50","<0.1","5","<10","0.7","<1","207","5","<0.01","108","9.6","2100","2800","null","0.6","<0.01","<50","<1","<10","<1","<2","<1","0.36","0.008","<0.5","0.044","8.6","2","0.1","18","<1","<0.02","0.9","<1","0.29","1","0.06","98","34","1.5","<2","21.3","<10"
"Western Buffer","Pai Min Kok Stream","AN2","2019-03-14","1","0.6","190","0.014","<0.05","<1","<1","8","<1","<50","<0.1","6","<10","0.6","<1","120","2","<0.01","105","9.5","1900","7600","0.002","0.5","<0.01","102","<1","<10","<1","<2","<1","0.32","0.004","<0.5","0.04","7.9","1.7","0.1","16","<1","<0.02","2.1","<1","0.14","1","0.06","72","27","3.4","<2","20.1","<10"
"Western Buffer","Pai Min Kok Stream","AN2","2019-04-25","1","0.9","458","0.013","<0.05","<1","<1","8","<1","<50","<0.1","10","<10","2.4","<1","143","3","<0.01","106","8.6","100","100","0.003","0.4","<0.01","197","<1","<10","<1","<2","<1","0.4","0.003","<0.5","0.047","8.1","0.5","0.1","16","<1","<0.02","4.6","<1","0.5","2","0.06","100","68","7.7","<2","26.1","<10"
"Western Buffer","Pai Min Kok Stream","AN2","2019-05-16","1","1","254","0.011","<0.05","<1","<1","8","<1","<50","<0.1","5","<10","0.4","<1","293","3","<0.01","105","8.4","1400","3200","0.002","0.5","<0.01","168","<1","<10","<1","<2","<1","0.32","0.006","<0.5","0.047","8.2","1.2","0.1","14","<1","<0.02","5.1","<1","0.16","2","0.07","100","22","5.6","<2","27.1","<10"
"Western Buffer","Pai Min Kok Stream","AN2","2019-06-12","1","0.6","788","0.031","<0.05","<1","<1","8","<1","<50","<0.1","6","16","0.9","<1","159","3","<0.01","102","8.2","16000","43000","0.005","0.3","<0.01","436","<1","<10","<1","<2","<1","0.29","0.003","<0.5","0.04","9.4","0.4","0.1","17","<1","<0.02","14","<1","0.37","3","0.07","150","37","15.4","<2","26.5","17"
"Western Buffer","Pai Min Kok Stream","AN2","2019-07-25","1","0.5","502","0.025","<0.05","<1","<1","7","<1","<50","<0.1","11","<10","0.5","<1","113","3","<0.01","100","7.9","59000","85000","0.013","0.3","<0.01","581","<1","11","<1","<2","<1","0.005","0.003","<0.5","0.014","7.7","0.6","0.1","18","<1","<0.02","6.8","<1","0.32","3","0.05","83","58","12.2","<2","27.9","19"
"Western Buffer","Pai Min Kok Stream","AN2","2019-08-15","1","0.5","65","0.032","<0.05","<1","<1","6","<1","<50","<0.1","7","76","<0.2","<1","101","2","<0.01","102","8.1","85000","91000","0.012","0.3","<0.01","537","<1","<10","<1","<2","<1","0.21","0.003","<0.5","0.034","7.5","1","0","15","<1","<0.02","5","<1","0.34","2","0.04","170","38","10.7","<2","27.7","14"
"Western Buffer","Pai Min Kok Stream","AN2","2019-09-04","1","0.3","518","0.038","<0.05","<1","<1","7","<1","<50","<0.1","12","<10","0.3","<1","89","2","<0.01","99","8","11000","17000","0.043","<0.2","<0.01","241","<1","<10","<1","<2","2","0.19","0.013","<0.5","0.014","7.5","0.7","0","16","<1","<0.02","7.5","<1","0.27","2","0.05","80","25","12.8","<2","26.1","12"
"Western Buffer","Pai Min Kok Stream","AN2","2019-10-17","1","0.9","453","0.017","<0.05","<1","<1","4","<1","<50","<0.1","8","<10","0.5","<1","167","1","<0.01","104","8.7","810000","820000","0.015","<0.2","<0.01","287","<1","<10","<1","<2","<1","0.23","0.006","<0.5","0.013","8","1.2","0.1","18","<1","<0.02","5","<1","0.24","2","0.05","74","22","7.8","<2","24.2","14"
