"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2014-01-11","1","3.5","937","0.14","0.08","<1","<1","23","2","<50","<0.1","5","18","6.7","1","170","3","<0.01","102","9.6","24000","38000","null","0.6","<0.01","1292","7","145","<1","4","<1","1.2","0.21","<0.5","0.1","8.4","9.3","0.1","17","<1","<0.02","230","<1","0.98","2","0.19","440","91","286.4","<2","18.1","40"
"Western Buffer","Pai Min Kok Stream","AN1","2014-02-14","1","2.2","73","0.36","0.14","<1","<1","14","<1","<50","<0.1","5","40","1.4","<1","216","4","<0.01","100","11.2","15000","16000","null","0.6","<0.01","59","<1","21","<1","3","<1","1.4","0.094","<0.5","0.072","7.8","<0.2","0.1","16","<1","<0.02","1.2","<1","0.76","2","0.09","180","64","2.2","<2","10.2","31"
"Western Buffer","Pai Min Kok Stream","AN1","2014-03-12","1","8","195","3.4","0.1","<1","<1","27","<1","<50","<0.1","16","55","<0.2","3","365","20","<0.01","98","9.3","27000","39000","null","0.7","<0.01","273","4","22","<1","6","3","3.6","0.22","<0.5","0.25","7.8","1.3","0.2","16","<1","<0.02","6.7","<1","5","6","0.33","270","93","12.9","<2","17.9","87"
"Western Buffer","Pai Min Kok Stream","AN1","2014-04-09","1","0.6","654","0.054","0.06","<1","<1","14","<1","<50","<0.1","4","10","<0.2","1","155","3","<0.01","101","8.7","3100","11000","null","0.4","<0.01","1399","10","135","<1","5","<1","0.94","0.012","<0.5","0.058","7.8","2.3","0.1","16","<1","<0.02","110","<1","0.25","2","0.07","240","42","77.5","<2","22.5","40"
"Western Buffer","Pai Min Kok Stream","AN1","2014-05-12","1","0.4","146","0.028","<0.05","<1","<1","9","<1","<50","<0.1","3","<10","0.7","<1","118","3","<0.01","100","8.5","4900","6000","null","0.3","<0.01","162","2","39","<1","4","<1","0.89","0.008","<0.5","0.049","7.5","1.7","0.1","14","<1","<0.02","8.4","<1","0.21","1","0.07","130","55","15.9","<2","23.3","26"
"Western Buffer","Pai Min Kok Stream","AN1","2014-06-11","1","0.7","109","0.046","0.05","<1","<1","12","<1","<50","<0.1","5","14","8.9","<1","154","13","<0.01","99","8.1","30000","50000","null","0.3","<0.01","539","1","<10","<1","<2","2","0.63","0.042","<0.5","0.046","7.6","2.9","0.1","18","<1","<0.02","2.3","<1","0.26","2","0.07","110","29","5.9","<2","25.9","48"
"Western Buffer","Pai Min Kok Stream","AN1","2014-07-10","1","1.5","206","0.044","0.06","<1","<1","12","<1","<50","<0.1","16","11","1.3","<1","140","6","<0.01","101","8","90000","130000","null","0.3","<0.01","494","2","15","<1","<2","<1","0.67","0.032","<0.5","0.026","7.7","<0.2","0.1","15","<1","<0.02","6.4","<1","0.47","6","0.05","120","44","20.2","2","27.4","42"
"Western Buffer","Pai Min Kok Stream","AN1","2014-08-11","1","1.3","221","0.026","0.25","<1","<1","12","<1","102","<0.1","6","420","2.1","1","1755","3","<0.01","99","7.6","60000","91000","null","0.4","<0.01","201","<1","<10","<1","<2","<1","0.67","0.021","<0.5","0.049","7.6","0.6","0.8","18","<1","<0.02","2.5","<1","0.73","3","0.06","980","150","4.7","<2","28.9","29"
"Western Buffer","Pai Min Kok Stream","AN1","2014-09-12","1","1.3","193","0.044","0.14","<1","<1","13","<1","199","<0.1","7","820","0.7","2","3039","5","<0.01","100","7.8","22000","59000","null","0.3","<0.01","216","1","31","<1","<2","1","0.77","0.021","<0.5","0.16","7.4","1.2","1.5","17","<1","<0.02","2.3","<1","0.65","3","0.18","1700","320","7.1","2","27.7","152"
"Western Buffer","Pai Min Kok Stream","AN1","2014-10-09","1","0.8","129","0.042","0.08","<1","<1","12","<1","448","<0.1","5","1800","2.5","3","6304","3","<0.01","102","8.2","11000","29000","null","0.5","<0.01","126","<1","<10","<1","2","2","0.89","0.016","<0.5","0.063","7.9","0.5","3.4","17","<1","<0.02","1.1","<1","0.38","2","0.08","4000","780","2.4","<2","24.9","14"
"Western Buffer","Pai Min Kok Stream","AN1","2014-11-12","1","0.8","196","0.013","<0.05","<1","<1","14","<1","519","<0.1","10","2400","2","3","7338","8","<0.01","101","8.6","3000","8200","null","0.6","<0.01","107","<1","<10","<1","3","3","0.76","0.011","<0.5","0.058","8","<0.2","4.3","20","<1","<0.02","2.9","<1","1.4","3","0.08","4900","740","4.7","<2","21.9","36"
