"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1997-01-15","1","1.4","50","0.17","0.07","<1","<1","14","","<50","<0.1","4","60","","1","342","4","<0.01","70","6.8","12000","16000","null","0.5","<0.01","70","1","10","<1","","3","3.9","0.09","<0.5","0.31","7.9","","0.2","16","<1","<0.02","1.8","","0.82","2","0.67","220","48","1","<2","17.4","70"
"Western Buffer","Pai Min Kok Stream","AN1","1997-02-17","1","2.2","90","0.31","0.13","<1","<1","12","","460","<0.1","12","1800","","1","6100","3","<0.01","65","6.7","22000","25000","null","0.5","<0.01","100","<1","20","<1","","3","3","0.16","<0.5","0.27","7.5","","3.3","14","<1","<0.02","2","","0.57","5","0.7","3800","680","1","<2","13.8","30"
"Western Buffer","Pai Min Kok Stream","AN1","1997-03-06","1","7.2","50","0.74","<0.05","<1","<1","32","","<50","<0.1","17","65","","<1","402","5","<0.01","63","5.9","130000","130000","null","0.6","<0.01","80","<1","30","<1","","3","3.9","0.15","1.2","0.6","7.5","","0.2","12","<1","<0.02","7.6","","2.4","6","0.75","280","85","2","<2","18.9","60"
"Western Buffer","Pai Min Kok Stream","AN1","1997-04-09","1","1.3","<50","0.22","0.06","<1","<1","21","","60","<0.1","10","150","","<1","746","5","<0.01","44","3.9","30000","140000","null","0.5","<0.01","120","1","30","<1","","3","4.2","0.13","0.6","0.41","7.4","","0.4","19","<1","<0.02","3.6","","1","2","0.49","450","100","1","<2","22","60"
"Western Buffer","Pai Min Kok Stream","AN1","1997-05-07","1","4.9","460","0.47","0.18","<1","3","18","","220","<0.1","18","540","","1","2800","15","<0.01","82","6.8","80000","130000","null","0.7","<0.01","210","3","10","<1","","3","2","0.1","0.6","0.15","7.1","","1.5","12","<1","<0.02","4.8","","0.97","8","0.24","1800","360","9","<2","24","70"
"Western Buffer","Pai Min Kok Stream","AN1","1997-06-10","1","5.3","140","0.36","0.4","<1","<1","14","","<50","<0.1","10","42","","1","296","6","<0.01","67","5.2","52000","89000","null","0.5","<0.01","110","2","<10","<1","","2","3","0.19","<0.5","0.27","7.4","","0.1","16","1","<0.02","2.4","","1.1","3","0.32","230","74","3","<2","28","40"
"Western Buffer","Pai Min Kok Stream","AN1","1997-07-10","1","2.9","360","0.06","0.08","<1","<1","15","","<50","<0.1","12","<10","","<1","102","9","<0.01","95","7.7","100000","160000","null","0.2","<0.01","350","11","20","<1","","1","0.77","0.018","<0.5","0.048","7.3","","0.1","8.9","<1","<0.02","42","","0.61","3","0.13","150","58","29","<2","25.3","90"
"Western Buffer","Pai Min Kok Stream","AN1","1997-08-07","1","1.1","80","0.13","0.07","<1","<1","17","","50","<0.1","7","160","","2","626","3","<0.01","106","8.3","37000","67000","null","0.3","<0.01","300","2","30","<1","","2","1.3","0.016","<0.5","0.11","6.7","","0.3","16","<1","<0.02","4.3","","0.29","2","0.15","360","50","5","<2","27.5","40"
"Western Buffer","Pai Min Kok Stream","AN1","1997-09-05","1","1.2","200","0.096","0.16","<1","<1","7","","<50","<0.1","19","25","","<1","182","3","<0.01","109","8.6","18000","36000","null","0.3","<0.01","310","1","<10","<1","","<1","1.2","0.028","<0.5","0.14","7.2","","0.1","17","<1","<0.02","4","","0.26","2","0.2","150","52","3","<2","27","30"
"Western Buffer","Pai Min Kok Stream","AN1","1997-10-08","1","6.6","240","0.23","0.19","<1","<1","8","","<50","<0.1","15","21","","<1","192","4","<0.01","98","8.2","39000","160000","null","0.3","<0.01","150","<1","<10","<1","","<1","2","0.14","0.7","0.19","7","","0.1","16","<1","<0.02","2","","0.66","4","0.27","170","48","3","<2","24.8","<10"
"Western Buffer","Pai Min Kok Stream","AN1","1997-11-06","1","2.1","130","0.38","0.59","<1","<1","12","","<50","<0.1","15","130","","1","414","2","<0.01","82","7.3","4900","9000","null","0.5","<0.01","120","<1","20","<1","","1","2.8","0.19","<0.5","0.24","7.1","","0.2","17","<1","<0.02","1.5","","1.1","4","0.31","270","40","4","<2","20.5","40"
"Western Buffer","Pai Min Kok Stream","AN1","1997-12-04","1","2.7","<50","0.13","0.11","<1","<1","13","","50","<0.1","17","240","","1","852","2","<0.01","83","7.9","3300","7300","null","0.5","<0.01","90","<1","10","<1","","1","2.6","0.062","1.1","0.22","7","","0.4","16","<1","<0.02","1.4","","0.44","2","0.44","530","96","3","<2","17.6","30"
"Western Buffer","Pai Min Kok Stream","AN2","1997-01-15","1","6","80","2.6","0.16","<1","<1","12","","<50","<0.1","12","30","","<1","352","4","<0.01","88","8.2","36000","58000","null","0.4","<0.01","60","<1","<10","<1","","1","5.6","0.39","<0.5","0.74","8","","0.2","20","<1","<0.02","3.4","","3.9","6","1.1","150","38","2","<2","19.7","60"
"Western Buffer","Pai Min Kok Stream","AN2","1997-02-17","1","3.3","110","2.2","<0.05","<1","<1","8","","<50","<0.1","12","24","","<1","294","5","<0.01","96","9.9","130000","180000","null","0.3","<0.01","80","<1","10","<1","","1","3.5","0.24","<0.5","0.61","8.3","","0.1","17","<1","<0.02","2.5","","2.4","5","1","140","58","1","<2","14.1","70"
"Western Buffer","Pai Min Kok Stream","AN2","1997-03-06","1","12","130","2.1","0.06","<1","<1","10","","<50","<0.1","18","29","","<1","384","6","<0.01","92","8.6","140000","170000","null","0.4","<0.01","100","1","20","<1","","2","6.3","0.26","1.2","0.99","7.9","","0.2","16","<1","<0.02","7","","3.3","2","1.2","210","90","5","<2","19.4","60"
"Western Buffer","Pai Min Kok Stream","AN2","1997-04-09","1","6.8","100","2.4","0.31","<1","<1","9","","<50","<0.1","14","29","","<1","282","3","<0.01","84","7.3","150000","270000","0.001","0.4","<0.01","70","1","<10","<1","","2","5.5","0.61","0.6","0.96","7.6","","0.1","20","<1","<0.02","4.4","","3.3","4","1","180","66","6","<2","22.4","60"
"Western Buffer","Pai Min Kok Stream","AN2","1997-05-07","1","1.9","540","0.31","<0.05","<1","<1","9","","<50","0.2","9","<10","","<1","192","3","<0.01","98","8.3","21000","31000","0.007","0.3","<0.01","210","1","20","<1","","1","2.1","0.079","<0.5","0.23","7.7","","0.1","14","<1","<0.02","4.4","","0.65","4","0.29","140","56","6","<2","23.8","50"
"Western Buffer","Pai Min Kok Stream","AN2","1997-06-10","1","2.7","220","0.47","0.23","<1","<1","8","","<50","<0.1","6","16","","<1","294","4","<0.01","97","7.6","25000","60000","null","0.4","<0.01","140","1","<10","<1","","<1","3.3","0.16","<0.5","0.4","7.9","","0.1","16","<1","<0.02","4.9","","1.2","3","0.43","140","50","5","<2","28","30"
"Western Buffer","Pai Min Kok Stream","AN2","1997-07-10","1","2.4","330","0.097","0.26","<1","<1","18","","<50","<0.1","16","<10","","<1","114","13","<0.01","95","7.8","120000","180000","null","0.2","<0.01","490","13","40","<1","","2","0.88","0.029","<0.5","0.064","7.7","","0.1","10","<1","<0.02","48","","0.61","5","0.11","160","58","32","<2","25","120"
"Western Buffer","Pai Min Kok Stream","AN2","1997-08-07","1","0.8","50","0.084","<0.05","<1","<1","22","","<50","<0.1","20","<10","","<1","94","2","<0.01","107","8.4","32000","59000","null","0.2","<0.01","320","1","20","<1","","<1","0.75","0.007","<0.5","0.07","7.2","","0.1","15","<1","<0.02","4.4","","0.25","1","0.13","70","14","7","<2","27.2","20"
"Western Buffer","Pai Min Kok Stream","AN2","1997-09-05","1","0.7","130","0.11","<0.05","<1","<1","6","","<50","<0.1","16","<10","","<1","130","2","<0.01","111","8.8","52000","73000","0.006","0.3","<0.01","550","1","40","<1","","<1","0.66","0.014","<0.5","0.091","7.7","","0.1","16","<1","<0.02","2.8","","0.31","2","0.13","74","28","5","<2","26.8","20"
"Western Buffer","Pai Min Kok Stream","AN2","1997-10-08","1","2.1","320","0.22","0.19","<1","<1","5","","<50","<0.1","9","<10","","<1","96","2","<0.01","102","8.5","80000","120000","null","<0.2","<0.01","300","1","20","<1","","<1","1.3","0.051","<0.5","0.14","7.4","","0.1","16","<1","<0.02","16","","0.56","3","0.21","100","25","8","<2","24.5","<10"
"Western Buffer","Pai Min Kok Stream","AN2","1997-11-06","1","2.7","250","0.81","0.09","<1","<1","6","","<50","0.2","16","12","","<1","160","2","<0.01","101","9","54000","94000","null","0.2","<0.01","150","<1","10","<1","","1","2.5","0.15","<0.5","0.42","7.5","","0.1","16","<1","<0.02","2.9","","1.4","3","0.6","98","28","6","<2","20.6","50"
"Western Buffer","Pai Min Kok Stream","AN2","1997-12-04","1","4.4","100","2.2","0.13","<1","<1","7","","<50","<0.1","24","15","","<1","328","2","<0.01","95","9","120000","180000","null","0.4","<0.01","70","<1","<10","<1","","<1","4.1","0.28","0.9","0.63","7.6","","0.2","17","<1","<0.02","2.7","","3.2","3","0.91","140","61","4","<2","17.9","30"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-01-10","1","0.6","340","0.061","<0.05","<1","<1","3","","<50","<0.1","4","<10","","<1","56","2","<0.01","106","10.5","","","0.003","0.3","<0.01","160","<1","<10","<1","","<1","0.16","0.009","1.3","0.024","7.8","","0.1","20","<1","<0.02","2.8","","0.15","2","0.21","78","40","3","<2","16.2","10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-02-20","1","0.7","110","0.029","0.09","<1","<1","3","","<50","<0.1","<2","<10","","<1","56","<1","<0.01","102","9.9","","","0.018","0.2","<0.01","110","<1","10","<1","","<1","0.21","0.002","<0.5","0.056","7.6","","0.1","19","<1","<0.02","2","","0.08","<1","0.08","80","30","4","<2","17.4","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-03-10","1","0.4","470","0.2","0.08","<1","<1","3","","<50","<0.1","8","<10","","<1","50","<1","<0.01","109","9.4","","","0.002","0.2","<0.01","250","<1","20","<1","","<1","0.14","<0.002","2","0.024","7.2","","0.1","22","<1","<0.02","3.1","","0.25","4","0.1","44","16","6","<2","23.1","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-04-14","1","0.2","100","0.03","<0.05","<1","<1","3","","<50","<0.1","4","<10","","<1","42","<1","<0.01","97","8.1","","","0.024","<0.2","<0.01","<50","2","<10","<1","","<1","0.32","0.004","<0.5","0.016","7","","0.1","14","<1","<0.02","20","","0.14","2","0.04","90","46","31","<2","24","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-05-12","1","0.6","590","0.087","<0.05","<1","<1","3","","<50","<0.1","7","<10","","<1","42","<1","<0.01","96","7.3","","","0.008","<0.2","<0.01","190","1","20","<1","","<1","0.062","0.004","<0.5","0.009","6.5","","0.1","19","<1","<0.02","5","","0.15","4","0.02","70","24","11","<2","29.7","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-06-12","1","0.2","<50","0.018","<0.05","<1","<1","2","","<50","<0.1","4","<10","","<1","38","<1","<0.01","97","7.6","","","0.005","0.2","<0.01","<50","<1","10","<1","","<1","0.1","0.003","<0.5","<0.002","7.9","","0.1","22","<1","<0.02","150","","0.09","<1","<0.02","190","60","17","<2","28.1","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-07-16","1","0.2","140","0.025","<0.05","<1","<1","3","","<50","<0.1","2","26","","2","30","<1","<0.01","107","8.3","","","0.446","<0.2","<0.01","80","3","10","<1","","<1","0.086","<0.002","<0.5","0.012","7.3","","0.1","11","<1","<0.02","36","","0.09","2","0.03","100","54","27","<2","27.7","10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-08-14","1","1","<50","<0.005","<0.05","<1","<1","2","","<50","<0.1","15","<10","","<1","34","<1","<0.01","100","7.8","","","0.026","<0.2","<0.01","60","2","<10","<1","","<1","0.1","0.002","<0.5","0.011","7.5","","0.1","17","<1","<0.02","4.3","","<0.05","1","0.03","52","24","4","<2","27.8","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-09-10","1","0.4","<50","0.011","<0.05","<1","<1","4","","<50","<0.1","9","<10","","<1","36","<1","<0.01","112","8.8","","","0.033","0.2","<0.01","50","<1","<10","<1","","<1","0.11","0.003","<0.5","0.007","7.8","","0.1","18","<1","<0.02","4.3","","0.05","<1","<0.02","68","24","5","<2","28.1","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-10-09","1","0.5","210","0.01","0.08","<1","<1","1","","<50","<0.1","5","<10","","<1","36","<1","<0.01","107","8.8","","","0.024","<0.2","<0.01","60","<1","10","<1","","<1","0.1","<0.002","<0.5","0.007","7.3","","0.1","20","<1","<0.02","5.3","","<0.05","<1","<0.02","72","22","4","<2","25.4","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-11-13","1","0.4","130","0.024","<0.05","<1","<1","8","","<50","<0.1","<2","<10","","<1","38","<1","<0.01","103","8.8","","","null","0.2","<0.01","90","<1","<10","<1","","<1","0.11","<0.002","<0.5","0.008","7.1","","0.1","21","<1","<0.02","3.4","","0.09","<1","0.02","100","24","8","<2","23.1","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","1997-12-11","1","0.2","130","0.038","0.07","<1","<1","2","","<50","<0.1","7","<10","","<1","46","<1","<0.01","102","10.3","","","0.006","0.3","<0.01","60","<1","<10","<1","","<1","0.096","0.003","<0.5","0.01","7.3","","0.1","21","<1","<0.02","2.3","","0.05","<1","0.03","66","10","6","<2","14.3","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","1997-01-10","1","0.6","90","0.044","<0.05","<1","<1","2","","<50","<0.1","4","68","","<1","280","<1","<0.01","101","10.3","","","0.023","0.3","<0.01","100","<1","10","<1","","<1","0.077","<0.002","0.9","0.03","7.6","","0.1","23","<1","<0.02","2.6","","0.11","<1","0.09","180","68","1","<2","15.2","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","1997-02-20","1","0.4","110","0.014","0.06","<1","<1","2","","<50","<0.1","<2","18","","<1","114","<1","<0.01","99","9.5","","","0.013","0.2","<0.01","80","<1","<10","<1","","<1","0.12","0.002","<0.5","0.026","8","","0.1","20","<1","<0.02","1.6","","0.12","<1","0.2","78","26","2","<2","17.9","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","1997-03-10","1","0.7","130","0.053","<0.05","<1","<1","2","","<50","<0.1","2","41","","<1","198","1","<0.01","99","8.4","","","0.013","0.3","<0.01","80","1","<10","<1","","<1","0.053","0.002","0.9","0.017","7.6","","0.1","33","<1","<0.02","4.6","","0.08","1","0.05","100","38","2","<2","23.4","10"
"Deep Bay","Tai Shui Hang Stream","DB2","1997-04-14","1","0.3","150","0.038","<0.05","<1","<1","4","","<50","<0.1","4","13","","<1","60","<1","<0.01","99","7.9","","","0.054","<0.2","<0.01","100","3","10","<1","","<1","0.37","0.004","<0.5","0.014","7.3","","0.1","16","<1","<0.02","17","","<0.05","2","0.02","94","46","18","<2","25.7","<10"
