"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2006-01-12","1","5.2","90","0.66","0.12","<1","<1","10","<1","60","<0.1","21","11","15","<1","183","5","<0.01","102","9.3","3200","8000","null","0.5","<0.01","60","<1","<10","<1","<2","<1","3","0.24","<0.5","0.48","8.5","5.6","0.1","15","<1","<0.02","11","<1","1.5","7","0.56","150","32","7.4","<2","19.7","20"
"Western Buffer","Pai Min Kok Stream","AN1","2006-02-17","1","9.7","90","1.6","0.24","<1","<1","12","<1","<50","<0.1","49","18","39","<1","267","8","<0.01","98","9.3","36000","540000","null","0.6","<0.01","150","1","30","<1","<2","1","5.9","1","<0.5","0.9","8.1","25","0.2","16","<1","<0.02","76","<1","4.3","13","1.4","300","87","7","<2","17.9","50"
"Western Buffer","Pai Min Kok Stream","AN1","2006-03-03","1","12","210","1.7","1.6","<1","<1","12","<1","<50","<0.1","21","15","2.7","<1","209","6","<0.01","101","9.5","68000","170000","null","0.5","<0.01","160","1","10","<1","<2","1","3.2","0.67","<0.5","0.32","8.1","2","0.1","14","<1","<0.02","10","<1","2.7","5","0.39","210","45","9.3","<2","18.4","30"
"Western Buffer","Pai Min Kok Stream","AN1","2006-04-25","1","3.5","150","0.057","0.23","<1","<1","15","<1","70","<0.1","12","<10","2.2","1","205","8","<0.01","99","8.2","25000","280000","null","0.4","<0.01","120","1","<10","<1","<2","2","2.2","0.09","<0.5","0.18","8.4","1","0.1","15","<1","<0.02","1.9","<1","0.65","4","0.21","150","38","4.1","6","24.8","40"
"Western Buffer","Pai Min Kok Stream","AN1","2006-05-16","1","1.2","240","0.25","0.24","<1","2","25","<1","3100","<0.1","14","18000","2.7","1","44484","8","<0.01","99","7","10000","64000","null","0.8","<0.01","380","3","40","<1","8","3","0.58","0.054","<0.5","0.073","8","2.2","29","2.6","<1","<0.02","21","<1","0.48","3","0.1","42000","4600","6.1","3","24.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","2006-06-12","1","1.5","90","0.017","0.29","<1","<1","9","<1","<50","<0.1","7","<10","0.8","<1","138","3","<0.01","96","8","42000","750000","null","0.3","<0.01","110","1","<10","<1","<2","<1","1.5","0.009","0.6","0.081","7","0.4","0.1","15","<1","<0.02","2","<1","0.34","2","0.12","130","24","10.6","<2","24.4","30"
"Western Buffer","Pai Min Kok Stream","AN1","2006-07-03","1","2.3","150","0.035","0.06","<1","<1","12","<1","<50","<0.1","6","14","1.3","<1","160","3","<0.01","94","7.3","40000","100000","null","0.3","<0.01","320","1","<10","<1","<2","<1","1.3","0.035","<0.5","0.08","8.2","0.8","0.1","16","<1","<0.02","3.6","<1","0.26","2","0.11","130","51","7.3","<2","28.7","20"
"Western Buffer","Pai Min Kok Stream","AN1","2006-08-17","1","1.1","80","0.13","0.15","<1","<1","8","<1","<50","<0.1","8","<10","4.5","<1","113","2","<0.01","97","7.5","26000","66000","null","0.3","<0.01","220","1","<10","<1","<2","<1","0.97","0.033","<0.5","0.098","7.8","1.2","0.1","18","<1","<0.02","3.2","<1","0.35","2","0.11","89","32","6.1","<2","28.3","20"
"Western Buffer","Pai Min Kok Stream","AN1","2006-09-06","1","0.5","90","0.037","0.07","<1","<1","6","<1","<50","<0.1","7","<10","1.6","<1","113","2","<0.01","99","7.7","18000","29000","null","0.4","<0.01","200","<1","<10","<1","<2","<1","1.2","0.038","<0.5","0.11","7.7","1.5","0.1","17","<1","<0.02","2.4","<1","0.21","2","0.12","46","7.5","4.6","<2","28.5","10"
"Western Buffer","Pai Min Kok Stream","AN1","2006-10-23","1","2","120","0.059","0.28","<1","<1","11","<1","<50","<0.1","6","<10","1","<1","118","3","<0.01","96","7.7","21000","900000","null","0.4","<0.01","130","1","<10","<1","<2","<1","1.2","0.04","<0.5","0.14","7.8","<0.2","0.1","17","<1","<0.02","3.8","<1","0.33","2","0.16","220","50","5.6","<2","26.9","30"
"Western Buffer","Pai Min Kok Stream","AN1","2006-11-22","1","0.9","130","0.13","0.15","<1","<1","12","<1","<50","<0.1","12","<10","0.7","<1","116","5","<0.01","97","8.5","23000","94000","null","0.3","<0.01","120","2","<10","<1","<2","<1","1.4","0.034","<0.5","0.083","7.7","0.9","0.1","13","<1","<0.02","4.4","<1","0.54","4","0.1","420","92","7.6","<2","21.7","40"
"Western Buffer","Pai Min Kok Stream","AN1","2006-12-13","1","6","120","0.062","0.11","<1","<1","13","<1","<50","<0.1","15","19","1.1","<1","128","8","<0.01","99","9.1","11000","750000","null","0.5","<0.01","130","2","<10","<1","<2","1","2.4","0.065","<0.5","0.21","7.9","2.1","0.1","17","<1","<0.02","6.1","<1","0.64","3","0.24","110","33","4.3","<2","19.8","40"
"Western Buffer","Pai Min Kok Stream","AN2","2006-01-12","1","1.9","110","0.63","<0.05","<1","<1","7","<1","<50","<0.1","13","<10","","<1","200","2","<0.01","106","9.9","3500","6000","null","0.4","<0.01","60","<1","<10","<1","<2","<1","1.9","0.51","<0.5","0.25","8.3","","0.1","17","<1","<0.02","1.2","<1","0.95","3","0.26","98","13","3.3","<2","18.8","20"
"Western Buffer","Pai Min Kok Stream","AN2","2006-02-17","1","9.8","<50","1.6","0.07","<1","<1","8","<1","<50","<0.1","13","12","7.4","<1","246","2","<0.01","102","9.6","25000","57000","null","0.6","<0.01","110","<1","20","<1","<2","<1","3.3","0.96","<0.5","0.5","7.8","3.8","0.1","18","<1","<0.02","3.7","<1","2.2","4","0.55","170","36","6.9","<2","18.3","20"
"Western Buffer","Pai Min Kok Stream","AN2","2006-03-03","1","7.8","70","1.2","0.24","<1","<1","11","<1","<50","<0.1","9","13","","<1","207","3","<0.01","110","10.4","57000","76000","null","0.5","<0.01","110","<1","30","<1","<2","<1","2.2","0.53","<0.5","0.27","8.1","","0.1","16","<1","<0.02","1.7","<1","1.5","3","0.3","150","35","1.5","<2","18.1","20"
"Western Buffer","Pai Min Kok Stream","AN2","2006-04-25","1","2.3","100","0.28","0.34","<1","<1","17","<1","60","<0.1","15","13","4.3","<1","265","4","<0.01","121","9.9","100000","200000","null","0.6","<0.01","130","<1","30","<1","<2","1","4","0.39","<0.5","0.57","8.6","2.3","0.1","19","<1","<0.02","2.4","<1","1.1","5","0.62","180","40","2.3","<2","25.2","20"
"Western Buffer","Pai Min Kok Stream","AN2","2006-05-16","1","3.4","60","1.1","0.07","<1","<1","10","<1","<50","<0.1","12","13","","<1","288","3","<0.01","105","8.9","300000","540000","null","0.6","<0.01","100","<1","<10","<1","<2","<1","2.6","0.43","<0.5","0.46","8.3","","0.1","17","<1","<0.02","1.8","<1","1.6","4","0.49","160","23","2.9","<2","23.1","20"
"Western Buffer","Pai Min Kok Stream","AN2","2006-06-12","1","0.2","110","0.061","<0.05","<1","<1","23","<1","<50","<0.1","7","<10","0.6","<1","90","2","<0.01","96","8.1","51000","100000","0.034","0.3","<0.01","190","1","10","<1","<2","<1","0.87","0.007","<0.5","0.057","7","<0.2","0","15","<1","<0.02","1.6","<1","0.22","2","0.07","100","26","11.8","<2","24.3","60"
"Western Buffer","Pai Min Kok Stream","AN2","2006-07-03","1","2","110","0.15","<0.05","<1","<1","8","<1","<50","<0.1","4","<10","","<1","93","3","<0.01","97","7.7","8600","25000","0.008","0.3","<0.01","470","1","10","<1","<2","<1","0.6","0.023","<0.5","0.072","8.6","","0","16","<1","<0.02","1.3","<1","0.31","2","0.11","76","21","8.7","<2","27.7","20"
"Western Buffer","Pai Min Kok Stream","AN2","2006-08-17","1","0.2","70","0.063","<0.05","<1","<1","9","<1","<50","<0.1","4","<10","2.9","<1","93","2","<0.01","100","7.9","11000","45000","0.016","0.2","<0.01","260","<1","<10","<1","<2","<1","0.49","0.011","<0.5","0.06","7.8","1","0","17","<1","<0.02","3.3","<1","0.19","1","0.07","70","25","7","<2","27.4","20"
"Western Buffer","Pai Min Kok Stream","AN2","2006-09-06","1","0.3","210","0.047","0.06","<1","<1","7","<1","<50","<0.1","8","<10","","<1","96","2","<0.01","104","8.1","40000","53000","0.007","0.3","<0.01","460","1","20","<1","<2","<1","0.52","0.018","<0.5","0.07","7.8","","0","16","<1","<0.02","4.2","<1","0.22","2","0.08","34","7.5","6.7","<2","28.2","20"
"Western Buffer","Pai Min Kok Stream","AN2","2006-10-23","1","0.8","60","0.093","<0.05","<1","<1","5","<1","<50","<0.1","2","11","1.5","<1","114","3","<0.01","103","8.4","29000","57000","0.006","0.3","<0.01","120","<1","<10","<1","<2","<1","0.61","0.032","<0.5","0.073","8","<0.2","0.1","16","<1","<0.02","3","<1","0.2","1","0.07","250","100","6.1","<2","25.7","10"
"Western Buffer","Pai Min Kok Stream","AN2","2006-11-22","1","0.6","90","0.17","0.08","<1","<1","11","<1","<50","<0.1","7","<10","","<1","99","4","<0.01","96","8.4","14000","120000","0.013","0.3","<0.01","140","2","10","<1","<2","<1","1.1","0.029","<0.5","0.072","7.6","","0.1","13","<1","<0.02","2.9","<1","0.46","5","0.07","360","130","7","<2","21.8","60"
"Western Buffer","Pai Min Kok Stream","AN2","2006-12-13","1","1.5","110","0.054","<0.05","<1","<1","7","<1","<50","<0.1","2","<10","0.7","<1","190","2","<0.01","99","8.9","6800","13000","0.003","0.4","<0.01","100","<1","<10","<1","<2","<1","1.5","0.044","<0.5","0.15","8.2","1.2","0.1","18","<1","<0.02","3.6","<1","0.18","2","0.15","76","22","2.7","<2","20.4","20"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-01-13","1","0.5","110","0.007","0.06","<1","<1","3","<1","<50","<0.1","5","<10","0.3","<1","41","<1","<0.01","106","9.8","68","360","0.043","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.17","0.002","<0.5","0.01","7.6","<0.2","0","22","<1","<0.02","2.5","<1","<0.05","<1","<0.02","68","3","4.2","<2","19.1","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-02-16","1","<0.1","230","0.016","<0.05","<1","<1","4","<1","<50","<0.1","2","<10","1.6","<1","52","<1","<0.01","103","9.1","4800","4900","0.007","0.2","<0.01","70","<1","<10","<1","<2","<1","0.23","0.002","<0.5","0.006","7.4","0.6","0","23","<1","<0.02","2.1","<1","0.07","<1","<0.02","62","9","4.4","<2","21.6","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-03-20","1","0.2","90","0.012","<0.05","<1","<1","10","<1","<50","<0.1","3","<10","0.6","<1","39","<1","<0.01","102","9.1","830","1100","0.002","0.3","<0.01","<50","<1","<10","<1","<2","<1","0.29","0.002","<0.5","0.008","7.5","0.2","0","23","<1","<0.02","3.2","<1","0.07","<1","<0.02","44","22","5.1","<2","20.8","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-04-27","1","0.2","120","0.09","<0.05","<1","<1","14","<1","<50","<0.1","13","<10","6.6","<1","65","1","<0.01","106","8.3","1200","6900","0.01","0.2","<0.01","110","<1","40","<1","<2","<1","1","0.005","<0.5","0.005","7.7","1.8","0","18","<1","<0.02","7.2","<1","0.28","2","<0.02","70","14","18.8","<2","27.5","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-05-11","1","<0.1","70","0.017","<0.05","<1","<1","3","<1","50","<0.1","<2","<10","","<1","44","3","<0.01","104","8.1","92","2500","0.005","0.3","<0.01","<50","<1","10","<1","<2","<1","0.36","0.003","<0.5","0.007","7.7","","0","22","<1","<0.02","1","<1","0.07","<1","<0.02","61","18","10.7","<2","28.1","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-06-22","1","0.1","90","0.008","<0.05","<1","<1","13","<1","<50","<0.1","<2","<10","0.7","<1","36","2","<0.01","99","7.9","130","7100","0.086","<0.2","<0.01","<50","3","40","<1","<2","<1","0.62","<0.002","<0.5","0.003","6.8","0.4","0","16","<1","<0.02","18","<1","0.07","<1","<0.02","74","14","12.9","<2","27.2","20"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-07-20","1","0.6","60","0.012","<0.05","<1","<1","3","<1","<50","<0.1","<2","<10","0.6","<1","40","<1","<0.01","101","7.6","90","1500","0.013","0.2","<0.01","60","<1","<10","<1","<2","<1","0.3","0.002","<0.5","0.008","7.5","<0.2","0","22","<1","<0.02","1.6","<1","0.07","<1","<0.02","60","16","10.7","<2","30","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-08-21","1","0.3","60","0.038","<0.05","<1","<1","8","<1","<50","<0.1","<2","<10","0.6","<1","40","<1","<0.01","101","7.8","100","1800","0.075","<0.2","<0.01","<50","1","<10","<1","<2","<1","0.48","0.004","<0.5","0.01","7.5","<0.2","0","19","<1","<0.02","4.9","<1","0.06","<1","<0.02","52","22","13.2","<2","28.4","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-09-21","1","0.5","70","0.018","<0.05","<1","<1","2","<1","<50","<0.1","<2","<10","0.5","<1","37","<1","<0.01","99","8.1","90","1200","0.032","<0.2","<0.01","<50","1","<10","<1","<2","<1","0.32","0.002","<0.5","0.011","7.3","<0.2","0","20","<1","<0.02","2.5","<1","<0.05","<1","<0.02","78","0.5","6.5","<2","25.1","10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-10-19","1","0.1","70","0.017","<0.05","<1","<1","2","<1","<50","<0.1","4","<10","0.5","<1","39","1","<0.01","100","8.2","21","960","0.015","0.3","<0.01","90","<1","10","<1","<2","<1","0.2","0.003","<0.5","0.01","7.5","0.3","0","20","<1","<0.02","3","<1","0.1","<1","<0.02","130","5","6.5","<2","25.7","10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-11-13","1","<0.1","210","0.017","<0.05","<1","<1","3","<1","<50","<0.1","3","<10","5.3","<1","45","<1","<0.01","102","9.1","20","820","0.014","0.3","<0.01","90","<1","20","<1","<2","<1","0.18","<0.002","<0.5","0.008","7.8","1.4","0","23","<1","<0.02","42","<1","0.06","<1","<0.02","120","12","4.7","<2","21.2","<10"
"Deep Bay","Ha Pak Nai Stream","DB1","2006-12-08","1","0.1","<50","0.007","<0.05","<1","<1","2","<1","<50","<0.1","4","<10","0.3","<1","69","<1","<0.01","103","8.9","14","750","0.006","0.2","<0.01","<50","<1","<10","<1","<2","<1","0.22","<0.002","<0.5","0.004","8","<0.2","0","22","<1","<0.02","0.9","<1","<0.05","<1","<0.02","39","13","5.1","<2","22.7","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","2006-01-13","1","0.6","120","0.029","0.05","<1","<1","4","<1","90","<0.1","4","110","0.6","<1","323","<1","<0.01","98","9.2","71","110","0.039","0.3","<0.01","210","<1","50","<1","<2","<1","0.072","0.002","<0.5","0.008","7.3","<0.2","0.2","22","<1","<0.02","2.6","<1","0.06","1","<0.02","320","48","2.3","<2","18","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","2006-02-16","1","0.6","120","0.027","<0.05","<1","<1","4","<1","<50","<0.1","3","140","2.7","<1","547","<1","<0.01","97","8.5","110","900","0.06","0.3","<0.01","320","<1","70","<1","<2","<1","0.1","<0.002","<0.5","0.005","7.1","0.8","0.3","23","<1","<0.02","6.6","<1","0.24","2","<0.02","470","66","4.2","<2","21.6","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","2006-03-20","1","0.5","80","0.028","<0.05","<1","<1","11","<1","<50","<0.1","5","16","0.7","<1","101","<1","<0.01","91","8","120","190","0.01","0.3","<0.01","270","1","80","<1","<2","<1","0.17","<0.002","<0.5","0.006","7.8","0.6","0.1","24","<1","<0.02","6.2","<1","0.18","<1","<0.02","110","36","3.1","<2","21.7","10"
"Deep Bay","Tai Shui Hang Stream","DB2","2006-04-27","1","0.2","240","0.064","<0.05","<1","<1","8","<1","<50","<0.1","10","<10","1.7","<1","66","2","<0.01","97","7.6","1100","9800","0.06","0.3","<0.01","210","1","60","<1","<2","<1","0.35","0.003","<0.5","0.005","7.7","1.1","0","22","<1","<0.02","4.6","<1","0.19","2","<0.02","66","17","8.1","<2","28","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","2006-05-11","1","<0.1","<50","0.028","<0.05","<1","<1","9","<1","<50","<0.1","4","<10","","<1","63","1","<0.01","100","7.8","100","1800","0.09","0.3","<0.01","150","1","110","<1","<2","<1","0.19","0.002","<0.5","0.004","7.8","","0","22","<1","<0.02","1.3","<1","0.09","3","<0.02","68","16","6.1","<2","28.1","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","2006-06-22","1","<0.1","<50","0.01","<0.05","<1","<1","9","<1","<50","<0.1","<2","<10","0.6","<1","48","2","<0.01","97","7.7","80","1600","0.56","0.2","<0.01","70","4","20","<1","<2","<1","0.28","<0.002","<0.5","0.007","6.6","0.3","0","19","<1","<0.02","3","<1","0.07","<1","<0.02","60","12","8.6","<2","27.3","50"
"Deep Bay","Tai Shui Hang Stream","DB2","2006-07-20","1","0.5","<50","0.014","<0.05","<1","<1","3","<1","<50","<0.1","2","<10","0.4","<1","46","<1","<0.01","100","7.7","110","1000","0.17","0.3","<0.01","80","<1","20","<1","<2","<1","0.17","<0.002","<0.5","0.006","7.1","<0.2","0","24","<1","<0.02","2.4","<1","0.05","<1","<0.02","60","18","7","<2","29.2","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","2006-08-21","1","0.2","70","0.023","<0.05","<1","<1","6","<1","<50","<0.1","<2","<10","2","<1","45","<1","<0.01","103","7.9","160","2300","0.56","0.2","<0.01","110","2","20","<1","<2","<1","0.31","0.003","<0.5","0.01","7.7","<0.2","0","20","<1","<0.02","12","<1","0.07","<1","<0.02","58","21","11.9","<2","29","<10"
"Deep Bay","Tai Shui Hang Stream","DB2","2006-09-21","1","<0.1","<50","0.017","<0.05","<1","<1","4","<1","<50","<0.1","<2","<10","0.3","<1","41","<1","<0.01","99","8.2","190","1100","0.33","<0.2","<0.01","60","2","20","<1","<2","<1","0.19","<0.002","<0.5","0.012","7.3","<0.2","0","22","<1","<0.02","8.7","<1","0.05","<1","<0.02","56","8.5","5.2","<2","25.2","10"
