"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2018-01-22","1","1.4","56","0.39","<0.05","<1","<1","26","<1","1972","<0.1","5","8700","4.2","3","25630","5","<0.01","101","8.5","1600","9000","null","0.7","<0.01","166","<1","22","<1","7","7","0.63","0.03","<0.5","0.048","8.1","2.5","18.2","8.5","<1","<0.02","4.2","<1","0.48","2","0.09","24000","7300","3.1","2","18.4","59"
"Western Buffer","Pai Min Kok Stream","AN1","2018-02-01","1","2.5","164","0.39","0.11","<1","<1","13","<1","956","<0.1","20","4700","1.7","1","12591","7","<0.01","100","10.2","4200","16000","null","0.6","<0.01","72","3","13","<1","4","3","1.1","0.024","<0.5","0.1","8.3","1.2","10","11","<1","<0.02","12","<1","0.9","4","0.13","11000","2600","32.8","<2","11.6","56"
"Western Buffer","Pai Min Kok Stream","AN1","2018-03-19","1","1.9","65","0.94","<0.05","<1","<1","5","<1","325","<0.1","14","1800","1.4","1","3226","6","<0.01","100","8.7","18000","40000","null","0.6","<0.01","115","<1","<10","<1","2","3","1.2","0.12","<0.5","0.17","8.3","1.1","1.8","13","<1","<0.02","1.2","<1","1.5","3","0.22","3400","540","1","<2","21.8","24"
"Western Buffer","Pai Min Kok Stream","AN1","2018-04-26","1","0.4","51","0.065","<0.05","<1","<1","62","<1","1849","0.3","10","7700","<0.2","3","22720","5","<0.01","100","8","400","3200","null","0.7","<0.01","57","<1","<10","<1","7","20","1.3","0.014","<0.5","0.25","8.1","<0.2","14.6","7.2","<1","<0.02","2.3","<1","0.24","2","0.31","18000","3500","1.4","2","22.1","19"
"Western Buffer","Pai Min Kok Stream","AN1","2018-05-11","1","1.1","<50","0.48","<0.05","<1","<1","10","<1","1587","<0.1","17","6800","0.8","3","18069","12","<0.01","101","8","67000","94000","null","0.7","<0.01","82","<1","<10","<1","6","4","1.1","0.046","<0.5","0.078","8.3","1.9","11","9.2","<1","<0.02","5.3","<1","1.4","3","0.09","16000","4100","1.5","3","23.6","26"
"Western Buffer","Pai Min Kok Stream","AN1","2018-06-14","1","0.5","291","0.018","<0.05","<1","<1","9","<1","<50","<0.1","8","14","0.3","<1","8217","2","<0.01","100","8","44000","58000","null","0.4","<0.01","61","<1","<10","<1","2","<1","0.66","0.007","<0.5","0.045","7.9","1.3","4.5","15","<1","<0.02","1.7","<1","0.26","2","0.05","160","47","4.8","<2","25.6","12"
"Western Buffer","Pai Min Kok Stream","AN1","2018-07-16","1","0.3","240","0.028","<0.05","<1","<1","9","<1","195","<0.1","14","1000","1","<1","2265","2","<0.01","99","7.9","2200","11000","null","0.4","<0.01","52","<1","<10","<1","2","<1","0.4","0.018","<0.5","0.007","7.7","0.9","1.1","16","<1","<0.02","7.4","<1","0.23","2","0.08","2200","350","7","<2","26.8","12"
"Western Buffer","Pai Min Kok Stream","AN1","2018-08-16","1","9","219","0.056","<0.05","<1","<1","9","<1","235","<0.1","10","870","0.7","<1","2711","3","<0.01","99","7.8","26000","63000","null","0.4","<0.01","89","<1","<10","<1","<2","1","0.48","0.01","<0.5","0.05","7.7","0.3","1.4","16","<1","<0.02","3.8","<1","0.45","2","0.06","2100","380","6.5","<2","26.8","11"
"Western Buffer","Pai Min Kok Stream","AN1","2018-09-13","1","1.9","<50","0.5","<0.05","<1","<1","7","<1","82","<0.1","8","83","0.8","<1","385","4","<0.01","101","8.2","83000","240000","null","0.4","<0.01","<50","<1","<10","<1","<2","<1","0.53","0.027","<0.5","0.088","7.6","0.5","0.2","16","<1","<0.02","5.2","<1","0.96","4","0.1","240","52","8.4","<2","25.6","17"
"Western Buffer","Pai Min Kok Stream","AN1","2018-10-18","1","0.5","470","0.058","0.06","<1","<1","7","<1","<50","<0.1","12","230","0.4","<1","8819","3","<0.01","101","8.5","30000","42000","null","0.3","<0.01","228","<1","<10","<1","<2","<1","0.62","0.024","<0.5","0.033","7.9","1.2","5.2","16","<1","<0.02","5.1","<1","0.32","3","0.04","4500","860","8.7","<2","22.5","<10"
