"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2004-01-26","1","5.6","250","3.3","0.6","<1","<1","16","<1","<50","<0.1","27","32","","<1","315","9","<0.01","96","10.2","6600","8800","null","0.5","<0.01","250","4","20","<1","<2","2","2.6","0.32","1.3","0.51","7.8","","0.2","16","<1","<0.02","23","<1","3.6","5","0.62","220","57","5.2","<2","12.7","70"
"Western Buffer","Pai Min Kok Stream","AN1","2004-02-09","1","5.9","180","0.99","<0.05","<1","<1","13","<1","<50","<0.1","14","14","6.9","<1","216","7","<0.01","99","10.3","8600","9000","null","0.5","<0.01","240","2","50","<1","<2","2","3","0.26","0.6","0.29","8.1","0.2","0.1","16","<1","<0.02","11","<1","1.2","4","0.79","170","75","9.4","<2","13.7","40"
"Western Buffer","Pai Min Kok Stream","AN1","2004-03-04","1","8.1","1100","0.6","0.3","<1","1","29","<1","<50","0.2","19","18","","7","241","22","<0.01","90","8.9","16000","32000","null","0.7","<0.01","960","9","90","<1","16","4","4.3","0.37","<0.5","0.34","9.3","","0.1","24","<1","<0.02","28","<1","1.2","4","0.47","270","83","9.5","4","16.1","110"
"Western Buffer","Pai Min Kok Stream","AN1","2004-04-15","1","8.6","130","0.04","0.25","<1","<1","13","<1","60","<0.1","16","18","4.4","<1","263","8","<0.01","91","8","63000","1000000","null","0.6","<0.01","110","1","<10","<1","3","1","4.7","0.3","<0.5","0.31","8.2","4.1","0.1","18","<1","<0.02","3.8","<1","0.56","5","0.37","170","45","8.6","<2","21.8","40"
"Western Buffer","Pai Min Kok Stream","AN1","2004-05-24","1","2.1","230","0.27","0.21","<1","2","16","<1","1300","0.1","16","8900","2.7","2","28202","7","<0.01","96","7","24000","62000","null","0.8","<0.01","270","2","20","<1","9","3","1.8","0.12","<0.5","0.14","8.7","1.7","16.9","10","<1","<0.02","10","<1","0.8","4","0.17","21000","4500","10.5","3","26.3","20"
"Western Buffer","Pai Min Kok Stream","AN1","2004-06-23","1","7.4","520","0.33","0.17","<1","<1","68","<1","<50","0.2","30","21","4.9","1","260","14","<0.01","93","7.1","40000","96000","null","0.6","<0.01","660","11","60","<1","2","2","2.4","0.16","0.5","0.5","9","3.7","0.1","16","<1","<0.02","37","<1","1.4","7","0.7","190","49","61.2","<2","29.2","140"
"Western Buffer","Pai Min Kok Stream","AN1","2004-07-23","1","0.6","150","0.091","0.07","<1","<1","8","<1","<50","<0.1","8","12","2.3","<1","162","5","<0.01","98","7.7","13000","53000","null","0.4","<0.01","110","<1","10","<1","<2","<1","1.6","0.036","<0.5","0.1","8.1","<0.2","0.1","16","<1","<0.02","3.4","<1","0.23","2","0.11","110","24","5.8","<2","27.8","20"
"Western Buffer","Pai Min Kok Stream","AN1","2004-08-23","1","2.5","280","0.079","0.78","<1","<1","13","<1","<50","<0.1","17","13","2.4","1","206","8","<0.01","101","7.9","27000","79000","null","0.4","<0.01","340","7","30","<1","<2","1","1.9","0.082","<0.5","0.25","8.5","1.3","0.1","18","<1","<0.02","21","<1","0.41","5","0.4","160","59","10.6","<2","28.7","50"
"Western Buffer","Pai Min Kok Stream","AN1","2004-09-22","1","0.9","90","0.14","0.05","<1","<1","10","<1","<50","0.2","5","<10","1.1","<1","131","3","<0.01","105","8.4","9000","31000","null","0.4","<0.01","340","1","<10","<1","<2","<1","1.2","0.052","<0.5","0.12","7.5","0.7","0.1","18","<1","<0.02","2.9","<1","0.29","2","0.14","64","39","6.4","<2","26.7","20"
"Western Buffer","Pai Min Kok Stream","AN1","2004-10-15","1","1.4","170","0.29","0.24","<1","1","16","<1","190","<0.1","13","600","1.3","<1","2586","9","<0.01","95","8","16000","20000","null","0.4","<0.01","160","2","<10","<1","<2","2","1.8","0.1","<0.5","0.25","7.7","1.1","1.4","18","<1","<0.02","13","<1","0.64","3","0.28","1400","250","8.4","<2","23.7","50"
