"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1992-01-09","1","4.9","2000","0.286","<0.05","","1","","","<50","0.1","16","27","","3","255","6","0.01","86","8.4","700","1600","null","0.4","<0.01","1900","24","250","<1","","<1","4.04","0.183","0.6","0.262","7","","","16.4","","<0.02","330","","0.83","3","0.35","670","84","160","","15.8","110"
"Western Buffer","Pai Min Kok Stream","AN1","1992-02-13","1","3.4","1500","0.039","<0.05","","<1","","","<50","0.5","19","26","","2","264","15","<0.01","85","7.7","9000","16000","null","0.6","<0.01","1500","70","200","<1","","5","4.65","<0.002","<0.5","0.148","7.5","","","15.2","","<0.02","440","","1.08","4","0.44","690","120","340","","14.3","160"
"Western Buffer","Pai Min Kok Stream","AN1","1992-03-09","1","9.1","1600","0.31","<0.05","","<1","","","<50","0.9","12","16","","2","2220","7","<0.01","87","8.5","14000","14000","null","0.7","<0.01","1400","35","180","<1","","7","1.32","0.089","<0.5","0.254","9.3","","","15.6","","<0.02","490","","1.17","6","0.65","750","160","260","","16.4","110"
"Western Buffer","Pai Min Kok Stream","AN1","1992-04-16","1","5.9","1500","0.556","<0.05","","<1","","","<50","0.4","56","11","","3","117","10","<0.01","87","7.9","23000","23000","null","0.5","<0.01","1400","92","290","<1","","<1","5.01","0.332","<0.5","0.239","8","","","17.4","","0.03","710","","2.45","5","0.46","870","180","250","","21.1","150"
"Western Buffer","Pai Min Kok Stream","AN1","1992-05-19","1","9","<50","0.095","<0.05","","<1","","","130","0.1","9","11","","<1","155","4","<0.01","85","7.3","28000","46000","null","0.4","<0.01","490","21","100","<1","","<1","3.66","0.053","<0.5","0.149","8","","","16.5","","<0.02","57","","0.52","2","0.38","200","72","39","","23","<10"
"Western Buffer","Pai Min Kok Stream","AN1","1992-06-12","1","4.6","1200","0.139","<0.05","","<1","","","80","0.5","11","12","","2","146","3","<0.01","94","7.9","43000","50000","null","0.4","<0.01","550","140","270","<1","","<1","2.11","0.013","0.6","0.096","9.2","","","15.4","","<0.02","1000","","1.06","2","0.41","1100","120","450","","24.3","40"
"Western Buffer","Pai Min Kok Stream","AN1","1992-07-23","1","3.5","2400","0.277","<0.05","","<1","","","<50","0.7","11","12","","2","135","6","<0.01","94","7.8","80000","120000","null","0.5","<0.01","1700","95","650","<1","","<1","2.66","0.046","0.5","0.124","9","","","13.9","","<0.02","590","","0.92","3","0.44","730","110","310","","24.3","80"
"Western Buffer","Pai Min Kok Stream","AN1","1992-08-10","1","9.2","1100","0.117","<0.05","","<1","","","<50","0.3","19","13","","4","93","4","<0.01","108","8.8","30000","33000","null","0.4","<0.01","1200","28","180","<1","","2","2.46","0.049","<0.5","0.2","9","","","18.6","","<0.02","59","","0.69","4","0.3","260","61","55","","26.6","70"
"Western Buffer","Pai Min Kok Stream","AN1","1992-09-07","1","31","1200","0.204","0.24","","2","","","<50","0.2","270","230","","4","688","8","<0.01","60","4.8","17000","36000","null","0.7","<0.01","3600","44","90","<1","","<1","1.38","0.159","2","0.032","5.9","","","16.4","","<0.02","260","","2.28","59","2.53","1000","600","360","","26.7","1400"
"Western Buffer","Pai Min Kok Stream","AN1","1992-10-16","1","3.8","60","1.47","<0.05","","<1","","","<50","<0.1","14","19","","<1","191","<1","<0.01","91","8.2","43000","61000","null","0.4","<0.01","60","<1","10","<1","","<1","2.87","0.225","<0.5","0.376","8.4","","","18","","<0.02","18","","2.53","6","1.44","150","42","21","","20.5","20"
"Western Buffer","Pai Min Kok Stream","AN1","1992-12-07","1","16","1600","0.051","<0.05","","1","","","<50","0.2","20","22","","5","226","11","<0.01","70","6.3","12000","32000","null","0.5","<0.01","1900","58","160","<1","","5","4.45","<0.002","0.7","0.383","7.1","","","15.9","","<0.02","94","","1.04","6","0.68","300","100","14","","19.6","250"
