"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2017-01-12","1","1.1","66","0.1","<0.05","<1","<1","14","<1","63","<0.1","4","36","1.1","<1","184","9","<0.01","100","9.2","1500","13000","null","0.4","<0.01","230","1","93","<1","<2","2","1.5","0.051","<0.5","0.043","7.8","1","0.1","16","<1","<0.02","1","<1","0.46","1","0.06","220","98","0.5","<2","19.6","24"
"Western Buffer","Pai Min Kok Stream","AN1","2017-02-10","1","1.1","72","0.12","0.06","<1","<1","10","<1","<50","<0.1","3","40","0.5","<1","155","3","<0.01","101","10.7","2300","13000","null","0.5","<0.01","<50","<1","<10","<1","<2","2","1.3","0.081","<0.5","0.085","7.9","0.7","0.1","16","<1","<0.02","0.7","<1","0.45","1","0.09","170","49","3.5","<2","12.6","24"
"Western Buffer","Pai Min Kok Stream","AN1","2017-03-15","1","2.1","76","0.63","0.06","<1","<1","11","<1","52","<0.1","8","70","0.2","1","319","5","<0.01","101","9.7","3700","11000","null","1.1","<0.01","<50","<1","<10","<1","<2","2","1.4","0.068","<0.5","0.87","8.1","1.3","0.2","15","<1","<0.02","0.7","<1","1.4","3","0.93","260","75","0.9","<2","16.9","43"
"Western Buffer","Pai Min Kok Stream","AN1","2017-04-20","1","2.8","171","0.51","<0.05","<1","<1","20","<1","74","<0.1","9","160","0.4","<1","662","8","<0.01","100","8.4","1100000","1500000","null","1.9","<0.01","110","1","21","<1","<2","3","1.8","0.23","<0.5","0.098","8.2","3.6","0.3","14","<1","<0.02","1.6","<1","1.1","3","0.12","500","210","1.2","<2","24.3","38"
"Western Buffer","Pai Min Kok Stream","AN1","2017-05-18","1","0.9","101","0.05","<0.05","<1","<1","16","<1","<50","<0.1","4","26","0.4","<1","210","4","<0.01","100","8.4","27000","71000","null","0.5","<0.01","95","<1","<10","<1","<2","1","1.3","0.03","<0.5","0.069","8.2","1.1","0.1","18","<1","<0.02","1.8","<1","0.37","2","0.08","180","52","2","<2","24.1","17"
"Western Buffer","Pai Min Kok Stream","AN1","2017-06-16","1","7.7","281","0.14","0.37","<1","<1","15","<1","181","<0.1","29","830","1","<1","3011","24","<0.01","99","7.9","80","190","null","0.4","<0.01","298","2","17","<1","2","3","0.7","0.017","<0.5","0.007","7.9","1.5","1.5","16","<1","<0.02","5","<1","1.2","10","0.15","1400","52","10.5","<2","26.4","49"
"Western Buffer","Pai Min Kok Stream","AN1","2017-07-24","1","0.8","186","0.055","<0.05","<1","<1","11","<1","<50","<0.1","9","140","0.6","<1","368","8","<0.01","100","8.1","4300","46000","null","0.2","<0.01","322","3","24","<1","<2","<1","0.32","0.014","<0.5","0.037","7.6","0.5","0.2","8.1","<1","<0.02","15","<1","0.47","3","0.08","390","130","30.1","<2","26.2","41"
"Western Buffer","Pai Min Kok Stream","AN1","2017-08-17","1","1.1","58","0.011","<0.05","<1","<1","6","<1","<50","<0.1","4","37","0.3","<1","236","2","<0.01","101","8.1","25000","73000","null","0.3","<0.01","260","<1","21","<1","<2","<1","0.48","0.007","<0.5","0.044","7.6","0.8","0.1","18","<1","<0.02","2.7","<1","0.15","2","0.07","270","150","9.6","<2","27.1","20"
"Western Buffer","Pai Min Kok Stream","AN1","2017-09-15","1","0.7","61","0.012","<0.05","<1","<1","6","<1","<50","<0.1","5","11","0.7","<1","146","2","<0.01","101","8.1","3700","32000","null","0.3","<0.01","221","<1","30","<1","<2","<1","0.42","0.005","<0.5","0.038","7.5","<0.2","0.1","19","<1","<0.02","3","<1","0.24","1","0.05","110","62","5.9","<2","26.7","14"
"Western Buffer","Pai Min Kok Stream","AN1","2017-10-20","1","0.6","74","0.029","<0.05","<1","<1","13","<1","584","<0.1","7","4900","0.4","<1","14067","3","<0.01","102","8.4","1400","24000","null","0.6","<0.01","149","<1","20","<1","3","2","0.53","0.01","<0.5","0.034","7.8","0.4","8.6","14","<1","<0.02","9.8","<1","0.16","2","0.04","11000","2500","6.2","<2","22.4","44"
"Western Buffer","Pai Min Kok Stream","AN1","2017-11-17","1","0.8","139","0.034","<0.05","<1","<1","6","<1","<50","<0.1","4","42","0.8","<1","260","3","<0.01","101","8.5","3100","38000","null","0.4","<0.01","135","<1","17","<1","<2","<1","0.9","0.019","<0.5","0.068","7.5","0.8","0.1","19","<1","<0.02","1.9","<1","0.21","2","0.07","150","72","2.6","<2","23.9","16"
"Western Buffer","Pai Min Kok Stream","AN1","2017-12-14","1","1.6","114","0.17","<0.05","<1","<1","11","<1","165","<0.1","9","600","<0.2","2","1258","6","<0.01","101","9.2","1600","4000","null","0.6","<0.01","115","2","16","<1","<2","1","0.99","0.045","<0.5","0.045","7.8","1","0.7","13","<1","<0.02","3.4","<1","1","4","0.12","1300","230","3.2","<2","19.3","38"
"Western Buffer","Pai Min Kok Stream","AN2","2017-01-12","1","0.6","63","0.043","<0.05","<1","<1","10","<1","<50","<0.1","<2","<10","0.8","<1","145","2","<0.01","100","9.1","700","3100","0.007","0.4","<0.01","102","<1","<10","<1","<2","1","1.2","0.011","<0.5","0.025","7.9","0.5","0.1","16","<1","<0.02","1.6","<1","0.29","<1","0.05","120","56","1.2","<2","19.9","20"
"Western Buffer","Pai Min Kok Stream","AN2","2017-02-10","1","1","92","0.014","0.12","<1","<1","6","<1","<50","<0.1","3","<10","2.8","<1","172","2","<0.01","103","10.9","6600","24000","0.003","0.5","<0.01","50","<1","<10","<1","<2","<1","0.83","0.023","<0.5","0.073","8.3","0.4","0.1","18","<1","<0.02","1.6","<1","0.23","1","0.08","100","40","2.6","<2","12.9","22"
"Western Buffer","Pai Min Kok Stream","AN2","2017-03-15","1","0.7","90","0.067","0.06","<1","<1","8","<1","<50","<0.1","4","<10","0.5","<1","143","2","<0.01","110","10.4","22000","24000","0.004","0.5","<0.01","148","<1","17","<1","<2","<1","0.75","0.041","<0.5","0.088","8.6","0.5","0.1","18","<1","<0.02","2.2","<1","0.51","2","0.1","140","74","1.9","<2","17.9","19"
"Western Buffer","Pai Min Kok Stream","AN2","2017-04-20","1","1.4","67","0.021","<0.05","<1","<1","12","<1","<50","<0.1","9","25","1.2","<1","277","5","<0.01","104","8.6","5100","9900","0.003","0.7","<0.01","84","<1","<10","<1","2","<1","0.85","0.014","<0.5","0.13","8.4","2.2","0.1","19","<1","<0.02","1.2","<1","0.56","3","0.14","170","93","1.9","<2","24.6","25"
"Western Buffer","Pai Min Kok Stream","AN2","2017-05-18","1","0.5","120","0.011","<0.05","<1","<1","12","<1","<50","<0.1","4","<10","0.5","<1","208","3","<0.01","103","8.6","600","7100","0.004","0.4","<0.01","152","1","<10","<1","<2","<1","0.75","0.01","<0.5","0.064","8.1","0.3","0.1","18","<1","<0.02","2.2","<1","0.38","2","0.09","100","35","3.3","<2","24.2","23"
