"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","2013-01-14","1","1.9","160","0.4","0.1","<1","<1","27","<1","50","<0.1","8","19","1.5","<1","207","6","<0.01","97","9.5","440","990","null","0.7","<0.01","140","4","20","<1","3","2","1.8","0.087","<0.5","0.1","8.4","1.3","0.1","15","<1","<0.02","13","<1","0.84","2","0.12","210","88","2.5","<2","16.3","40"
"Western Buffer","Pai Min Kok Stream","AN1","2013-02-18","1","3.6","440","0.47","0.36","<1","<1","29","<1","60","<0.1","10","85","6.1","10","345","8","<0.01","102","9.2","970","4600","null","0.8","<0.01","140","3","10","<1","17","2","1.8","0.15","<0.5","0.1","8.7","2.5","0.2","12","<1","<0.02","9.2","<1","1.3","4","0.14","300","86","3.9","<2","20.5","30"
"Western Buffer","Pai Min Kok Stream","AN1","2013-03-11","1","7.9","190","0.54","0.22","<1","<1","31","<1","<50","0.1","17","140","1.7","<1","541","16","<0.01","101","9.2","7900","110000","null","0.6","<0.01","400","5","20","<1","<2","3","2.6","0.13","<0.5","0.09","8.2","1.3","0.3","15","<1","<0.02","10","<1","7.1","8","0.18","420","130","10.2","<2","19.9","80"
"Western Buffer","Pai Min Kok Stream","AN1","2013-04-15","1","0.2","440","0.021","0.18","<1","<1","15","<1","<50","<0.1","11","40","5.4","2","329","4","<0.01","102","8.9","14000","20000","null","0.8","<0.01","140","2","10","<1","7","<1","2.2","0.066","<0.5","0.062","8.6","1.9","0.2","15","<1","<0.02","8.1","<1","0.62","3","0.08","240","58","8","<2","22.4","20"
"Western Buffer","Pai Min Kok Stream","AN1","2013-05-10","1","2.2","540","0.21","0.07","<1","<1","13","<1","<50","<0.1","10","20","1.5","2","133","6","<0.01","101","8.4","35000","190000","null","0.6","<0.01","90","1","10","<1","5","<1","2","0.074","<0.5","0.07","7.9","0.6","0.1","15","<1","<0.02","4.4","<1","0.94","3","0.09","170","85","4.9","<2","24.6","30"
"Western Buffer","Pai Min Kok Stream","AN1","2013-06-21","1","1","230","0.022","<0.05","<1","<1","10","<1","<50","<0.1","5","11","0.4","<1","162","2","<0.01","99","7.8","55000","59000","null","0.4","<0.01","310","3","20","<1","3","<1","0.77","0.007","<0.5","0.04","7.9","<0.2","0.1","17","<1","<0.02","13","<1","0.21","1","0.06","140","31","17","<2","27.4","20"
"Western Buffer","Pai Min Kok Stream","AN1","2013-07-11","1","0.8","230","0.008","<0.05","<1","<1","9","<1","<50","<0.1","4","12","<0.2","<1","151","3","<0.01","100","7.9","38000","100000","null","0.4","<0.01","370","4","20","<1","<2","<1","0.67","0.007","<0.5","0.044","8","0.6","0.1","18","<1","<0.02","30","<1","0.26","1","0.06","140","44","30.2","<2","27.4","20"
"Western Buffer","Pai Min Kok Stream","AN1","2013-08-12","1","0.3","170","0.023","<0.05","<1","<1","11","<1","<50","<0.1","4","<10","1","<1","131","2","<0.01","100","7.9","11000","58000","null","0.4","<0.01","250","1","10","<1","<2","<1","0.44","0.014","<0.5","0.032","7.8","0.6","0.1","18","<1","<0.02","6.4","<1","0.21","1","0.06","100","26","6.9","<2","27.9","20"
"Western Buffer","Pai Min Kok Stream","AN1","2013-09-11","1","0.6","125","0.029","0.09","2","<1","12","<1","<50","<1","4","<10","0.5","<1","125","2","<0.01","101","8","26000","63000","null","0.3","<0.01","149","<1","10","<1","<2","<1","0.58","0.02","<0.5","0.049","7.6","<0.2","0.1","18","<1","<0.02","4.7","<1","0.29","<1","0.06","110","22","10.3","<2","27.3","26"
"Western Buffer","Pai Min Kok Stream","AN1","2013-10-11","1","1.2","221","0.025","0.1","<1","<1","20","<1","<50","<0.1","6","<10","2.4","<1","158","4","<0.01","100","8","10000","60000","null","0.4","<0.01","152","1","12","<1","<2","<1","0.65","0.033","<0.5","0.008","7.9","<0.2","0.1","16","<1","<0.02","3.4","<1","0.4","2","0.04","110","40","5.2","<2","27.3","26"
"Western Buffer","Pai Min Kok Stream","AN1","2013-11-15","1","3.2","204","1.1","0.07","<1","<1","17","<1","86","<0.1","10","70","1.1","<1","362","12","<0.01","101","8.9","5600","200000","null","1.3","<0.01","95","1","28","<1","2","1","0.7","0.035","<0.5","2.3","7.6","0.3","0.2","19","<1","<0.02","3.2","<1","2","3","2.6","250","74","3.7","<2","21.4","66"
"Western Buffer","Pai Min Kok Stream","AN1","2013-12-13","1","2.4","201","0.15","0.22","<1","1","15","<1","<50","<0.1","5","14","2.9","3","184","4","<0.01","99","9.5","23000","34000","null","0.5","<0.01","73","1","<10","<1","4","<1","1.3","0.059","<0.5","0.16","8.2","2.3","0.1","19","<1","<0.02","4.9","<1","0.5","2","0.21","130","48","5.6","3","17.4","20"
"Western Buffer","Pai Min Kok Stream","AN2","2013-01-14","1","3.5","120","0.37","1.6","<1","<1","25","<1","<50","<0.1","8","15","1.1","1","564","2","<0.01","103","10.3","2300","2300","0.004","0.9","<0.01","60","<1","<10","<1","5","<1","1.9","0.09","<0.5","0.14","9","<0.2","0.3","18","<1","<0.02","1.8","<1","0.78","3","0.15","230","75","6.4","<2","15.2","20"
"Western Buffer","Pai Min Kok Stream","AN2","2013-02-18","1","1","980","0.29","0.11","<1","<1","25","<1","60","<0.1","9","110","4.7","18","766","2","<0.01","114","10.3","10000","16000","0.002","1","<0.01","<50","<1","<10","<1","28","<1","1.6","0.13","<0.5","0.088","9.1","1.6","0.4","9.9","<1","<0.02","2.1","<1","0.88","2","0.11","440","200","0.5","<2","20.6","10"
"Western Buffer","Pai Min Kok Stream","AN2","2013-03-11","1","1.6","70","0.42","<0.05","<1","<1","14","<1","<50","<0.1","3","17","3.4","<1","251","1","<0.01","130","11.9","1200","3800","0.003","1.1","<0.01","<50","<1","<10","<1","7","<1","1.4","0.2","<0.5","0.23","8.5","2.4","0.1","20","<1","<0.02","1.9","<1","0.59","1","0.23","200","68","0.2","<2","19.8","10"
