"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Junk Bay","Tseng Lan Shue Stream","JR11","1986-04-29","1","9.7","0","3.3","0.11","","1","","","110","0.2","13","","","1","320","4","<0.01","73","6","","","0.05","0.3","0","800","3","80","<1","","","3.4","1","10","2.1","6.9","","","16","","<0.01","6.5","","4.1","<1","2.5","210","160","4.1","","25","40"
"Junk Bay","Tseng Lan Shue Stream","JR11","1986-05-19","1","5.6","0","3.1","0.11","","1","","","120","0.2","21","","","1","220","4","0.05","67","5.3","","","0.28","0.2","<0","550","5","60","<1","","","2.6","0.73","12","1.8","7.1","","","18","","<0.01","6.5","","5.1","5","2","180","140","4.2","","26.6","60"
"Junk Bay","Tseng Lan Shue Stream","JR11","1986-06-18","1","9","0","1.5","0.13","","<1","","","90","<0.1","19","","","3","220","9","<0.01","79","6.2","","","null","0.2","<0","460","1","80","<1","","","1.6","0.56","0.5","1.3","7.2","","","20","","<0.01","8.5","","3.1","1","1.9","150","110","5.5","","28.4","30"
"Junk Bay","Tseng Lan Shue Stream","JR11","1986-07-24","1","12.2","40","1.8","0.26","","1","","","30","<0.1","17","","","<1","185","3","<0.01","65","5.2","","","0.35","0.2","<0","190","4","50","<1","","","1.3","0.26","<0.5","0.65","7.3","","","15","","<0.01","6","","5.5","<1","2.1","34","2","6.5","","26.5","20"
"Junk Bay","Tseng Lan Shue Stream","JR11","1986-08-15","1","8.8","30","1.5","0.73","","<1","","","20","0.1","5","","","<1","250","2","<0.01","68","5.1","","","0.38","0.2","<0","170","1","10","<1","","","2.2","0.18","<0.5","1.4","7.3","","","14","","<0.01","7","","5.3","5","4.5","160","82","6.7","","30.1","<10"
"Junk Bay","Tseng Lan Shue Stream","JR11","1986-09-15","1","2.1","10","0.59","0.11","","<1","","","70","0.1","5","","","<1","145","22","0.01","71","5.6","","","0.21","0.2","<0","380","2","40","<1","","","2.6","0.91","3.5","0.34","6.6","","","17","","<0.01","5","","1.1","4","1.2","130","40","3.2","","27.3","10"
"Junk Bay","Tseng Lan Shue Stream","JR11","1986-10-06","1","5.9","20","1.6","0.06","","1","","","70","0.3","29","","","<1","175","3","<0.01","86","6.9","","","0.13","0.3","<0","390","<1","20","<1","","","3.6","2","<0.5","2.9","6.8","","","16","","<0.01","3.5","","2.7","<1","3.8","210","130","2","","26","10"
"Junk Bay","Tseng Lan Shue Stream","JR11","1986-11-10","1","8","40","9.1","0.14","","2","","","270","<0.1","160","","","<1","350","2","<0.01","74","6.7","","","0.03","0.3","<0","750","2","130","<1","","<10","6.1","0.47","5","6.3","7.2","","","21","","<0.01","7","","12","<1","6.8","270","94","2.3","","19.7","<10"
"Junk Bay","Tseng Lan Shue Stream","JR11","1986-12-17","1","9","30","15","0.23","","<1","","","90","<0.1","46","","","1","360","3","<0.01","82","7.7","","","0.15","0.3","<0","510","<1","140","<1","","<10","1.6","0.44","4","1.1","7.7","","","17","","0.01","10","","20","7","5.7","270","120","5","","18.6","<10"
"Junk Bay","Tseng Lan Shue Stream","JR3","1986-04-29","1","113.3","0","10","0.47","","<1","","","270","0.2","66","","","1","400","6","<0.01","9","0.8","","","null","0.2","0.01","1300","3","240","<1","","","0.002","<0.002","23","2.9","6.2","","","18","","0.05","31","","18","10","3.8","270","150","24","","23.3","60"
