"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1991-01-07","1","1.8","220","0.3","0.22","","<1","","","<50","0.1","42","25","","1","249","<1","0.02","88","8.6","520","560","null","1","<0.01","170","10","60","<1","","<1","5.9","0.091","1","0.44","8","","","24","","<0.02","65","","1.1","4","0.64","370","150","49","","16.3","<10"
"Western Buffer","Pai Min Kok Stream","AN1","1991-02-08","1","2.5","600","0.16","0.22","","<1","","","<50","0.7","19","25","","2","294","5","<0.01","94","8.6","650","650","null","0.5","<0.01","810","23","90","<1","","5","7.7","0.15","2.5","0.43","7.3","","","16","","0.02","11","","0.71","5","1","820","140","25","","18.9","80"
"Western Buffer","Pai Min Kok Stream","AN1","1991-03-13","1","2.6","140","0.071","0.11","","<1","","","190","0.2","6","31","","<1","266","3","0.02","80","7.1","300","3500","null","0.5","<0.01","190","4","30","1","","3","5.1","0.045","<0.5","0.84","8.2","","","19","","<0.02","1","","1.2","5","1.1","240","66","7.3","","20.8","30"
"Western Buffer","Pai Min Kok Stream","AN1","1991-04-15","1","2.7","70","0.199","0.15","","<1","","","<50","0.4","17","35","","<1","256","3","<0.01","85","7.3","1400","1500","null","0.8","<0.01","160","9","40","1","","5","3.4","0.044","0.5","1.11","8.2","","","21.7","","<0.02","6","","1.2","10","5.6","220","74","5.1","","22.4","30"
"Western Buffer","Pai Min Kok Stream","AN1","1991-05-16","1","2.3","<50","0.176","0.24","","<1","","","<50","0.3","9","43","","2","360","5","<0.01","78","6.3","28000","33000","null","0.6","<0.01","130","5","40","<1","","3","5.45","0.143","<0.5","0.472","7.1","","","17.5","","<0.02","5.5","","1.29","7","1.1","280","120","4.3","","25.9","100"
"Western Buffer","Pai Min Kok Stream","AN1","1991-06-06","1","2.4","180","0.257","0.17","","<1","","","<50","0.2","25","35","","2","292","2","<0.01","64","5","5000","5000","null","1","<0.01","270","3","60","6","","<1","3.17","0.199","<0.5","1.25","8","","","22","","<0.02","29","","0.88","7","1.34","280","62","30","","27.3","20"
"Western Buffer","Pai Min Kok Stream","AN1","1991-07-08","1","5.3","<50","1.27","0.17","","<1","","","<50","0.8","25","26","","<1","241","2","<0.01","71","5.6","31000","44000","null","0.5","<0.01","110","2","<10","3","","<1","4.43","0.273","0.5","0.991","7.3","","","19.4","","<0.02","4","","2.26","11","1.1","190","58","3.5","","27.9","50"
"Western Buffer","Pai Min Kok Stream","AN1","1991-08-05","1","2.4","60","0.082","0.08","","<1","","","<50","0.3","8","29","","<1","176","3","<0.01","70","5.6","15000","52000","null","0.5","<0.01","120","8","20","2","","<1","5.19","0.049","<0.5","0.389","7.6","","","17.6","","<0.02","30","","0.69","4","0.51","170","68","17","","27.3","20"
"Western Buffer","Pai Min Kok Stream","AN1","1991-09-05","1","2.5","230","0.098","0.1","","<1","","","<50","0.4","9","34","","1","171","3","<0.01","83","6.7","22000","36000","null","0.4","<0.01","230","8","30","3","","2","3.83","0.056","<0.5","0.238","7.5","","","17.8","","<0.02","20","","0.33","4","0.59","130","28","11","","26.1","30"
"Western Buffer","Pai Min Kok Stream","AN1","1991-10-04","1","2.7","450","0.012","0.12","","<1","","","<50","0.8","12","35","","4","148","2","0.02","60","5","1400","3000","null","0.4","<0.01","770","17","150","1","","1","3.45","0.047","0.5","0.329","7.7","","","18.5","","<0.02","7.5","","0.65","3","1.24","180","40","26","","24.8","80"
